feature,win_n,loss_n,win_prevalence,loss_prevalence,prevalence_difference,qualified_years,stable_directional
strict_exact,74,127,0.6756756756756757,0.7480314960629921,-0.07235582038731647,3,False
touch_bullish,74,127,0.1891891891891892,0.10236220472440945,0.08682698446477975,3,True
distal_sweep_reclaim,74,127,0.10810810810810811,0.23622047244094488,-0.12811236433283676,3,True
proximal_reclaim,74,127,0.7702702702702703,0.5984251968503937,0.17184507341987654,3,True
both_lh_ll,74,127,0.972972972972973,0.9606299212598425,0.012343051713130548,3,False
