feature,type,year,win_n,loss_n,win_median,loss_median,difference,win_prevalence,loss_prevalence
demand_width_pct,continuous,2022,23,51,0.013429159496575287,0.010976859319678251,0.0024523001768970362,,
demand_width_pct,continuous,2023,21,33,0.008187862312907346,0.007603635106837191,0.0005842272060701554,,
demand_width_pct,continuous,2024,30,43,0.01179102612593028,0.008710869142523855,0.0030801569834064246,,
h4_bos_clearance_zw,continuous,2022,23,51,0.5037313432835681,0.652490886998784,-0.14875954371521594,,
h4_bos_clearance_zw,continuous,2023,21,33,0.615062761506291,0.6137931034482909,0.001269658058000167,,
h4_bos_clearance_zw,continuous,2024,30,43,0.6056528925619766,0.7707006369427016,-0.165047744380725,,
expansion_above_bos_zw,continuous,2022,23,51,1.1102564102563965,1.3094339622641444,-0.1991775520077479,,
expansion_above_bos_zw,continuous,2023,21,33,1.107296137339043,1.4957698815566778,-0.3884737442176347,,
expansion_above_bos_zw,continuous,2024,30,43,1.0913843783181818,1.5350318471337443,-0.4436474688155625,,
expansion_from_demand_zw,continuous,2022,23,51,3.080000000000003,3.791304347826095,-0.7113043478260916,,
expansion_from_demand_zw,continuous,2023,21,33,4.383495145631064,3.7763157894737,0.6071793561573635,,
expansion_from_demand_zw,continuous,2024,30,43,3.0394412127622097,4.447004608294888,-1.4075633955326783,,
activation_to_touch_h,continuous,2022,23,51,26.0,26.0,0.0,,
activation_to_touch_h,continuous,2023,21,33,31.0,25.0,6.0,,
activation_to_touch_h,continuous,2024,30,43,32.5,55.0,-22.5,,
expansion_to_touch_h,continuous,2022,23,51,8.0,7.0,1.0,,
expansion_to_touch_h,continuous,2023,21,33,9.0,7.0,2.0,,
expansion_to_touch_h,continuous,2024,30,43,6.0,6.0,0.0,,
pullback_bars,continuous,2022,23,51,7.0,6.0,1.0,,
pullback_bars,continuous,2023,21,33,8.0,6.0,2.0,,
pullback_bars,continuous,2024,30,43,5.0,5.0,0.0,,
pullback_depth,continuous,2022,23,51,1.0899374348279456,1.1074540174249772,-0.017516582597031594,,
pullback_depth,continuous,2023,21,33,1.1101614434947795,1.052244897959185,0.057916545535594555,,
pullback_depth,continuous,2024,30,43,1.0768368245249744,1.1408647140864867,-0.06402788956151229,,
penetration_zone_fraction,continuous,2022,23,51,0.20854271356784854,0.38807607900512076,-0.17953336543727222,,
penetration_zone_fraction,continuous,2023,21,33,0.46327683615818555,0.25342465753424337,0.20985217862394218,,
penetration_zone_fraction,continuous,2024,30,43,0.1624478601222854,0.6050955414012693,-0.4426476812789839,,
touch_close_zone_fraction,continuous,2022,23,51,1.3261648745519574,1.1728395061728363,0.15332536837912114,,
touch_close_zone_fraction,continuous,2023,21,33,1.34920634920635,1.3354231974921789,0.013783151714171105,,
touch_close_zone_fraction,continuous,2024,30,43,1.5272068076946064,1.0734200743494495,0.45378673334515685,,
touch_close_location,continuous,2022,23,51,0.3575305291723195,0.3451938396176317,0.012336689554687752,,
touch_close_location,continuous,2023,21,33,0.5298507462686614,0.4980676328502419,0.03178311341841944,,
touch_close_location,continuous,2024,30,43,0.4874708382602021,0.37381404174572985,0.11365679651447225,,
touch_body_ratio,continuous,2022,23,51,0.5427408412483047,0.5603217158176935,-0.017580874569388838,,
touch_body_ratio,continuous,2023,21,33,0.4000000000000049,0.44525547445256325,-0.04525547445255834,,
touch_body_ratio,continuous,2024,30,43,0.41298030351953235,0.5485074626865218,-0.13552715916698949,,
touch_lower_wick_ratio,continuous,2022,23,51,0.3575305291723195,0.3343224530168146,0.023208076155504853,,
touch_lower_wick_ratio,continuous,2023,21,33,0.5298507462686614,0.4375,0.09235074626866135,,
touch_lower_wick_ratio,continuous,2024,30,43,0.4666767911984058,0.37381404174572985,0.09286274945267597,,
approach_lower_close_share_3,continuous,2022,23,51,0.6666666666666666,0.6666666666666666,0.0,,
approach_lower_close_share_3,continuous,2023,21,33,0.6666666666666666,0.6666666666666666,0.0,,
approach_lower_close_share_3,continuous,2024,30,43,0.6666666666666666,0.6666666666666666,0.0,,
approach_slope_3_zw,continuous,2022,23,51,-0.6313364055299514,-0.8349514563106781,0.20361505078072673,,
approach_slope_3_zw,continuous,2023,21,33,-0.5297029702970344,-0.2730375426620999,-0.2566654276349345,,
approach_slope_3_zw,continuous,2024,30,43,-0.6848117150123745,-1.1148014440433152,0.4299897290309407,,
approach_compression_3v3,continuous,2022,23,51,1.2312138728323543,1.1821705426356486,0.0490433301967057,,
approach_compression_3v3,continuous,2023,21,33,1.2246376811594226,1.109589041095909,0.11504864006351356,,
approach_compression_3v3,continuous,2024,30,43,1.2362770422989924,1.0865279299014323,0.14974911239756006,,
strict_exact,binary,2022,23,51,,,-0.15601023017902804,0.6086956521739131,0.7647058823529411
strict_exact,binary,2023,21,33,,,0.030303030303030276,0.6666666666666666,0.6363636363636364
strict_exact,binary,2024,30,43,,,-0.08062015503875974,0.7333333333333333,0.813953488372093
touch_bullish,binary,2022,23,51,,,0.08013640238704176,0.21739130434782608,0.13725490196078433
touch_bullish,binary,2023,21,33,,,0.004329004329004321,0.09523809523809523,0.09090909090909091
touch_bullish,binary,2024,30,43,,,0.1635658914728682,0.23333333333333334,0.06976744186046512
distal_sweep_reclaim,binary,2022,23,51,,,-0.0895140664961637,0.08695652173913043,0.17647058823529413
distal_sweep_reclaim,binary,2023,21,33,,,-0.06926406926406928,0.14285714285714285,0.21212121212121213
distal_sweep_reclaim,binary,2024,30,43,,,-0.22558139534883723,0.1,0.32558139534883723
proximal_reclaim,binary,2022,23,51,,,0.10741687979539638,0.6956521739130435,0.5882352941176471
proximal_reclaim,binary,2023,21,33,,,0.06493506493506485,0.7619047619047619,0.696969696969697
