feature,win_n,loss_n,win_median,loss_median,median_difference,cliffs_delta,qualified_years,stable_directional
demand_width_pct,74,127,0.009896943093518289,0.00901358593225061,0.0008833571612676793,0.15928921047031283,3,True
h4_bos_clearance_zw,74,127,0.602895128586791,0.6541554959785637,-0.051260367391772754,-0.04192381357735688,3,False
expansion_above_bos_zw,74,127,1.1087762737977198,1.453623188405798,-0.34484691460807815,-0.17556927005745904,3,True
expansion_from_demand_zw,74,127,3.2890810130331913,3.953521126760558,-0.6644401137273666,-0.1566290700148968,3,False
activation_to_touch_h,74,127,30.5,29.0,1.5,-0.035007448393275166,3,False
expansion_to_touch_h,74,127,8.0,7.0,1.0,0.04841455628857204,3,False
pullback_bars,74,127,7.0,6.0,1.0,0.04841455628857204,3,False
pullback_depth,74,127,1.093511771300446,1.1147260273972635,-0.021214256096817374,-0.0638433709299851,3,False
penetration_zone_fraction,74,127,0.2802607076350082,0.4396782841822998,-0.1594175765472916,-0.20972547350500106,3,False
touch_close_zone_fraction,74,127,1.4045093613687087,1.1912708600770225,0.2132385012916862,0.18503937007874016,3,True
touch_close_location,74,127,0.4666767911984058,0.4098671726755299,0.056809618522875915,0.14300915088316662,3,True
touch_body_ratio,74,127,0.42694422623723327,0.5142857142857148,-0.08734148804848152,-0.08895509682911258,3,True
touch_lower_wick_ratio,74,127,0.43255476570433904,0.395638629283486,0.03691613642085306,0.10491593956160886,3,True
approach_lower_close_share_3,74,127,0.6666666666666666,0.6666666666666666,0.0,0.008406043839114705,3,False
approach_slope_3_zw,74,127,-0.6338500209467861,-0.7643312101910789,0.13048118924429275,0.13396467333475207,3,False
approach_compression_3v3,74,127,1.2279257769958885,1.1222222222222051,0.10570355477368332,0.013832730368163439,3,True
