year,candidate,n,baseline_wins,baseline_losses,clean_signals,signal_rate,loss_captured,loss_capture_rate,winner_false_exit,winner_false_exit_rate,signal_precision_loss,median_exit_r_all,median_exit_r_loss,median_exit_r_win,median_lead_to_floor_min,median_lead_to_target_min,false_exit_reclaim_next5_rate,false_exit_reclaim_within15_rate,median_false_exit_overshoot_original_r,cf_wins,cf_losses,cf_be,cf_wr_ex_be,cf_expectancy_r,cf_total_r,cf_pf,cf_max_dd_r
2022,TOUCH_DEMAND_HIGH,57,38,19,26,0.45614035087719296,14,0.7368421052631579,12,0.3157894736842105,0.5384615384615384,-0.28423645320198376,-0.39114946047294474,-0.15754923413566116,40.0,30.0,0.8333333333333334,1.0,0.17274974177364832,28,29,0,0.49122807017543857,-0.041718600464292176,-2.377960226464654,0.8151876949174683,4.197339103415933
2022,CLOSE5_BELOW_DEMAND_HIGH,57,38,19,17,0.2982456140350877,12,0.631578947368421,5,0.13157894736842105,0.7058823529411765,-0.45714285714289893,-0.5341439638807711,-0.20779220779221905,22.5,35.0,0.8,1.0,0.31313131313131254,33,24,0,0.5789473684210527,-0.02954063333411931,-1.6838161000448006,0.886765841090742,4.518453859534416
2022,CLOSE5_BELOW_ANCHOR,57,38,19,22,0.38596491228070173,16,0.8421052631578947,6,0.15789473684210525,0.7272727272727273,-0.35949098343468294,-0.4462184873949794,-0.31517408971396543,35.0,47.5,0.6666666666666666,0.8333333333333334,0.34757252139665096,32,25,0,0.5614035087719298,0.0037376621893262197,0.21304674479159452,1.0176398105750741,2.5380698214077473
2022,CLOSE5_BELOW_D1_LOW,57,38,19,17,0.2982456140350877,14,0.7368421052631579,3,0.07894736842105263,0.8235294117647058,-0.4840182648401842,-0.4892618796728496,-0.4478527607361913,32.5,130.0,0.6666666666666666,0.6666666666666666,0.30061349693250433,35,22,0,0.6140350877192983,0.014877438586921874,0.8480139994545468,1.0643074026032429,2.8062300830140146
2022,CLOSE15_BELOW_ANCHOR,57,38,19,19,0.3333333333333333,14,0.7368421052631579,5,0.13157894736842105,0.7368421052631579,-0.41104294478526954,-0.41475563909776436,-0.41104294478526954,27.5,45.0,0.6,0.8,0.2932098765432231,33,24,0,0.5789473684210527,-0.0014075318186647587,-0.08022931366389124,0.9938336777347159,2.348037849295994
2022,CLOSE15_BELOW_DEMAND_HIGH,57,38,19,12,0.21052631578947367,9,0.47368421052631576,3,0.07894736842105263,0.75,-0.5304502444910111,-0.6118721461187236,-0.20779220779221905,25.0,30.0,0.6666666666666666,1.0,0.25478927203064694,36,21,0,0.631578947368421,-0.029323962289731883,-1.6714658505147173,0.8961599235035418,3.702694226987829
2023,TOUCH_DEMAND_HIGH,42,30,12,18,0.42857142857142855,11,0.9166666666666666,7,0.23333333333333334,0.6111111111111112,-0.36405763239875827,-0.43581081081082074,-0.29439252336448574,50.0,60.0,0.8571428571428571,1.0,0.22962962962962744,23,19,0,0.5476190476190477,0.02639916304952379,1.1087648480799992,1.1351474467950666,2.4469871516667103
2023,CLOSE5_BELOW_DEMAND_HIGH,42,30,12,14,0.3333333333333333,8,0.6666666666666666,6,0.2,0.5714285714285714,-0.4217873533911167,-0.4217873533911167,-0.35668427468509223,27.5,55.0,0.8333333333333334,1.0,0.25500173070265336,24,18,0,0.5714285714285714,-0.0013704423143635625,-0.05755857720326962,0.994104171005788,2.3978405228477513
2023,CLOSE5_BELOW_ANCHOR,42,30,12,20,0.47619047619047616,11,0.9166666666666666,9,0.3,0.55,-0.36792452830187317,-0.3243243243243197,-0.4316702819956623,25.0,120.0,0.3333333333333333,0.7777777777777778,0.32460732984293006,21,21,0,0.5,-0.007232131807326133,-0.3037495359076976,0.964184522504175,2.9504279630499095
2023,CLOSE5_BELOW_D1_LOW,42,30,12,16,0.38095238095238093,9,0.75,7,0.23333333333333334,0.5625,-0.47833769633507894,-0.4749999999999988,-0.4816753926701591,20.0,115.0,0.42857142857142855,0.8571428571428571,0.32460732984293006,23,19,0,0.5476190476190477,-0.029282670285792588,-1.2298721520032887,0.8845374449202283,3.413591517281864
