period,candidate,false_exit_winners,reclaim_next5,reclaim_next5_rate,reclaim_within15,reclaim_within15_rate,median_signal_to_target_min,median_overshoot_original_r
DEV,TOUCH_DEMAND_HIGH,32,21,0.65625,27,0.84375,40.0,0.2511059762215151
DEV,CLOSE5_BELOW_DEMAND_HIGH,22,13,0.5909090909090909,17,0.7727272727272727,40.0,0.2929646936656169
DEV,CLOSE5_BELOW_ANCHOR,27,11,0.4074074074074074,22,0.8148148148148148,50.0,0.31873905429070487
DEV,CLOSE5_BELOW_D1_LOW,20,10,0.5,17,0.85,52.5,0.2730826010544754
DEV,CLOSE15_BELOW_ANCHOR,23,13,0.5652173913043478,18,0.782608695652174,50.0,0.30801687763713786
DEV,CLOSE15_BELOW_DEMAND_HIGH,16,8,0.5,13,0.8125,32.5,0.31522503516173933
REF,TOUCH_DEMAND_HIGH,33,19,0.5757575757575758,26,0.7878787878787878,90.0,0.2826086956521616
REF,CLOSE5_BELOW_DEMAND_HIGH,24,9,0.375,16,0.6666666666666666,112.5,0.4158040827799362
REF,CLOSE5_BELOW_ANCHOR,23,10,0.43478260869565216,13,0.5652173913043478,125.0,0.3971014492753584
REF,CLOSE5_BELOW_D1_LOW,19,8,0.42105263157894735,10,0.5263157894736842,125.0,0.45659526493798785
REF,CLOSE15_BELOW_ANCHOR,19,5,0.2631578947368421,10,0.5263157894736842,125.0,0.4721254355400648
REF,CLOSE15_BELOW_DEMAND_HIGH,20,8,0.4,11,0.55,115.0,0.4256361433269873
