period,candidate,n,baseline_wins,baseline_losses,clean_signals,signal_rate,loss_captured,loss_capture_rate,winner_false_exit,winner_false_exit_rate,signal_precision_loss,median_exit_r_all,median_exit_r_loss,median_exit_r_win,median_lead_to_floor_min,median_lead_to_target_min,false_exit_reclaim_next5_rate,false_exit_reclaim_within15_rate,median_false_exit_overshoot_original_r,cf_wins,cf_losses,cf_be,cf_wr_ex_be,cf_expectancy_r,cf_total_r,cf_pf,cf_max_dd_r
DEV,TOUCH_DEMAND_HIGH,151,108,43,68,0.4503311258278146,36,0.8372093023255814,32,0.2962962962962963,0.5294117647058824,-0.28844537815128357,-0.38574037184595256,-0.20069867027270522,27.5,40.0,0.65625,0.84375,0.2511059762215151,81,68,2,0.5436241610738255,0.018769822664114064,2.8342432222812235,1.0989896594014965,5.877524241114738
DEV,CLOSE5_BELOW_DEMAND_HIGH,151,108,43,52,0.3443708609271523,30,0.6976744186046512,22,0.2037037037037037,0.5769230769230769,-0.4412757508066643,-0.4616795366795584,-0.33147849462366236,22.5,40.0,0.5909090909090909,0.7727272727272727,0.2929646936656169,86,65,0,0.5695364238410596,0.0025408562175699982,0.3836692888530697,1.0110494144899305,5.180321870946038
DEV,CLOSE5_BELOW_ANCHOR,151,108,43,65,0.4304635761589404,38,0.8837209302325582,27,0.25,0.5846153846153846,-0.37236842105262974,-0.39399325494484966,-0.33500000000000796,30.0,50.0,0.4074074074074074,0.8148148148148148,0.31873905429070487,81,70,0,0.5364238410596026,0.007853200104430181,1.1858332157689573,1.0389504452546785,4.070888207049494
DEV,CLOSE5_BELOW_D1_LOW,151,108,43,54,0.3576158940397351,34,0.7906976744186046,20,0.18518518518518517,0.6296296296296297,-0.4489701632052264,-0.4660714285714489,-0.44755507235123004,27.5,52.5,0.5,0.85,0.2730826010544754,88,63,0,0.5827814569536424,0.012613997043449569,1.9047135535608848,1.056602214997736,4.46701068510278
DEV,CLOSE15_BELOW_ANCHOR,151,108,43,56,0.3708609271523179,33,0.7674418604651163,23,0.21296296296296297,0.5892857142857143,-0.42876595744679247,-0.4106280193236838,-0.43881856540087566,25.0,50.0,0.5652173913043478,0.782608695652174,0.30801687763713786,85,66,0,0.5629139072847682,0.003628144379373687,0.5478498012854267,1.0163982588763825,3.952042330962637
DEV,CLOSE15_BELOW_DEMAND_HIGH,151,108,43,42,0.2781456953642384,26,0.6046511627906976,16,0.14814814814814814,0.6190476190476191,-0.4579491420302072,-0.48059392265193157,-0.4354092827004233,17.5,32.5,0.5,0.8125,0.31522503516173933,94,57,0,0.6225165562913907,0.012163472714350091,1.8366843798668637,1.050389222729336,4.020754910404616
REF,TOUCH_DEMAND_HIGH,101,83,17,48,0.4752475247524752,14,0.8235294117647058,33,0.39759036144578314,0.2916666666666667,-0.24336046262583885,-0.3405529061710323,-0.19075144508672687,12.5,90.0,0.5757575757575758,0.7878787878787878,0.2826086956521616,60,41,0,0.594059405940594,0.06100211250553851,6.16121336305939,1.4176348198660393,2.5024465446178152
REF,CLOSE5_BELOW_DEMAND_HIGH,101,83,17,37,0.36633663366336633,12,0.7058823529411765,24,0.2891566265060241,0.32432432432432434,-0.38016528925620535,-0.5053004941814077,-0.313138633882729,12.5,112.5,0.375,0.6666666666666666,0.4158040827799362,61,40,0,0.6039603960396039,0.03212705228926087,3.2448322812153476,1.168357208472012,2.858216755645249
REF,CLOSE5_BELOW_ANCHOR,101,83,17,39,0.38613861386138615,15,0.8823529411764706,23,0.27710843373493976,0.38461538461538464,-0.37711617046118145,-0.38372093023255965,-0.3739130434782454,15.0,125.0,0.43478260869565216,0.5652173913043478,0.3971014492753584,60,41,0,0.594059405940594,0.04432982618662151,4.477312444848772,1.2453064177248017,2.565847501323655
REF,CLOSE5_BELOW_D1_LOW,101,83,17,33,0.32673267326732675,14,0.8235294117647058,19,0.2289156626506024,0.42424242424242425,-0.4297520661156947,-0.46878783947413744,-0.41159420289853343,15.0,125.0,0.42105263157894735,0.5263157894736842,0.45659526493798785,64,36,1,0.64,0.06307426764565145,6.370501032210797,1.3528463428056114,2.565847501323655
REF,CLOSE15_BELOW_ANCHOR,101,83,17,32,0.31683168316831684,13,0.7647058823529411,19,0.2289156626506024,0.40625,-0.4151015792237348,-0.45424836601307556,-0.3786259541984721,10.0,125.0,0.2631578947368421,0.5263157894736842,0.4721254355400648,64,36,1,0.64,0.06152907086508586,6.214436157373672,1.3409414693915847,2.4319812894091704
REF,CLOSE15_BELOW_DEMAND_HIGH,101,83,17,31,0.3069306930693069,11,0.6470588235294118,20,0.24096385542168675,0.3548387096774194,-0.38016528925620535,-0.48537234042553007,-0.33633919843597304,10.0,115.0,0.4,0.55,0.4256361433269873,65,35,1,0.65,0.06075024679183887,6.135774925975726,1.3392931419147782,1.974352632751246
