horizon_min,period,feature,kind,winner_n,loser_n,winner_value,loser_value,recovery_auc,winner_rate,loser_rate,rate_gap
45,REF,touch_reclaim_wall,BINARY,2,8,,,,1.0,0.625,0.375
45,REF,close_reclaim_wall,BINARY,2,8,,,,1.0,0.125,0.875
45,REF,close_break_pre15_high,BINARY,2,8,,,,0.0,0.25,-0.25
45,REF,no_new_low_after_alarm,BINARY,2,8,,,,0.5,0.125,0.375
60,DEV,close_progress,CONT,6,8,0.3017090925033993,-0.2759263620768101,0.9791666666666666,,,
60,DEV,mfe_from_alarm,CONT,6,8,0.3179775374899382,0.12895341423137094,0.8541666666666666,,,
60,DEV,recovery_ratio,CONT,6,8,1.1912307066153367,-1.2248791224651752,0.9791666666666666,,,
60,DEV,up_slope_3,CONT,6,8,0.07148846159572247,-0.10405181637054658,0.9791666666666666,,,
60,DEV,mae_from_alarm,CONT,6,8,0.1488881916739513,0.3555374375780035,0.7083333333333334,,,
60,DEV,close_above_alarm,BINARY,6,8,,,,1.0,0.375,0.625
60,DEV,touch_reclaim_entry,BINARY,6,8,,,,0.8333333333333334,0.25,0.5833333333333334
60,DEV,close_reclaim_entry,BINARY,6,8,,,,0.6666666666666666,0.0,0.6666666666666666
60,DEV,touch_reclaim_wall,BINARY,6,8,,,,0.8333333333333334,0.375,0.45833333333333337
60,DEV,close_reclaim_wall,BINARY,6,8,,,,0.8333333333333334,0.25,0.5833333333333334
60,DEV,close_break_pre15_high,BINARY,6,8,,,,0.6666666666666666,0.125,0.5416666666666666
60,DEV,no_new_low_after_alarm,BINARY,6,8,,,,0.5,0.0,0.5
60,REF,close_progress,CONT,2,8,-0.0035257153432749627,-0.12996505627700883,0.75,,,
60,REF,mfe_from_alarm,CONT,2,8,0.11080199603119736,0.11157590191857045,0.5,,,
60,REF,recovery_ratio,CONT,2,8,-0.16456649282922692,-0.41415758573089,0.5625,,,
60,REF,up_slope_3,CONT,2,8,0.1250636168879964,0.018833211107840322,0.625,,,
60,REF,mae_from_alarm,CONT,2,8,0.3520872209825454,0.26989492883494826,0.375,,,
60,REF,close_above_alarm,BINARY,2,8,,,,0.5,0.25,0.25
60,REF,touch_reclaim_entry,BINARY,2,8,,,,0.5,0.0,0.5
60,REF,close_reclaim_entry,BINARY,2,8,,,,0.0,0.0,0.0
60,REF,touch_reclaim_wall,BINARY,2,8,,,,1.0,0.625,0.375
60,REF,close_reclaim_wall,BINARY,2,8,,,,0.5,0.125,0.375
60,REF,close_break_pre15_high,BINARY,2,8,,,,0.0,0.25,-0.25
60,REF,no_new_low_after_alarm,BINARY,2,8,,,,0.0,0.125,-0.125
