period,candidate,n,baseline_wins,baseline_losses,clean_signals,signal_rate,loss_captured,loss_capture_rate,winner_false_exit,winner_false_exit_rate,precision_loss,median_precursor_exit_r_loss,median_baseline_loss_r_captured,median_r_saved,median_lead_to_baseline_failure_min,median_false_exit_to_target_min,false_reclaim_next5_rate,false_reclaim_within15_rate,cf_expectancy_r,cf_total_r,cf_pf,cf_max_dd_r,cf_max_loss_streak,delta_vs_baseline
DEV,P1_FIRST_CLOSE5_BELOW,286,163,94,71,0.24825174825174826,63,0.6702127659574468,7,0.04294478527607362,0.8873239436619719,-1.1434599156118155,-1.174603174603171,0.043032786885247365,10.0,565.0,0.8571428571428571,1.0,-0.0463006643603394,-13.241990007057069,0.8969924141787103,25.335891235622583,5,-0.03156541749077582
DEV,P2_FULL_BODY5_BELOW,286,163,94,33,0.11538461538461539,32,0.3404255319148936,1,0.006134969325153374,0.9696969696969697,-1.1768101381838743,-1.2442009924074875,0.02353266888150407,5.0,805.0,1.0,1.0,-0.015707728338022597,-4.492410304674463,0.9639109707056625,24.74320053486057,5,-0.0009724814684590119
DEV,P3_TWO_CONSEC_CLOSE5_BELOW,286,163,94,33,0.11538461538461539,32,0.3404255319148936,1,0.006134969325153374,0.9696969696969697,-1.1768101381838743,-1.2442009924074875,0.02353266888150407,5.0,805.0,1.0,1.0,-0.015707728338022597,-4.492410304674463,0.9639109707056625,24.74320053486057,5,-0.0009724814684590119
DEV,P4_RECLAIM_ATTEMPT_REJECT,286,163,94,10,0.03496503496503497,10,0.10638297872340426,0,0.0,1.0,-1.13259476884156,-1.1174205105239556,-0.0050259605399842755,5.0,,,,-0.014887535258546195,-4.257835083944212,0.9659705464678566,25.60951778135022,5,-0.00015228838898261043
REF,P1_FIRST_CLOSE5_BELOW,160,99,44,39,0.24375,30,0.6818181818181818,7,0.0707070707070707,0.7692307692307693,-1.1012577166423294,-1.2444958722218846,0.08729712370482012,10.0,290.0,0.7142857142857143,1.0,0.06568457277516324,10.509531644026119,1.17445429868028,7.077011401866237,4,-0.06901539861574768
REF,P2_FULL_BODY5_BELOW,160,99,44,18,0.1125,16,0.36363636363636365,2,0.020202020202020204,0.8888888888888888,-1.103553921568624,-1.247711697255376,-0.0018975332068293937,5.0,265.0,1.0,1.0,0.1154000681526787,18.46401090442859,1.3278752232121462,7.44493071790064,3,-0.01929990323823222
REF,P3_TWO_CONSEC_CLOSE5_BELOW,160,99,44,18,0.1125,16,0.36363636363636365,2,0.020202020202020204,0.8888888888888888,-1.103553921568624,-1.247711697255376,-0.0018975332068293937,5.0,265.0,1.0,1.0,0.1154000681526787,18.46401090442859,1.3278752232121462,7.44493071790064,3,-0.01929990323823222
REF,P4_RECLAIM_ATTEMPT_REJECT,160,99,44,7,0.04375,5,0.11363636363636363,2,0.020202020202020204,0.7142857142857143,-1.0495049504950613,-1.1164556962025411,0.06202531645569742,5.0,265.0,1.0,1.0,0.11210048045370055,17.93607687259209,1.3155422718856742,8.23321829557396,3,-0.022599490937210365
