year,candidate,n,loss_captured,baseline_losses,loss_capture_rate,winner_false_exit,baseline_wins,winner_false_exit_rate,precision_loss,median_r_saved,cf_expectancy_r,cf_total_r
2022,P1_FIRST_CLOSE5_BELOW,88,16,32,0.5,2,51,0.0392156862745098,0.8888888888888888,0.03357313103127724,-0.050560463738870395,-4.449320809020595
2022,P2_FULL_BODY5_BELOW,88,10,32,0.3125,0,51,0.0,1.0,-0.0050259605399842755,-0.024719726029772106,-2.1753358906199454
2022,P3_TWO_CONSEC_CLOSE5_BELOW,88,10,32,0.3125,0,51,0.0,1.0,-0.0050259605399842755,-0.024719726029772106,-2.1753358906199454
2022,P4_RECLAIM_ATTEMPT_REJECT,88,6,32,0.1875,0,51,0.0,1.0,-0.018225816239837545,-0.032537631343964264,-2.8633115582688555
2023,P1_FIRST_CLOSE5_BELOW,98,23,30,0.7666666666666667,3,55,0.05454545454545454,0.8518518518518519,0.027272727272728226,-0.10145724082831288,-9.942809601174663
2023,P2_FULL_BODY5_BELOW,98,8,30,0.26666666666666666,0,55,0.0,1.0,-0.006890611541782499,-0.03703933883343761,-3.6298552056768854
2023,P3_TWO_CONSEC_CLOSE5_BELOW,98,8,30,0.26666666666666666,0,55,0.0,1.0,-0.006890611541782499,-0.03703933883343761,-3.6298552056768854
2023,P4_RECLAIM_ATTEMPT_REJECT,98,2,30,0.06666666666666667,0,55,0.0,1.0,-0.02708606378330869,-0.042157583346365976,-4.131443167943866
2024,P1_FIRST_CLOSE5_BELOW,100,24,32,0.75,2,57,0.03508771929824561,0.9230769230769231,0.09563326159303831,0.011501404031381867,1.1501404031381868
2024,P2_FULL_BODY5_BELOW,100,14,32,0.4375,1,57,0.017543859649122806,0.9333333333333333,0.11593043387019841,0.01312780791622366,1.312780791622366
2024,P3_TWO_CONSEC_CLOSE5_BELOW,100,14,32,0.4375,1,57,0.017543859649122806,0.9333333333333333,0.11593043387019841,0.01312780791622366,1.312780791622366
2024,P4_RECLAIM_ATTEMPT_REJECT,100,2,32,0.0625,0,57,0.0,1.0,0.10422927453322917,0.027369196422685108,2.7369196422685107
2025,P1_FIRST_CLOSE5_BELOW,106,19,24,0.7916666666666666,7,70,0.1,0.7037037037037037,0.09297912713472689,0.12985040376371706,13.764142798954008
2025,P2_FULL_BODY5_BELOW,106,10,24,0.4166666666666667,2,70,0.02857142857142857,0.8333333333333334,-0.0018975332068293937,0.20139482428710212,21.347851374432825
2025,P3_TWO_CONSEC_CLOSE5_BELOW,106,10,24,0.4166666666666667,2,70,0.02857142857142857,0.8333333333333334,-0.0018975332068293937,0.20139482428710212,21.347851374432825
2025,P4_RECLAIM_ATTEMPT_REJECT,106,5,24,0.20833333333333334,2,70,0.02857142857142857,0.7142857142857143,0.06202531645569742,0.20450836267718323,21.67788644378142
2026,P1_FIRST_CLOSE5_BELOW,54,11,20,0.55,0,29,0.0,0.9166666666666666,0.06854838709677247,-0.060270576943109076,-3.25461115492789
2026,P2_FULL_BODY5_BELOW,54,6,20,0.3,0,29,0.0,1.0,0.05199957399222355,-0.05340445314822641,-2.883840470004226
2026,P3_TWO_CONSEC_CLOSE5_BELOW,54,6,20,0.3,0,29,0.0,1.0,0.05199957399222355,-0.05340445314822641,-2.883840470004226
2026,P4_RECLAIM_ATTEMPT_REJECT,54,0,20,0.0,0,29,0.0,,,-0.0692927698368394,-3.741809571189327
