period,candidate,false_exits,reclaim_next5_rate,reclaim_within15_rate,median_signal_to_target_min,median_overshoot_r
DEV,P1_FIRST_CLOSE5_BELOW,7,0.8571428571428571,1.0,565.0,0.3333333333333333
DEV,P2_FULL_BODY5_BELOW,1,1.0,1.0,805.0,0.5503597122302175
DEV,P3_TWO_CONSEC_CLOSE5_BELOW,1,1.0,1.0,805.0,0.5503597122302175
DEV,P4_RECLAIM_ATTEMPT_REJECT,0,,,,
REF,P1_FIRST_CLOSE5_BELOW,7,0.7142857142857143,1.0,290.0,0.21896955503512736
REF,P2_FULL_BODY5_BELOW,2,1.0,1.0,265.0,0.4768445758792523
REF,P3_TWO_CONSEC_CLOSE5_BELOW,2,1.0,1.0,265.0,0.4768445758792523
REF,P4_RECLAIM_ATTEMPT_REJECT,2,1.0,1.0,265.0,0.4768445758792523
