structure_id,structure,direction,n,n_2022,n_2023,n_2024,n_2025,n_2026,detections_per_365d,median_gap_hours,p10_gap_hours,eras_ge15,max_era_share,status
S01,SWEEP_LOW_RECLAIM,LONG,8092,1777,1671,1797,1732,1115,1739.4464075382805,3.75,1.25,5,0.22207118141374196,STRUCTURALLY_VIABLE
S02,HL_CONTINUATION,LONG,797,154,164,181,177,121,171.32214369846878,36.625,4.0,5,0.22710163111668757,STRUCTURALLY_VIABLE
S03,BREAK_HIGH_HOLD,LONG,1577,261,362,428,374,152,338.989988221437,17.0,3.25,5,0.2714013950538998,STRUCTURALLY_VIABLE
S04,FAILED_BREAKDOWN_RECLAIM,LONG,5109,1036,1142,1136,1122,673,1098.2243816254418,5.75,1.75,5,0.22352710902329223,STRUCTURALLY_VIABLE
S05,SWEEP_HIGH_REJECT,SHORT,8542,1883,1784,1875,1829,1171,1836.1778563015314,3.5,1.25,5,0.22044017794427534,STRUCTURALLY_VIABLE
S06,LH_CONTINUATION,SHORT,637,140,140,148,123,86,136.92873969375736,43.75,4.0,5,0.23233908948194662,STRUCTURALLY_VIABLE
S07,BREAK_LOW_HOLD,SHORT,1207,228,244,273,296,166,259.45524146054186,23.0,4.5,5,0.2452361226180613,STRUCTURALLY_VIABLE
S08,FAILED_BREAKOUT_REJECT,SHORT,5553,1090,1232,1294,1236,701,1193.666077738516,5.5,1.75,5,0.23302719250855394,STRUCTURALLY_VIABLE
