structure_id_a,structure_a,structure_id_b,structure_b,same_timestamp_overlap,jaccard
S01,SWEEP_LOW_RECLAIM,S01,SWEEP_LOW_RECLAIM,8092,1.0
S01,SWEEP_LOW_RECLAIM,S02,HL_CONTINUATION,3,0.00033760972316002703
S01,SWEEP_LOW_RECLAIM,S03,BREAK_HIGH_HOLD,1,0.0001034340091021928
S01,SWEEP_LOW_RECLAIM,S04,FAILED_BREAKDOWN_RECLAIM,735,0.058960372212417775
S01,SWEEP_LOW_RECLAIM,S05,SWEEP_HIGH_REJECT,17,0.001023048685081543
S01,SWEEP_LOW_RECLAIM,S06,LH_CONTINUATION,87,0.010067114093959731
S01,SWEEP_LOW_RECLAIM,S07,BREAK_LOW_HOLD,0,0.0
S01,SWEEP_LOW_RECLAIM,S08,FAILED_BREAKOUT_REJECT,39,0.002866382478318389
S02,HL_CONTINUATION,S01,SWEEP_LOW_RECLAIM,3,0.00033760972316002703
S02,HL_CONTINUATION,S02,HL_CONTINUATION,797,1.0
S02,HL_CONTINUATION,S03,BREAK_HIGH_HOLD,0,0.0
S02,HL_CONTINUATION,S04,FAILED_BREAKDOWN_RECLAIM,32,0.005447735784814436
S02,HL_CONTINUATION,S05,SWEEP_HIGH_REJECT,121,0.013126491646778043
S02,HL_CONTINUATION,S06,LH_CONTINUATION,0,0.0
S02,HL_CONTINUATION,S07,BREAK_LOW_HOLD,0,0.0
S02,HL_CONTINUATION,S08,FAILED_BREAKOUT_REJECT,0,0.0
S03,BREAK_HIGH_HOLD,S01,SWEEP_LOW_RECLAIM,1,0.0001034340091021928
S03,BREAK_HIGH_HOLD,S02,HL_CONTINUATION,0,0.0
S03,BREAK_HIGH_HOLD,S03,BREAK_HIGH_HOLD,1577,1.0
S03,BREAK_HIGH_HOLD,S04,FAILED_BREAKDOWN_RECLAIM,0,0.0
S03,BREAK_HIGH_HOLD,S05,SWEEP_HIGH_REJECT,0,0.0
S03,BREAK_HIGH_HOLD,S06,LH_CONTINUATION,0,0.0
S03,BREAK_HIGH_HOLD,S07,BREAK_LOW_HOLD,0,0.0
S03,BREAK_HIGH_HOLD,S08,FAILED_BREAKOUT_REJECT,0,0.0
S04,FAILED_BREAKDOWN_RECLAIM,S01,SWEEP_LOW_RECLAIM,735,0.058960372212417775
S04,FAILED_BREAKDOWN_RECLAIM,S02,HL_CONTINUATION,32,0.005447735784814436
S04,FAILED_BREAKDOWN_RECLAIM,S03,BREAK_HIGH_HOLD,0,0.0
S04,FAILED_BREAKDOWN_RECLAIM,S04,FAILED_BREAKDOWN_RECLAIM,5109,1.0
S04,FAILED_BREAKDOWN_RECLAIM,S05,SWEEP_HIGH_REJECT,39,0.0028651190126359094
S04,FAILED_BREAKDOWN_RECLAIM,S06,LH_CONTINUATION,0,0.0
S04,FAILED_BREAKDOWN_RECLAIM,S07,BREAK_LOW_HOLD,0,0.0
S04,FAILED_BREAKDOWN_RECLAIM,S08,FAILED_BREAKOUT_REJECT,0,0.0
S05,SWEEP_HIGH_REJECT,S01,SWEEP_LOW_RECLAIM,17,0.001023048685081543
S05,SWEEP_HIGH_REJECT,S02,HL_CONTINUATION,121,0.013126491646778043
S05,SWEEP_HIGH_REJECT,S03,BREAK_HIGH_HOLD,0,0.0
S05,SWEEP_HIGH_REJECT,S04,FAILED_BREAKDOWN_RECLAIM,39,0.0028651190126359094
S05,SWEEP_HIGH_REJECT,S05,SWEEP_HIGH_REJECT,8542,1.0
S05,SWEEP_HIGH_REJECT,S06,LH_CONTINUATION,2,0.00021793614470960008
S05,SWEEP_HIGH_REJECT,S07,BREAK_LOW_HOLD,0,0.0
S05,SWEEP_HIGH_REJECT,S08,FAILED_BREAKOUT_REJECT,847,0.06393417874396136
S06,LH_CONTINUATION,S01,SWEEP_LOW_RECLAIM,87,0.010067114093959731
S06,LH_CONTINUATION,S02,HL_CONTINUATION,0,0.0
S06,LH_CONTINUATION,S03,BREAK_HIGH_HOLD,0,0.0
S06,LH_CONTINUATION,S04,FAILED_BREAKDOWN_RECLAIM,0,0.0
S06,LH_CONTINUATION,S05,SWEEP_HIGH_REJECT,2,0.00021793614470960008
S06,LH_CONTINUATION,S06,LH_CONTINUATION,637,1.0
S06,LH_CONTINUATION,S07,BREAK_LOW_HOLD,0,0.0
S06,LH_CONTINUATION,S08,FAILED_BREAKOUT_REJECT,17,0.0027539283978616556
S07,BREAK_LOW_HOLD,S01,SWEEP_LOW_RECLAIM,0,0.0
S07,BREAK_LOW_HOLD,S02,HL_CONTINUATION,0,0.0
S07,BREAK_LOW_HOLD,S03,BREAK_HIGH_HOLD,0,0.0
S07,BREAK_LOW_HOLD,S04,FAILED_BREAKDOWN_RECLAIM,0,0.0
S07,BREAK_LOW_HOLD,S05,SWEEP_HIGH_REJECT,0,0.0
S07,BREAK_LOW_HOLD,S06,LH_CONTINUATION,0,0.0
S07,BREAK_LOW_HOLD,S07,BREAK_LOW_HOLD,1207,1.0
S07,BREAK_LOW_HOLD,S08,FAILED_BREAKOUT_REJECT,0,0.0
S08,FAILED_BREAKOUT_REJECT,S01,SWEEP_LOW_RECLAIM,39,0.002866382478318389
S08,FAILED_BREAKOUT_REJECT,S02,HL_CONTINUATION,0,0.0
S08,FAILED_BREAKOUT_REJECT,S03,BREAK_HIGH_HOLD,0,0.0
S08,FAILED_BREAKOUT_REJECT,S04,FAILED_BREAKDOWN_RECLAIM,0,0.0
S08,FAILED_BREAKOUT_REJECT,S05,SWEEP_HIGH_REJECT,847,0.06393417874396136
S08,FAILED_BREAKOUT_REJECT,S06,LH_CONTINUATION,17,0.0027539283978616556
S08,FAILED_BREAKOUT_REJECT,S07,BREAK_LOW_HOLD,0,0.0
S08,FAILED_BREAKOUT_REJECT,S08,FAILED_BREAKOUT_REJECT,5553,1.0
