period,candidate,parent_n,entries,invalidated_before_entry,no_state,no_target,baseline_wins,baseline_wins_entered,baseline_win_entry_retention,baseline_wins_still_win,baseline_win_outcome_retention,baseline_losses_avoided_before_entry,genuine_zone_failures_avoided_before_entry,resolved,wins,losses,wr,expectancy_r,profit_factor
DEV,E1_RECLAIM_HIGH_BREAK,788,469,312,0,7,353,324,0.9178470254957507,290,0.8215297450424929,185,137,469,329,140,0.7014925373134329,0.07173307275135332,1.2403057937170334
DEV,E2_RECLAIM_HOLD_THEN_BREAK,788,440,337,0,11,353,313,0.886685552407932,283,0.8016997167138811,200,144,440,325,115,0.7386363636363636,0.0347999323641206,1.1331475673062006
DEV,E3_PROTECTED_LOW_THEN_BREAK,788,394,381,0,13,353,290,0.8215297450424929,253,0.71671388101983,221,153,394,307,87,0.7791878172588832,-0.0012834744350315743,0.9941874835930753
REF,E1_RECLAIM_HIGH_BREAK,463,294,164,0,5,212,200,0.9433962264150944,179,0.8443396226415094,95,78,294,203,91,0.6904761904761905,0.014955279174326049,1.0483170557939763
REF,E2_RECLAIM_HOLD_THEN_BREAK,463,272,184,0,7,212,192,0.9056603773584906,176,0.8301886792452831,109,86,272,201,71,0.7389705882352942,-0.001909396417954832,0.9926851292157223
REF,E3_PROTECTED_LOW_THEN_BREAK,463,249,207,0,7,212,184,0.8679245283018868,159,0.75,123,91,249,189,60,0.7590361445783133,-0.07353037126241481,0.6948489592609784
