feature,period,n_extender,n_stopper,median_extender,median_stopper,median_delta,robust_effect
bars_to_tp1,DEV,241,47,6.0,3.0,3.0,0.10714285714285714
bars_to_tp1,REF,162,16,4.5,2.5,2.0,0.08333333333333333
minutes_to_tp1,DEV,241,47,35.0,20.0,15.0,0.10714285714285714
minutes_to_tp1,REF,162,16,27.5,17.5,10.0,0.08333333333333333
progress_per_bar_r,DEV,171,36,0.010129870129869828,0.007369522544782745,0.0027603475850870828,0.10150382276458418
progress_per_bar_r,REF,117,9,0.01,0.007718348002708538,0.002281651997291462,0.056353368499354066
distance_remaining_tp1_r,DEV,241,47,0.10256410256412218,0.12301587301587343,-0.02045177045175124,-0.13039443755422142
distance_remaining_tp1_r,REF,162,16,0.09084952133095926,0.10536189908868249,-0.014512377757723224,-0.09666054629617715
pre_tp1_mae_r,DEV,241,47,-0.13432835820895997,-0.14973262032084939,0.015404262111889416,0.04240168271104347
pre_tp1_mae_r,REF,162,16,-0.1379580776229282,-0.15585777126098346,0.01789969363805527,0.06584940312345504
path_efficiency,DEV,171,36,0.11937377690802257,0.111542610571737,0.00783116633628557,0.027859163366833247
path_efficiency,REF,117,9,0.12405609492987761,0.12114771519659924,0.002908379733278371,0.0069797080339629594
close_above_entry_rate,DEV,171,36,0.5,0.5811688311688312,-0.08116883116883122,-0.10471204188481682
close_above_entry_rate,REF,117,9,0.4444444444444444,0.375,0.06944444444444442,0.10265700483091783
green_rate,DEV,171,36,0.5333333333333333,0.5333333333333333,0.0,0.0
green_rate,REF,117,9,0.5714285714285714,0.5142857142857142,0.05714285714285716,0.342857142857143
max_close_pullback_r,DEV,171,36,0.25089605734766945,0.2979247281801668,-0.047028670832497343,-0.08645476392065406
max_close_pullback_r,REF,117,9,0.1449135968708924,0.34339622641508527,-0.19848262954419288,-0.5415075446717132
last1_progress_r,DEV,171,36,0.06557377049179029,0.0979274348839589,-0.03235366439216861,-0.24068287442339575
last1_progress_r,REF,117,9,0.0738137082601047,0.13438368860056074,-0.06056998034045605,-0.4472873586279592
last3_progress_r,DEV,171,36,0.12015503875969155,0.1643843324027498,-0.04422929364305825,-0.20973523807951766
last3_progress_r,REF,117,9,0.10704960835509288,0.17052826691381262,-0.06347865855871974,-0.32616669087214867
last3_green_rate,DEV,171,36,0.6666666666666666,0.6666666666666666,0.0,0.0
last3_green_rate,REF,117,9,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.9999999999999999
tp1_r,DEV,241,47,0.18985270049099273,0.21739130434780995,-0.027538603856817223,-0.06166395394844135
tp1_r,REF,162,16,0.15547076632101975,0.14927800044449413,0.006192765876525619,0.015984021222567354
tp2_r,DEV,241,47,0.39271255060728716,0.8809523809523769,-0.4882398303450898,-0.7160131840500089
tp2_r,REF,162,16,0.3158926808996979,0.9267981438514934,-0.6109054629517955,-0.8857780215763539
extension_gap_r,DEV,241,47,0.090909090909084,0.44174757281553184,-0.35083848190644784,-1.3018987675181306
extension_gap_r,REF,162,16,0.09933309933309603,0.3853917160704955,-0.28605861673739946,-1.3438380537056882
extension_gap_ratio,DEV,241,47,0.4975124378109405,2.0694006309148167,-1.5718881931038762,-0.7334146053073323
extension_gap_ratio,REF,162,16,0.7006711409395967,1.8642857142855171,-1.1636145733459204,-0.6456777914882942
known_target_count,DEV,241,47,9.0,5.0,4.0,0.14814814814814814
known_target_count,REF,162,16,9.0,7.0,2.0,0.05063291139240506
