feature,q25,q50,q75,unique_internal_cuts
bars_to_tp1,0.0,6.0,28.0,3
minutes_to_tp1,5.0,35.0,145.0,3
progress_per_bar_r,0.0006930072622966573,0.00983640505280617,0.02788752575337953,3
distance_remaining_tp1_r,0.045664930986042934,0.10682708536567882,0.20251035196687933,3
pre_tp1_mae_r,-0.36329365079366044,-0.1355604055195656,0.0,3
path_efficiency,0.012816597974332811,0.11842105263158928,0.293915001152107,3
close_above_entry_rate,0.13392857142857142,0.5,0.9090909090909091,3
green_rate,0.47958333333333336,0.5333333333333333,0.6457528957528957,3
max_close_pullback_r,0.007762116243865165,0.25203252032519996,0.5517306461407143,3
last1_progress_r,0.007004115722368391,0.06562054208274017,0.14142857142856818,3
last3_progress_r,0.03599344262294567,0.12468827930174592,0.24687500000001095,3
last3_green_rate,0.6666666666666666,0.6666666666666666,1.0,2
tp1_r,0.06155476751072201,0.1995970038733238,0.5081463675213682,3
tp2_r,0.20165372418278804,0.44711049468333597,0.8835403726707988,3
extension_gap_r,0.03919823392496588,0.12184510703934905,0.30868038619343097,3
extension_gap_ratio,0.15852130325817526,0.6905982905981998,2.301767676767723,3
known_target_count,4.0,8.0,31.0,3
