feature,dev_effect,ref_effect,direction_consistent,dev_band_spread,ref_band_spread,consistency_score
extension_gap_r,-1.3018987675181306,-1.3438380537056882,True,0.3472222222222222,0.21621621621621623,1.3018987675181306
tp2_r,-0.7160131840500089,-0.8857780215763539,True,0.2777777777777778,0.21294021294021293,0.7160131840500089
extension_gap_ratio,-0.7334146053073323,-0.6456777914882942,True,0.2777777777777778,0.15000000000000002,0.6456777914882942
last1_progress_r,-0.24068287442339575,-0.4472873586279592,True,0.17119155354449478,0.16666666666666663,0.24068287442339575
last3_progress_r,-0.20973523807951766,-0.32616669087214867,True,0.09615384615384615,0.09099437148217637,0.20973523807951766
distance_remaining_tp1_r,-0.13039443755422142,-0.09666054629617715,True,0.125,0.11867905056759553,0.09666054629617715
max_close_pullback_r,-0.08645476392065406,-0.5415075446717132,True,0.09615384615384615,0.16295025728987989,0.08645476392065406
bars_to_tp1,0.10714285714285714,0.08333333333333333,True,0.06285474038259398,0.09294871794871795,0.08333333333333333
minutes_to_tp1,0.10714285714285714,0.08333333333333333,True,0.06285474038259398,0.09294871794871795,0.08333333333333333
progress_per_bar_r,0.10150382276458418,0.056353368499354066,True,0.15233785822021106,0.040616246498599407,0.056353368499354066
known_target_count,0.14814814814814814,0.05063291139240506,True,0.16929447364229977,0.11538461538461542,0.05063291139240506
pre_tp1_mae_r,0.04240168271104347,0.06584940312345504,True,0.16666666666666663,0.16666666666666663,0.04240168271104347
path_efficiency,0.027859163366833247,0.0069797080339629594,True,0.05505279034690802,0.135,0.0069797080339629594
close_above_entry_rate,-0.10471204188481682,0.10265700483091783,False,0.06905660377358491,0.09735654416505479,0.0
green_rate,0.0,0.342857142857143,False,0.16799709724238032,0.08214285714285707,0.0
last3_green_rate,0.0,0.9999999999999999,False,0.08687258687258681,0.06222791293213825,0.0
tp1_r,-0.06166395394844135,0.015984021222567354,False,0.13888888888888884,0.018918918918918948,0.0
