feature,period,band,n,extenders,stoppers,tp2_rate
bars_to_tp1,DEV,Q1_LOW,81,70,11,0.8641975308641975
bars_to_tp1,DEV,Q2,69,56,13,0.8115942028985508
bars_to_tp1,DEV,Q3,67,58,9,0.8656716417910447
bars_to_tp1,DEV,Q4_HIGH,71,57,14,0.8028169014084507
bars_to_tp1,REF,Q1_LOW,52,45,7,0.8653846153846154
bars_to_tp1,REF,Q2,48,46,2,0.9583333333333334
bars_to_tp1,REF,Q3,36,32,4,0.8888888888888888
bars_to_tp1,REF,Q4_HIGH,42,39,3,0.9285714285714286
minutes_to_tp1,DEV,Q1_LOW,81,70,11,0.8641975308641975
minutes_to_tp1,DEV,Q2,69,56,13,0.8115942028985508
minutes_to_tp1,DEV,Q3,67,58,9,0.8656716417910447
minutes_to_tp1,DEV,Q4_HIGH,71,57,14,0.8028169014084507
minutes_to_tp1,REF,Q1_LOW,52,45,7,0.8653846153846154
minutes_to_tp1,REF,Q2,48,46,2,0.9583333333333334
minutes_to_tp1,REF,Q3,36,32,4,0.8888888888888888
minutes_to_tp1,REF,Q4_HIGH,42,39,3,0.9285714285714286
progress_per_bar_r,DEV,Q1_LOW,52,44,8,0.8461538461538461
progress_per_bar_r,DEV,Q2,52,40,12,0.7692307692307693
progress_per_bar_r,DEV,Q3,51,47,4,0.9215686274509803
progress_per_bar_r,DEV,Q4_HIGH,52,40,12,0.7692307692307693
progress_per_bar_r,DEV,NA,81,70,11,0.8641975308641975
progress_per_bar_r,REF,Q1_LOW,34,31,3,0.9117647058823529
progress_per_bar_r,REF,Q2,29,27,2,0.9310344827586207
progress_per_bar_r,REF,Q3,21,20,1,0.9523809523809523
progress_per_bar_r,REF,Q4_HIGH,42,39,3,0.9285714285714286
progress_per_bar_r,REF,NA,52,45,7,0.8653846153846154
distance_remaining_tp1_r,DEV,Q1_LOW,72,64,8,0.8888888888888888
distance_remaining_tp1_r,DEV,Q2,72,59,13,0.8194444444444444
distance_remaining_tp1_r,DEV,Q3,72,55,17,0.7638888888888888
distance_remaining_tp1_r,DEV,Q4_HIGH,72,63,9,0.875
distance_remaining_tp1_r,REF,Q1_LOW,51,49,2,0.9607843137254902
distance_remaining_tp1_r,REF,Q2,50,44,6,0.88
distance_remaining_tp1_r,REF,Q3,39,37,2,0.9487179487179487
distance_remaining_tp1_r,REF,Q4_HIGH,38,32,6,0.8421052631578947
pre_tp1_mae_r,DEV,Q1_LOW,72,60,12,0.8333333333333334
pre_tp1_mae_r,DEV,Q2,72,60,12,0.8333333333333334
pre_tp1_mae_r,DEV,Q3,143,120,23,0.8391608391608392
pre_tp1_mae_r,DEV,Q4_HIGH,1,1,0,1.0
pre_tp1_mae_r,REF,Q1_LOW,36,30,6,0.8333333333333334
pre_tp1_mae_r,REF,Q2,54,52,2,0.9629629629629629
pre_tp1_mae_r,REF,Q3,87,79,8,0.9080459770114943
pre_tp1_mae_r,REF,Q4_HIGH,1,1,0,1.0
path_efficiency,DEV,Q1_LOW,52,43,9,0.8269230769230769
path_efficiency,DEV,Q2,52,42,10,0.8076923076923077
path_efficiency,DEV,Q3,51,44,7,0.8627450980392157
path_efficiency,DEV,Q4_HIGH,52,42,10,0.8076923076923077
path_efficiency,DEV,NA,81,70,11,0.8641975308641975
path_efficiency,REF,Q1_LOW,22,20,2,0.9090909090909091
path_efficiency,REF,Q2,39,37,2,0.9487179487179487
path_efficiency,REF,Q3,25,21,4,0.84
path_efficiency,REF,Q4_HIGH,40,39,1,0.975
path_efficiency,REF,NA,52,45,7,0.8653846153846154
close_above_entry_rate,DEV,Q1_LOW,52,44,8,0.8461538461538461
close_above_entry_rate,DEV,Q2,52,43,9,0.8269230769230769
close_above_entry_rate,DEV,Q3,53,45,8,0.8490566037735849
close_above_entry_rate,DEV,Q4_HIGH,50,39,11,0.78
close_above_entry_rate,DEV,NA,81,70,11,0.8641975308641975
close_above_entry_rate,REF,Q1_LOW,25,24,1,0.96
close_above_entry_rate,REF,Q2,47,41,6,0.8723404255319149
close_above_entry_rate,REF,Q3,21,20,1,0.9523809523809523
close_above_entry_rate,REF,Q4_HIGH,33,32,1,0.9696969696969697
close_above_entry_rate,REF,NA,52,45,7,0.8653846153846154
green_rate,DEV,Q1_LOW,52,47,5,0.9038461538461539
green_rate,DEV,Q2,53,39,14,0.7358490566037735
green_rate,DEV,Q3,50,42,8,0.84
green_rate,DEV,Q4_HIGH,52,43,9,0.8269230769230769
green_rate,DEV,NA,81,70,11,0.8641975308641975
