period,source_field,source,n,extenders,tp2_rate
DEV,tp1_source,15M_PIVOT_HIGH,230,191,0.8304347826086956
DEV,tp1_source,15M_PIVOT_HIGH+EXPANSION_HIGH,40,32,0.8
DEV,tp1_source,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,2,2,1.0
DEV,tp1_source,15M_PIVOT_HIGH+H1_PIVOT_HIGH,14,14,1.0
DEV,tp1_source,H1_PIVOT_HIGH,2,2,1.0
DEV,tp2_source,15M_PIVOT_HIGH,188,160,0.851063829787234
DEV,tp2_source,15M_PIVOT_HIGH+EXPANSION_HIGH,35,30,0.8571428571428571
DEV,tp2_source,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,20,15,0.75
DEV,tp2_source,15M_PIVOT_HIGH+H1_PIVOT_HIGH,35,27,0.7714285714285715
DEV,tp2_source,H1_PIVOT_HIGH,10,9,0.9
REF,tp1_source,15M_PIVOT_HIGH,152,136,0.8947368421052632
REF,tp1_source,15M_PIVOT_HIGH+EXPANSION_HIGH,18,18,1.0
REF,tp1_source,15M_PIVOT_HIGH+H1_PIVOT_HIGH,7,7,1.0
REF,tp1_source,H1_PIVOT_HIGH,1,1,1.0
REF,tp2_source,15M_PIVOT_HIGH,124,117,0.9435483870967742
REF,tp2_source,15M_PIVOT_HIGH+EXPANSION_HIGH,22,16,0.7272727272727273
REF,tp2_source,15M_PIVOT_HIGH+EXPANSION_HIGH+H1_PIVOT_HIGH,10,7,0.7
REF,tp2_source,15M_PIVOT_HIGH+H1_PIVOT_HIGH,19,19,1.0
REF,tp2_source,H1_PIVOT_HIGH,3,3,1.0
