hour_wib,character_rule,lookback_min,hold_min,trades,wr,net,exp,pf,dd,ls,H1_exp,H1_pf,H2_exp,H2_pf,min_half_exp,positive_anchors,local_cell_count,strict_support_count,economic_support_count,economic_support_ratio,support_floor_exp,support_mean_exp
0,STR_B40_60,180,360,182,0.5604395604395604,176.14218542530188,0.9678142056335268,1.310787139163175,85.4619686852156,6,0.5159487706719955,1.1944799323372586,1.363778762043116,1.3876422575729055,0.5159487706719955,3,5,1,1,0.2,0.9678142056335268,0.9678142056335268
0,STR_B60_80,360,240,137,0.6496350364963503,316.5227664342757,2.310385156454567,1.803983300417865,82.41047144745544,7,0.3186443760923073,1.0745314344474537,3.284606190327411,2.5011267800072523,0.3186443760923073,3,4,1,1,0.25,2.310385156454567,2.310385156454567
0,RANGE_MID,60,360,248,0.5887096774193549,346.276880397518,1.3962777435383789,1.400339140667608,120.43172303169354,6,0.8506608390870423,1.2631214680276306,1.796905540513137,1.4889788427595942,0.8506608390870423,4,4,1,2,0.5,1.2224316185216706,1.3093546810300247
0,EFF_LOW__RV_MID,120,240,71,0.5633802816901409,185.4744581254938,2.612316311626673,2.1558160569868647,91.40626298939756,11,2.299029108550191,2.221480934003511,2.841550850463124,2.1201663948652287,2.299029108550191,4,5,2,2,0.4,2.612316311626673,3.0095108386264813
0,EFF_LOW__RV_MID,120,360,71,0.6197183098591549,241.87608095946652,3.4067053656262893,2.316007973940493,84.34386886506348,6,3.980121120632355,3.216244354667411,2.987132861963316,1.9426850343848536,2.987132861963316,4,5,3,4,0.8,1.1806916269158314,2.6879853811655674
0,EFF_LOW__RV_MID,120,480,71,0.6056338028169014,252.20820365503684,3.5522282204934768,1.8546100668762149,97.53514256199048,6,2.1041696755470327,1.464652582306443,3.313883118109888,1.8072196349028,2.1041696755470327,4,4,2,2,0.5,3.4067053656262893,3.479466793059883
0,EFF_HIGH__RV_LOW,240,360,94,0.5957446808510638,68.70769455866883,0.7309329208369025,1.3625599769201322,77.72903837433125,10,0.489357466319211,1.2191439165976918,0.8808763063996075,1.4682179344782729,0.489357466319211,3,5,2,3,0.6,0.5565750729357618,1.0321439626968392
0,EFF_HIGH__RV_LOW,360,360,110,0.5545454545454546,198.98162837496383,1.8089238943178532,1.9535183242478067,70.12306110176243,10,0.6392279499807918,1.3603150398703825,2.332208922047592,2.194692583026173,0.6392279499807918,4,4,2,2,0.5,0.7309329208369025,1.2699284075773778
0,EFF_HIGH__RV_MID,240,240,107,0.5981308411214953,202.1525769348961,1.8892764199523,1.9077078557666904,84.25172275340769,8,2.31654324749099,2.75293338772095,1.5144809571990636,1.5511406575065303,1.5144809571990636,4,5,3,3,0.6,1.2826095541996947,2.116378499457447
0,EFF_HIGH__RV_MID,240,360,107,0.5607476635514018,137.23922229936733,1.2826095541996947,1.432131598083535,87.37244791001386,7,1.5354567090540396,1.623880176177432,1.060813804327463,1.310833830319544,1.060813804327463,4,5,2,2,0.4,1.2826095541996947,1.5859429870759973
