partition,timeframe,entry_type,exit_type,n,win_rate,mean_return,median_return,profit_factor,median_hold_h,median_mfe,median_mae,p90_adverse,max_losing_streak
external,5m,CROSSOVER_INIT,E_FAST_20,2093,0.29001433349259437,4.212747496997896e-05,-0.0013056484672561153,1.0191669201388733,0.8333333333333334,0.0031138197077063,-0.002424308389277652,-0.007136792771420786,18
external,5m,CROSSOVER_INIT,E_WEAKEN_20,2093,0.29001433349259437,4.212747496997896e-05,-0.0013056484672561153,1.0191669201388733,0.8333333333333334,0.0031138197077063,-0.002424308389277652,-0.007136792771420786,18
external,5m,CROSSOVER_INIT,E_STRUCT_50,2093,0.25274725274725274,-6.64043484101635e-05,-0.0017669306168220933,0.9754525364913161,1.1666666666666667,0.0035629824411649302,-0.0029079457644687334,-0.008175752505295874,18
external,5m,CROSSOVER_INIT,E_BEAR_CROSS,2093,0.27998088867654086,0.0006087846812148395,-0.002741880632545435,1.1444163235520346,2.8333333333333335,0.005924986462494841,-0.004950475872419147,-0.014009294232825065,25
external,5m,PULLBACK_RECLAIM,E_FAST_20,2092,0.2605162523900574,-3.2976604245265196e-05,-0.0013261816743352917,0.9829136899730074,0.5833333333333334,0.0025752553066998862,-0.0021617783179795347,-0.006425070343337958,18
external,5m,PULLBACK_RECLAIM,E_WEAKEN_20,2092,0.2605162523900574,-3.2976604245265196e-05,-0.0013261816743352917,0.9829136899730074,0.5833333333333334,0.0025752553066998862,-0.0021617783179795347,-0.006425070343337958,18
external,5m,PULLBACK_RECLAIM,E_STRUCT_50,1706,0.24501758499413834,0.00020495863499793164,-0.0019372656964726787,1.0753770819792903,1.0,0.0035480592654341114,-0.0030488694547426975,-0.00815434007385113,22
external,5m,PULLBACK_RECLAIM,E_BEAR_CROSS,1119,0.29222520107238603,0.0008920346312115483,-0.003278912088987118,1.1894472829367762,2.9166666666666665,0.006387657531176538,-0.006020918178452406,-0.015322104924939616,19
development,5m,CROSSOVER_INIT,E_FAST_20,3276,0.28235653235653235,-2.8298101916724682e-05,-0.0009364497413699158,0.9814648106854476,0.75,0.0018954305051218645,-0.0016222810096974682,-0.004775523416290839,23
development,5m,CROSSOVER_INIT,E_WEAKEN_20,3276,0.28235653235653235,-2.8298101916724682e-05,-0.0009364497413699158,0.9814648106854476,0.75,0.0018954305051218645,-0.0016222810096974682,-0.004775523416290839,23
development,5m,CROSSOVER_INIT,E_STRUCT_50,3276,0.24603174603174602,7.081523084705777e-05,-0.0012183855970558377,1.0381631144626047,1.0833333333333333,0.002188116774220372,-0.0018852731853163385,-0.005580300953979489,28
development,5m,CROSSOVER_INIT,E_BEAR_CROSS,3276,0.25,6.814429918554299e-05,-0.0019732219497660686,1.0232298349167948,2.8333333333333335,0.003562829086079855,-0.0034179758156148154,-0.00953925354147045,20
development,5m,PULLBACK_RECLAIM,E_FAST_20,2980,0.2459731543624161,-4.481932409515199e-05,-0.0009683312547861256,0.9671804225523825,0.5,0.0015280772765281503,-0.0014964077813824361,-0.004000919882470011,24
development,5m,PULLBACK_RECLAIM,E_WEAKEN_20,2980,0.2459731543624161,-4.481932409515199e-05,-0.0009683312547861256,0.9671804225523825,0.5,0.0015280772765281503,-0.0014964077813824361,-0.004000919882470011,24
development,5m,PULLBACK_RECLAIM,E_STRUCT_50,2456,0.2251628664495114,-1.8694764697367786e-05,-0.001415974181294799,0.9903023939173723,0.9166666666666666,0.002072352577781378,-0.0020277044815486533,-0.005461232707135499,19
development,5m,PULLBACK_RECLAIM,E_BEAR_CROSS,1705,0.2439882697947214,-0.00022962997289518758,-0.0022992547338001046,0.9291265532352192,2.9166666666666665,0.0037551759400511475,-0.003896103896103842,-0.010102764993689561,26
reference_validation,5m,CROSSOVER_INIT,E_FAST_20,1641,0.30469226081657524,-0.000164919454212868,-0.0008629254829807254,0.8793069100834191,0.8333333333333334,0.0017357945560949606,-0.0014667214914871884,-0.0042739939778865255,17
reference_validation,5m,CROSSOVER_INIT,E_WEAKEN_20,1641,0.30469226081657524,-0.000164919454212868,-0.0008629254829807254,0.8793069100834191,0.8333333333333334,0.0017357945560949606,-0.0014667214914871884,-0.0042739939778865255,17
reference_validation,5m,CROSSOVER_INIT,E_STRUCT_50,1641,0.2693479585618525,-4.440390491535413e-05,-0.0011738159690046768,0.9736065552149655,1.0833333333333333,0.002065141312932006,-0.0017694516163857532,-0.005078224756450367,19
reference_validation,5m,CROSSOVER_INIT,E_BEAR_CROSS,1641,0.28214503351614867,-5.957261574309845e-05,-0.0018110480276819496,0.9773963909411905,2.75,0.003118725575321779,-0.0031015168820942574,-0.00845957693250965,21
reference_validation,5m,PULLBACK_RECLAIM,E_FAST_20,1411,0.2905740609496811,4.85064232629606e-05,-0.0007489754580998209,1.0426558997853153,0.6666666666666666,0.0016535477172165969,-0.0012716379951104306,-0.0035548067745305723,18
reference_validation,5m,PULLBACK_RECLAIM,E_WEAKEN_20,1411,0.2905740609496811,4.85064232629606e-05,-0.0007489754580998209,1.0426558997853153,0.6666666666666666,0.0016535477172165969,-0.0012716379951104306,-0.0035548067745305723,18
reference_validation,5m,PULLBACK_RECLAIM,E_STRUCT_50,1173,0.2566069906223359,5.0542245931400676e-05,-0.0012052560118991362,1.0307549952618813,1.1666666666666667,0.002047292057304695,-0.0018319830151032335,-0.004753340228315151,27
reference_validation,5m,PULLBACK_RECLAIM,E_BEAR_CROSS,826,0.2820823244552058,-5.970304506633444e-05,-0.002120442013314461,0.9785826461397581,3.0833333333333335,0.0033647895792785487,-0.0034672712789773907,-0.008402102760327546,21
august,5m,CROSSOVER_INIT,E_FAST_20,56,0.25,-0.00018010494480461388,-0.00041154999228454336,0.7702071724060191,0.875,0.001129060260560033,-0.0006643139680661547,-0.0024047439105501778,8
august,5m,CROSSOVER_INIT,E_WEAKEN_20,56,0.25,-0.00018010494480461388,-0.00041154999228454336,0.7702071724060191,0.875,0.001129060260560033,-0.0006643139680661547,-0.0024047439105501778,8
august,5m,CROSSOVER_INIT,E_STRUCT_50,56,0.32142857142857145,0.0012999433221516782,-0.00044402182740604923,2.436902800883735,1.5,0.0022051631509675262,-0.0009270140453657705,-0.003150123661252946,6
august,5m,CROSSOVER_INIT,E_BEAR_CROSS,56,0.39285714285714285,0.0022189004287575275,-0.0006643400406531885,2.969994877441248,3.75,0.0029187713952124605,-0.0015510866519988231,-0.003857141183174262,5
august,5m,PULLBACK_RECLAIM,E_FAST_20,48,0.3541666666666667,0.0015439600974026617,-0.0005157180413611351,2.9176765714483457,0.5833333333333334,0.0009300580947755321,-0.0008664672778812554,-0.0029807431175134513,8
august,5m,PULLBACK_RECLAIM,E_WEAKEN_20,48,0.3541666666666667,0.0015439600974026617,-0.0005157180413611351,2.9176765714483457,0.5833333333333334,0.0009300580947755321,-0.0008664672778812554,-0.0029807431175134513,8
august,5m,PULLBACK_RECLAIM,E_STRUCT_50,37,0.2972972972972973,0.0026742938584196838,-0.0007574384139578116,3.519826873124388,1.25,0.0015488190254930867,-0.0012013156216689191,-0.003034936739552996,9
august,5m,PULLBACK_RECLAIM,E_BEAR_CROSS,27,0.48148148148148145,0.003570208530110228,-0.0002638481715784291,3.961375544954895,4.666666666666667,0.0030041896855634853,-0.0016997930755630053,-0.004240336536282441,4
external,15m,CROSSOVER_INIT,E_FAST_20,664,0.2921686746987952,7.649277161804936e-05,-0.002406309976017207,1.019587994133696,2.5,0.005829441234598276,-0.004683206211052393,-0.012707046877517447,21
external,15m,CROSSOVER_INIT,E_WEAKEN_20,664,0.2921686746987952,7.649277161804936e-05,-0.002406309976017207,1.019587994133696,2.5,0.005829441234598276,-0.004683206211052393,-0.012707046877517447,21
external,15m,CROSSOVER_INIT,E_STRUCT_50,664,0.2635542168674699,0.001084066902447964,-0.0031212457913618596,1.2195240521588766,3.25,0.006905100291984101,-0.0056336361458732,-0.014819001649548413,15
external,15m,CROSSOVER_INIT,E_BEAR_CROSS,664,0.3057228915662651,0.0023912548169260192,-0.0053481292687824755,1.3123661206507062,8.75,0.010650534862005734,-0.00951199712413009,-0.024492903000544266,12
external,15m,PULLBACK_RECLAIM,E_FAST_20,693,0.26551226551226553,0.0002784446018492144,-0.002366501187135772,1.078743684667252,1.75,0.004937895603458919,-0.004151042180164044,-0.011797877567972348,15
external,15m,PULLBACK_RECLAIM,E_WEAKEN_20,693,0.26551226551226553,0.0002784446018492144,-0.002366501187135772,1.078743684667252,1.75,0.004937895603458919,-0.004151042180164044,-0.011797877567972348,15
external,15m,PULLBACK_RECLAIM,E_STRUCT_50,569,0.24253075571177504,0.0007285635990429439,-0.0034473241368961904,1.1493417977265592,3.25,0.006666666666666821,-0.006048876120360203,-0.015414275179485437,25
external,15m,PULLBACK_RECLAIM,E_BEAR_CROSS,392,0.25255102040816324,0.0005665159747773392,-0.006481149817907539,1.0662911472246386,8.75,0.010060311919692921,-0.01094990203636198,-0.026965638429122897,17
development,15m,CROSSOVER_INIT,E_FAST_20,1016,0.28937007874015747,2.3902252399623262e-05,-0.0016744227604995054,1.0084365749974902,2.25,0.003449745630997203,-0.0031872273726232248,-0.009245472705771973,17
development,15m,CROSSOVER_INIT,E_WEAKEN_20,1016,0.28937007874015747,2.3902252399623262e-05,-0.0016744227604995054,1.0084365749974902,2.25,0.003449745630997203,-0.0031872273726232248,-0.009245472705771973,17
development,15m,CROSSOVER_INIT,E_STRUCT_50,1016,0.2440944881889764,6.883802660137835e-05,-0.0021597088636950423,1.0192871482158437,3.125,0.004098927503088268,-0.003902166784767125,-0.011358452790824647,17
development,15m,CROSSOVER_INIT,E_BEAR_CROSS,1016,0.27263779527559057,0.0008919701473633992,-0.003601706106637681,1.162429516822027,8.25,0.006797512048447363,-0.006702120347905016,-0.018694485747709766,18
development,15m,PULLBACK_RECLAIM,E_FAST_20,1024,0.251953125,0.00018167547329250443,-0.0016305177380974145,1.0745909054448406,1.5,0.0028832102430542683,-0.002750298076654556,-0.007528101632939299,17
development,15m,PULLBACK_RECLAIM,E_WEAKEN_20,1024,0.251953125,0.00018167547329250443,-0.0016305177380974145,1.0745909054448406,1.5,0.0028832102430542683,-0.002750298076654556,-0.007528101632939299,17
development,15m,PULLBACK_RECLAIM,E_STRUCT_50,824,0.22936893203883496,0.0003883811227623198,-0.002273566526255655,1.1162426592098647,3.0,0.0042211860612177965,-0.0038432204523906055,-0.010280489082668709,16
development,15m,PULLBACK_RECLAIM,E_BEAR_CROSS,545,0.26055045871559634,0.0004799482470339311,-0.004179465832208851,1.0819255491136133,9.5,0.008006116811365427,-0.007188890732474973,-0.020286711615038918,17
reference_validation,15m,CROSSOVER_INIT,E_FAST_20,518,0.3088803088803089,0.00012763199945754546,-0.0015901821628891977,1.0518299315436526,2.5,0.0034701344212215712,-0.0029493854206529835,-0.007939118313918947,16
reference_validation,15m,CROSSOVER_INIT,E_WEAKEN_20,518,0.3088803088803089,0.00012763199945754546,-0.0015901821628891977,1.0518299315436526,2.5,0.0034701344212215712,-0.0029493854206529835,-0.007939118313918947,16
reference_validation,15m,CROSSOVER_INIT,E_STRUCT_50,518,0.27413127413127414,0.00010955890500906291,-0.0022656050336887223,1.035475185764643,3.25,0.004233666352711274,-0.0034196539041403407,-0.009295658656686778,17
reference_validation,15m,CROSSOVER_INIT,E_BEAR_CROSS,518,0.2915057915057915,-7.524188321012646e-06,-0.0035243738897121624,0.9984347937729636,9.25,0.006572902651534651,-0.005904861962672925,-0.015354948464003359,14
reference_validation,15m,PULLBACK_RECLAIM,E_FAST_20,512,0.28125,-0.00016922461896880714,-0.0015117171693133646,0.9233900163492046,1.75,0.0029606287247041507,-0.002459707005064593,-0.007003678017415793,18
