partition,entry_tf,higher_tf,higher_state_at_entry,signal_ts,entry_ts,exit_ts,entry_px,exit_px,return,mfe,mae,bars_held,strong_bars,healthy_bars,strong_frac,healthy_frac,exit_reason
external,5m,1h,STRONG_BEAR,2020-09-24 02:10:00+00:00,2020-09-24 02:15:00+00:00,2020-09-24 03:00:00+00:00,10301.83,10286.87,-0.0014521691777090728,0.0037041962447448284,-0.002060798906601935,9,4,4,0.4444444444444444,0.4444444444444444,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-09-29 07:55:00+00:00,2020-09-29 08:00:00+00:00,2020-09-29 08:10:00+00:00,10722.01,10714.92,-0.0006612566114002627,6.342094439393264e-05,-0.0011173278144676058,2,0,1,0.0,0.5,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-09-29 10:10:00+00:00,2020-09-29 10:15:00+00:00,2020-09-29 11:55:00+00:00,10734.3,10757.01,0.0021156479695929598,0.005841088846035625,-0.0004052430060644818,20,15,4,0.75,0.2,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-09-29 19:40:00+00:00,2020-09-29 19:45:00+00:00,2020-09-29 21:45:00+00:00,10726.65,10754.01,0.0025506565423500938,0.0046911197811059235,0.0,24,20,3,0.8333333333333334,0.125,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-09-30 13:10:00+00:00,2020-09-30 13:15:00+00:00,2020-09-30 16:10:00+00:00,10737.97,10752.44,0.0013475545191503624,0.00480817137689904,-0.0016660504732272097,35,25,9,0.7142857142857143,0.2571428571428571,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-10-02 03:45:00+00:00,2020-10-02 03:50:00+00:00,2020-10-02 04:55:00+00:00,10607.09,10620.07,0.0012237098016514292,0.0049881730050371775,0.0,13,10,2,0.7692307692307693,0.15384615384615385,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-10-02 13:40:00+00:00,2020-10-02 13:45:00+00:00,2020-10-02 15:55:00+00:00,10529.0,10517.14,-0.0011264127647450106,0.006711938455693733,-0.0027571469275335936,26,12,13,0.46153846153846156,0.5,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-10-07 06:20:00+00:00,2020-10-07 06:25:00+00:00,2020-10-07 07:20:00+00:00,10616.0,10605.0,-0.0010361718161265854,0.0008458929917105618,-0.0017897513187641323,11,8,2,0.7272727272727273,0.18181818181818182,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
external,5m,1h,STRONG_BEAR,2020-10-08 11:25:00+00:00,2020-10-08 11:30:00+00:00,2020-10-08 12:05:00+00:00,10596.54,10587.49,-0.0008540523604876338,0.0007983738088093162,-0.0009654094638439359,7,6,0,0.8571428571428571,0.0,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-10-14 13:35:00+00:00,2020-10-14 13:40:00+00:00,2020-10-14 14:30:00+00:00,11465.87,11385.55,-0.007005137856961663,0.00733742838528606,-0.009015451945644015,10,8,1,0.8,0.1,CLOSE_BELOW_EMA50
external,5m,1h,STRONG_BEAR,2020-10-16 14:20:00+00:00,2020-10-16 14:25:00+00:00,2020-10-16 14:35:00+00:00,11372.12,11354.05,-0.00158897373576794,0.0006929226916352338,-0.0018985026538587135,2,1,0,0.5,0.0,BELOW_EMA20_SLOPE_DOWN_SPREAD_NARROW
