rule,partition,opportunities,confirmed,confirmation_rate,executed,execution_rate,same_bar_confirmations,later_confirmations,median_touch_to_confirm_min,median_touch_to_entry_min,tp_rate,wr,pf,expectancy_usd,total_pnl_usd,median_entry_fraction,median_nominal_rr,h2_before_exit_rate,close_invalidations,time_exits
BLIND_F15,external,50,50,1.0,50,1.0,0,0,0.0,0.0,0.56,0.58,1.544172142443474,0.8177101526556908,40.88550763278454,0.15,0.7000000000000002,0.74,7,15
BLIND_F15,development,79,79,1.0,79,1.0,0,0,0.0,0.0,0.5949367088607594,0.5949367088607594,0.830995961595576,-0.2854260949319876,-22.54866149962702,0.15,0.7,0.6962025316455697,22,10
BLIND_F15,reference_validation,34,34,1.0,34,1.0,0,0,0.0,0.0,0.5,0.5294117647058824,0.5525513421829255,-0.8824248407256943,-30.002444584673604,0.15,0.7000000000000006,0.6764705882352942,13,4
BLIND_F15,august,1,1,1.0,1,1.0,0,0,0.0,0.0,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702,0.15,0.6999999999999756,1.0,1,0
EARLY_REJECT,external,50,42,0.84,42,0.84,25,17,5.0,5.0,0.6190476190476191,0.6428571428571429,1.4061110497931413,0.5868833059079199,24.64909884813264,0.10809298131164131,0.5685353359206196,0.8333333333333334,5,11
EARLY_REJECT,development,79,56,0.7088607594936709,56,0.7088607594936709,25,31,10.0,10.0,0.5892857142857143,0.5892857142857143,0.872416585332758,-0.20028923510230864,-11.216197165729284,0.11868017210114727,0.5997914344059432,0.7678571428571429,12,11
EARLY_REJECT,reference_validation,34,22,0.6470588235294118,22,0.6470588235294118,12,10,5.0,5.0,0.5,0.5,0.5207767275396673,-0.9598735892485805,-21.11721896346877,0.13210329587917266,0.6412543420378513,0.7272727272727273,7,4
EARLY_REJECT,august,1,1,1.0,1,1.0,1,0,5.0,5.0,0.0,0.0,0.0,-2.725815513533058,-2.725815513533058,0.058963953210783016,0.43815255366840933,1.0,1,0
SAME_BAR_REJECTION,external,50,25,0.5,25,0.5,25,0,5.0,5.0,0.6,0.64,1.1091056257009795,0.1572611090568058,3.9315277264201445,0.10776699029126567,0.5675917636526503,0.88,4,6
SAME_BAR_REJECTION,development,79,25,0.31645569620253167,25,0.31645569620253167,25,0,5.0,5.0,0.6,0.6,0.7715709681430254,-0.33057159106862,-8.2642897767155,0.11813053988719244,0.5981365048102787,0.76,6,4
SAME_BAR_REJECTION,reference_validation,34,12,0.35294117647058826,12,0.35294117647058826,12,0,5.0,5.0,0.4166666666666667,0.4166666666666667,0.2080795207913318,-1.9295508472357537,-23.154610166829045,0.1300379860482781,0.6347545069954768,0.6666666666666666,5,2
SAME_BAR_REJECTION,august,1,1,1.0,1,1.0,1,0,5.0,5.0,0.0,0.0,0.0,-2.725815513533058,-2.725815513533058,0.058963953210783016,0.43815255366840933,1.0,1,0
