quantile,raw_extension_R,target_R,development_sessions,break_sessions,positive_extension_n
0.35,0.24887319959454154,0.2,1088,408,288
0.5,0.36645899799432335,0.35,1088,408,288
0.65,0.6093367669648503,0.6,1088,408,288
