hold_min,period,slippage_bps_per_side,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
360,2022,0,33,0.5757575757575758,22.244207989257887,0.6740669087653905,1.2629385624702536,32.31279536666999,5,5
360,2022-2025,0,113,0.5398230088495575,48.4233894993874,0.4285255707910389,1.1691767245948828,60.47062615225789,6,7
360,2023,0,31,0.4838709677419355,-2.201045653249636,-0.07100147268547212,0.96587668216128,27.353742726666304,5,4
360,2024,0,24,0.5416666666666666,49.33414720741366,2.055589466975569,2.146508622648243,25.95678513233827,6,7
360,2025,0,25,0.56,-20.953920044034504,-0.8381568017613802,0.7773193857539463,47.48057649968254,2,6
360,2022,2,33,0.5757575757575758,15.644207989257897,0.4740669087653908,1.1789985867149702,33.31279536666999,5,5
360,2022-2025,2,113,0.5221238938053098,25.823389499387414,0.22852557079103905,1.0870209159912798,68.8706261522579,6,7
360,2023,2,31,0.45161290322580644,-8.40104565324964,-0.27100147268547226,0.8759931642363837,30.953742726666306,5,3
360,2024,2,24,0.5416666666666666,44.53414720741365,1.8555894669755688,1.9846174940088,27.156785132338275,6,7
360,2025,2,25,0.52,-25.95392004403451,-1.0381568017613805,0.7306963794093865,52.080576499682536,4,6
360,2022,5,33,0.5454545454545454,5.7442079892578874,0.17406690876539052,1.0626968551406224,34.812795366669995,5,5
360,2022-2025,5,113,0.5132743362831859,-8.076610500612604,-0.0714744292089611,0.9741936166026751,81.47062615225789,6,7
360,2023,5,31,0.45161290322580644,-17.701045653249633,-0.5710014726854721,0.7570094209684259,36.353742726666304,5,3
360,2024,5,24,0.5416666666666666,37.33414720741365,1.5555894669755688,1.769302018102963,28.95678513233827,6,7
360,2025,5,25,0.52,-33.453920044034504,-1.33815680176138,0.6653744543957775,58.98057649968254,4,6
360,2022,10,33,0.5151515151515151,-10.755792010742113,-0.32593309123460945,0.8917256385476611,46.31735872772497,5,3
360,2022-2025,10,113,0.48672566371681414,-64.57661050061262,-0.5714744292089612,0.810685951645002,124.66483367324349,6,7
360,2023,10,31,0.45161290322580644,-33.201045653249636,-1.0710014726854722,0.5918571644931265,45.35374272666631,5,3
360,2024,10,24,0.5,25.334147207413654,1.055589466975569,1.4664957735602222,31.95678513233827,6,7
360,2025,10,25,0.48,-45.953920044034504,-1.83815680176138,0.5669467802280175,70.48057649968254,4,3
480,2022,0,33,0.6666666666666666,29.598476609230534,0.8969235336130464,1.304929715449469,37.016377630046065,5,9
480,2022-2025,0,113,0.5752212389380531,105.6076415002694,0.9345808982324725,1.3313561766580064,54.14602923217309,6,9
480,2023,0,31,0.5161290322580645,3.445723893795814,0.1111523836708327,1.0407275556061568,24.629472078561005,5,4
480,2024,0,24,0.5833333333333334,83.05415003832417,3.4605895849301738,3.372453653889781,20.57537549592287,4,7
480,2025,0,25,0.52,-10.490709041081136,-0.4196283616432454,0.8971850575609348,42.381511032045466,3,4
480,2022,2,33,0.6363636363636364,22.99847660923053,0.6969235336130464,1.2314927620594633,38.01637763004606,5,5
480,2022-2025,2,113,0.5663716814159292,83.00764150026939,0.7345808982324724,1.252767379756064,62.5460292321731,6,7
480,2023,2,31,0.5161290322580645,-2.754276106204168,-0.08884761632916671,0.9685600137323029,25.629472078561,5,4
480,2024,2,24,0.5833333333333334,78.25415003832418,3.2605895849301745,3.1145368731991314,21.775375495922866,4,7
480,2025,2,25,0.52,-15.490709041081132,-0.6196283616432453,0.851671099948021,46.58151103204546,3,4
480,2022,5,33,0.6060606060606061,13.098476609230534,0.3969235336130465,1.1271312156053603,39.51637763004606,5,5
480,2022-2025,5,113,0.5575221238938053,49.107641500269395,0.43458089823247253,1.1430967191024235,75.1460292321731,6,7
480,2023,5,31,0.5161290322580645,-12.054276106204185,-0.38884761632916726,0.8691235485883405,27.129472078561005,5,4
480,2024,5,24,0.5833333333333334,71.05415003832418,2.960589584930174,2.776011788980978,23.57537549592287,4,7
480,2025,5,25,0.52,-22.990709041081136,-0.9196283616432455,0.7871917692161652,52.88151103204546,3,4
480,2022,10,33,0.5757575757575758,-3.4015233907694657,-0.1030764663869535,0.9689800928345557,44.191349572202185,5,5
480,2022-2025,10,113,0.5309734513274337,-7.3923584997306016,-0.06541910176752745,0.9799575129664899,98.32100117432923,6,7
480,2023,10,31,0.4838709677419355,-27.554276106204185,-0.8888476163291672,0.7240103985826442,30.65454106387456,6,3
480,2024,10,24,0.5833333333333334,59.05415003832418,2.460589584930174,2.312089879795022,26.57537549592287,4,7
480,2025,10,25,0.48,-35.49070904108113,-1.4196283616432452,0.6895832384046033,63.679093949886365,3,4
720,2022,0,33,0.6060606060606061,72.18979029980116,2.1875694030242774,1.8018082747013187,31.89178816509446,3,6
720,2022-2025,0,113,0.5929203539823009,297.7712419455227,2.6351437340311743,2.041421632757906,33.64447409637424,6,6
720,2023,0,31,0.5161290322580645,62.08901719313107,2.002871522359067,1.7268555002565664,33.64447409637422,5,4
720,2024,0,24,0.6666666666666666,131.7474286726908,5.48947619469545,5.217660876054638,13.412237455531937,2,5
