scope,n,mean_depth_R,p10_depth_R,p25_depth_R,p50_depth_R,p75_depth_R,p85_depth_R,p90_depth_R,p95_depth_R
ALL,97,0.3747610180773573,0.0,0.0,0.24954792043399424,0.6461611826418698,0.906257053291532,0.9500349020904462,1.0292293473105585
H2,76,0.24370996111591045,0.0,0.0,0.16123489997940443,0.36125754473107735,0.4952766531713904,0.6458654014475191,0.8103610675039276
NON_H2,21,0.8490410337473552,0.2617449664429519,0.7435897435897444,0.9293248945147604,0.9909909909909991,1.1377358490566016,1.1939487975174556,1.2788530465949801
H2_NORMAL_6H30,70,0.23196011630294358,0.0,0.0,0.14539354563851212,0.35576107498400694,0.4889547341636556,0.6113311555736978,0.7682258064516133
H2_DST_MISMATCH_5H30,6,0.3807914839338573,0.0,0.06238698010849856,0.30195842623641606,0.5787330780801332,0.7469685761628604,0.8404160255651559,0.9338634749674515
