rule,need,partition,date_utc,signal_ts,entry_bar_start,entry_px,H,L,range,F15,F65,E20_DOWN,frozen_h2_bar_start,session_end,baseline_exit_reason,baseline_net_pnl_usd,baseline_loser,frozen_h2_failure,persistence_exit,persistence_bar_start,persistence_run,max_pre_h2_run_seen,exit_bar_start,exit_ts,exit_px,exit_reason,net_pnl_usd,win,h2_before_exit
P1,1,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.9000000000015,62618.335,62827.785,62471.72,2026-08-14 14:15:00+00:00,2026-08-14 20:00:00+00:00,CLOSE_INVALIDATION,-2.419895610447034,True,False,False,,0,0,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,CLOSE_INVALIDATION_F65,-2.419895610447034,False,True
P2,2,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.9000000000015,62618.335,62827.785,62471.72,2026-08-14 14:15:00+00:00,2026-08-14 20:00:00+00:00,CLOSE_INVALIDATION,-2.419895610447034,True,False,False,,0,0,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,CLOSE_INVALIDATION_F65,-2.419895610447034,False,True
P3,3,august,2026-08-14,2026-08-14 14:05:00+00:00,2026-08-14 14:10:00+00:00,62618.335,62974.4,62555.5,418.9000000000015,62618.335,62827.785,62471.72,2026-08-14 14:15:00+00:00,2026-08-14 20:00:00+00:00,CLOSE_INVALIDATION,-2.419895610447034,True,False,False,,0,0,2026-08-14 15:30:00+00:00,2026-08-14 15:35:00+00:00,62871.3,CLOSE_INVALIDATION_F65,-2.419895610447034,False,True
P1,1,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:50:00+00:00,2022-01-03 20:00:00+00:00,TP,2.5786403244763387,False,False,True,2022-01-03 15:15:00+00:00,1,1,2022-01-03 15:15:00+00:00,2022-01-03 15:20:00+00:00,46915.98,PERSISTENCE_P1,-0.6052061920816854,False,False
P2,2,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:50:00+00:00,2022-01-03 20:00:00+00:00,TP,2.5786403244763387,False,False,False,,0,1,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46617.356,TP_E20_DOWN,2.5786403244763387,True,True
P3,3,development,2022-01-03,2022-01-03 15:10:00+00:00,2022-01-03 15:15:00+00:00,46896.733,47575.22,46777.0,798.2200000000012,46896.733,47295.843,46617.356,2022-01-03 15:50:00+00:00,2022-01-03 20:00:00+00:00,TP,2.5786403244763387,False,False,False,,0,1,2022-01-03 15:55:00+00:00,2022-01-03 15:55:00+00:00,46617.356,TP_E20_DOWN,2.5786403244763387,True,True
P1,1,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:55:00+00:00,2022-01-17 20:00:00+00:00,TP,1.5259819179951268,False,False,True,2022-01-17 15:30:00+00:00,1,1,2022-01-17 15:30:00+00:00,2022-01-17 15:35:00+00:00,42502.8,PERSISTENCE_P1,-0.5489227696083825,False,False
P2,2,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:55:00+00:00,2022-01-17 20:00:00+00:00,TP,1.5259819179951268,False,False,True,2022-01-17 15:35:00+00:00,2,2,2022-01-17 15:35:00+00:00,2022-01-17 15:40:00+00:00,42607.91,PERSISTENCE_P2,-1.7857978289530334,False,False
P3,3,development,2022-01-17,2022-01-17 15:15:00+00:00,2022-01-17 15:30:00+00:00,42490.1445,42887.63,42420.0,467.6299999999974,42490.1445,42723.9595,42326.474,2022-01-17 15:55:00+00:00,2022-01-17 20:00:00+00:00,TP,1.5259819179951268,False,False,True,2022-01-17 15:40:00+00:00,3,3,2022-01-17 15:40:00+00:00,2022-01-17 15:45:00+00:00,42612.27,PERSISTENCE_P3,-1.8371038441631407,False,False
P1,1,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,38728.61,39057.31,38498.52,2022-03-14 17:30:00+00:00,2022-03-14 20:00:00+00:00,CLOSE_INVALIDATION,-5.207686100792146,True,False,True,2022-03-14 14:50:00+00:00,1,1,2022-03-14 14:50:00+00:00,2022-03-14 14:55:00+00:00,38868.9,PERSISTENCE_P1,-2.2111933271036692,False,False
P2,2,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,38728.61,39057.31,38498.52,2022-03-14 17:30:00+00:00,2022-03-14 20:00:00+00:00,CLOSE_INVALIDATION,-5.207686100792146,True,False,True,2022-03-14 14:55:00+00:00,2,2,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,PERSISTENCE_P2,-5.207686100792146,False,False
P3,3,development,2022-03-14,2022-03-14 13:35:00+00:00,2022-03-14 14:50:00+00:00,38728.61,39287.4,38630.0,657.4000000000015,38728.61,39057.31,38498.52,2022-03-14 17:30:00+00:00,2022-03-14 20:00:00+00:00,CLOSE_INVALIDATION,-5.207686100792146,True,False,False,,0,2,2022-03-14 14:55:00+00:00,2022-03-14 15:00:00+00:00,39101.0,CLOSE_INVALIDATION_F65,-5.207686100792146,False,False
P1,1,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.855,43206.7,42721.0,485.6999999999971,42793.855,43036.705,42623.86,,2022-03-24 20:00:00+00:00,CLOSE_INVALIDATION,-3.548173960957794,True,True,True,2022-03-24 13:50:00+00:00,1,1,2022-03-24 13:50:00+00:00,2022-03-24 13:55:00+00:00,42925.0,PERSISTENCE_P1,-1.932287754865702,False,False
P2,2,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.855,43206.7,42721.0,485.6999999999971,42793.855,43036.705,42623.86,,2022-03-24 20:00:00+00:00,CLOSE_INVALIDATION,-3.548173960957794,True,True,True,2022-03-24 13:55:00+00:00,2,2,2022-03-24 13:55:00+00:00,2022-03-24 14:00:00+00:00,42968.9,PERSISTENCE_P2,-2.445211865114725,False,False
P3,3,development,2022-03-24,2022-03-24 13:35:00+00:00,2022-03-24 13:50:00+00:00,42793.855,43206.7,42721.0,485.6999999999971,42793.855,43036.705,42623.86,,2022-03-24 20:00:00+00:00,CLOSE_INVALIDATION,-3.548173960957794,True,True,True,2022-03-24 14:00:00+00:00,3,3,2022-03-24 14:00:00+00:00,2022-03-24 14:05:00+00:00,43063.3,PERSISTENCE_P3,-3.5481739609577083,False,False
P1,1,development,2022-04-15,2022-04-15 14:00:00+00:00,2022-04-15 14:10:00+00:00,40064.76,40400.0,40005.6,394.4000000000015,40064.76,40261.96,39926.72,2022-04-15 14:25:00+00:00,2022-04-15 20:00:00+00:00,TP,1.3227109310027174,False,False,True,2022-04-15 14:10:00+00:00,1,1,2022-04-15 14:10:00+00:00,2022-04-15 14:15:00+00:00,40072.2,PERSISTENCE_P1,-0.4928496763738889,False,False
