family,feature,b1_gap,b1_effect_IQR,b2_gap,b2_effect_IQR,b3_gap,b3_effect_IQR,b4_gap,b4_effect_IQR,b5_gap,b5_effect_IQR,b6_gap,b6_effect_IQR,dev_win_n,dev_fail_n,dev_win_median,dev_fail_median,dev_gap,dev_effect_IQR,adequate_dev_blocks,same_sign_dev_blocks,external_win_n,external_fail_n,external_win_median,external_fail_median,external_gap,external_effect_IQR,reference_win_n,reference_fail_n,reference_win_median,reference_fail_median,reference_gap,reference_effect_IQR,counts_ok,dev_effect_ok,block_ok,oos_sign_ok,oos_effect_ok,replicated_directional,strong_replicated
LOCATION,prefill_last_close_distance_H_R,0.010192411924122818,0.10454884593117134,0.029774462179046918,0.18205657962842842,0.1077097758208142,0.7509947517797869,0.020670751370526153,0.16363787951379138,0.024994888004803525,0.19021890009150702,0.032755298651250014,0.3041249605405965,203,314,0.14131413141314247,0.1068233704829437,0.034490760930198774,0.25642426337577323,6,6,90,151,0.10622306137518718,0.08817829457364042,0.018044766801546763,0.14741127347344754,125,168,0.13023255813953508,0.10956280909990124,0.02066974903963384,0.16690954804761157,True,True,True,True,True,True,False
LOCATION,prefill_last_close_location_R,-0.010192411924122902,0.10454884593117225,-0.029774462179047,0.18205657962842897,-0.10770977582081387,0.7509947517797847,-0.020670751370526097,0.16363787951379083,-0.02499488800480343,0.19021890009150627,-0.03275529865125004,0.3041249605405966,203,314,0.8586858685868576,0.8931766295170562,-0.03449076093019865,0.2564242633757723,6,6,90,151,0.8937769386248129,0.91182170542636,-0.018044766801547096,0.14741127347345057,125,168,0.869767441860465,0.8904371909000988,-0.02066974903963381,0.16690954804761132,True,True,True,True,True,True,False
PRESSURE,prefill_nearH05_episode_count,0.5,0.5,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,0.0,203,314,0.0,1.0,-1.0,1.0,6,3,90,151,1.0,1.0,0.0,0.0,125,168,0.0,0.0,0.0,0.0,True,True,False,False,False,False,False
PRESSURE,prefill_upper80_close_fraction,-0.05757557864903165,0.12273176931451221,-0.103505291005291,0.4565759897228025,-0.04977195423623995,0.17691403402642866,0.05194805194805194,0.14931463415633445,-0.1111111111111111,0.31650664624688296,-0.07936507936507936,0.17195701897286536,203,314,0.09090909090909091,0.16666666666666666,-0.07575757575757575,0.20516894421784646,6,5,90,151,0.16373626373626374,0.2054794520547945,-0.04174318831853077,0.0877357326086457,125,168,0.125,0.18181818181818182,-0.05681818181818182,0.13635026869023537,True,False,True,True,False,False,False
PRESSURE,prefill_nearH10_high_fraction,-0.08692002442002442,0.19157493034913498,-0.02142857142857143,0.1462146522090899,-0.045548654244306416,0.394954279987954,-0.0029013539651837547,0.014188454235853179,-0.07700366684127816,0.45538756679942555,-0.03409090909090909,0.105375677546452,203,314,0.03125,0.06904761904761905,-0.03779761904761905,0.18831624815824952,6,6,90,151,0.05128205128205128,0.09090909090909091,-0.03962703962703963,0.14432442655492794,125,168,0.075,0.09090909090909091,-0.015909090909090914,0.0616659404937311,True,False,True,True,False,False,False
LOCATION,prefill_max_close_location_R,-0.0077265248502351724,0.09259257906292366,-0.050889091778619555,0.36756256982498986,-0.07252794118121175,0.4770289298683307,-0.02096920007992198,0.23031375608167046,-0.029433335097193702,0.27292406134576785,-0.036953619318511044,0.37405446237325357,203,314,0.8895522388059728,0.908634330925354,-0.019082092119381167,0.1781254099021026,6,6,90,151,0.9212789375170171,0.9316218809980781,-0.010342943481061018,0.11283737285884086,125,168,0.8921348314606762,0.9089500165372483,-0.016815185076572092,0.18429458615354075,True,False,True,True,True,False,False
PRESSURE,prefill_upper90_close_fraction,-0.017105263157894735,0.15974925054240022,-0.009900990099009901,0.18394857803261647,0.0,0.0,-0.009615384615384616,0.1242603550295858,-0.024390243902439025,0.23210070810385522,-0.0083128078817734,0.07495616598480422,203,314,0.0,0.012211466865227102,-0.012211466865227102,0.151366633898983,6,5,90,151,0.021567717996289426,0.03125,-0.009682282003710574,0.06429341409578564,125,168,0.0,0.014815627743634766,-0.014815627743634766,0.22366818658132487,True,False,True,True,False,False,False
LATE_STATE,prefill_last30_range_R,0.03526511053835302,0.17075822728730367,0.13925402286162758,0.5890195398285847,0.026666666666666117,0.09407423988327442,-0.038366049042990735,0.24398483486874706,-0.017984027104466227,0.07918209293056555,0.04111408850981013,0.21141920195283226,154,249,0.3660063790498578,0.3319999999999993,0.03400637904985848,0.14855909816080412,6,4,76,118,0.26287639734519946,0.30690613386068355,-0.044029736515484086,0.21635679129225305,85,126,0.3715415019762835,0.3424501317978751,0.029091370178408404,0.12851933433254442,True,False,True,False,True,False,False
LATE_STATE,prefill_last60_range_R,0.02659856440821501,0.10109023361627778,0.09762492977886972,0.3257007657592118,0.001437095689977741,0.0034354103218999423,0.02242901017660759,0.09800029222588354,0.031012093358754655,0.11292186426406071,0.05872440965050174,0.21755460570851334,133,211,0.46932515337423325,0.42531572071418416,0.044009432660049086,0.14425304774298986,4,4,61,100,0.3713490959666218,0.4008423586040921,-0.02949326263747032,0.09660211239044984,69,103,0.47090909090909155,0.41602067183462543,0.05488841907446612,0.18381828572341888,True,False,True,False,False,False,False
PRESSURE,prefill_nearH05_high_fraction,0.004901960784313725,0.04695562435500516,-0.009523809523809525,0.21705093833780162,0.0,0.0,-0.009174311926605505,0.1328693451439418,-0.022222222222222223,0.26478873239436623,-0.02973856209150327,0.17843137254901964,203,314,0.0,0.00956959706959707,-0.00956959706959707,0.12475919142585812,6,4,90,151,0.008223795079204583,0.0196078431372549,-0.011384048058050319,0.1171740616350856,125,168,0.0,0.0,0.0,0.0,True,False,True,False,False,False,False
