partition,distance,stop_fraction,winner_n,pre_survive_rate,cons_survive_rate
external,0.05,0.2,37,0.13513513513513514,0.13513513513513514
external,0.1,0.25,37,0.3783783783783784,0.3783783783783784
external,0.15,0.3,37,0.5675675675675675,0.5675675675675675
external,0.2,0.35,37,0.7567567567567568,0.7567567567567568
external,0.25,0.4,37,0.8378378378378378,0.8378378378378378
external,0.3,0.44999999999999996,37,0.8648648648648649,0.8648648648648649
external,0.35,0.5,37,0.918918918918919,0.918918918918919
external,0.4,0.55,37,0.972972972972973,0.972972972972973
external,0.45,0.6,37,1.0,1.0
external,0.5,0.65,37,1.0,1.0
external,0.55,0.7000000000000001,37,1.0,1.0
external,0.6,0.75,37,1.0,1.0
external,0.65,0.8,37,1.0,1.0
external,0.7,0.85,37,1.0,1.0
external,0.75,0.9,37,1.0,1.0
external,0.8,0.9500000000000001,37,1.0,1.0
external,0.85,1.0,37,1.0,1.0
development,0.05,0.2,59,0.03389830508474576,0.03389830508474576
development,0.1,0.25,59,0.0847457627118644,0.0847457627118644
development,0.15,0.3,59,0.2711864406779661,0.2711864406779661
development,0.2,0.35,59,0.5254237288135594,0.5254237288135594
development,0.25,0.4,59,0.6610169491525424,0.6610169491525424
development,0.3,0.44999999999999996,59,0.7796610169491526,0.7627118644067796
development,0.35,0.5,59,0.847457627118644,0.8305084745762712
development,0.4,0.55,59,0.847457627118644,0.847457627118644
development,0.45,0.6,59,0.8983050847457628,0.8983050847457628
development,0.5,0.65,59,0.9152542372881356,0.9152542372881356
development,0.55,0.7000000000000001,59,0.9322033898305084,0.9322033898305084
development,0.6,0.75,59,0.9322033898305084,0.9322033898305084
development,0.65,0.8,59,0.9491525423728814,0.9491525423728814
development,0.7,0.85,59,0.9491525423728814,0.9491525423728814
development,0.75,0.9,59,0.9661016949152542,0.9661016949152542
development,0.8,0.9500000000000001,59,0.9661016949152542,0.9661016949152542
development,0.85,1.0,59,0.9661016949152542,0.9661016949152542
reference_validation,0.05,0.2,24,0.0,0.0
reference_validation,0.1,0.25,24,0.16666666666666666,0.16666666666666666
reference_validation,0.15,0.3,24,0.375,0.375
reference_validation,0.2,0.35,24,0.5,0.5
reference_validation,0.25,0.4,24,0.5833333333333334,0.5833333333333334
reference_validation,0.3,0.44999999999999996,24,0.6666666666666666,0.6666666666666666
reference_validation,0.35,0.5,24,0.7916666666666666,0.7916666666666666
reference_validation,0.4,0.55,24,0.8333333333333334,0.8333333333333334
reference_validation,0.45,0.6,24,0.8333333333333334,0.8333333333333334
reference_validation,0.5,0.65,24,0.8333333333333334,0.8333333333333334
reference_validation,0.55,0.7000000000000001,24,0.9166666666666666,0.9166666666666666
reference_validation,0.6,0.75,24,0.9166666666666666,0.9166666666666666
reference_validation,0.65,0.8,24,0.9583333333333334,0.9583333333333334
reference_validation,0.7,0.85,24,0.9583333333333334,0.9583333333333334
reference_validation,0.75,0.9,24,0.9583333333333334,0.9583333333333334
reference_validation,0.8,0.9500000000000001,24,0.9583333333333334,0.9583333333333334
reference_validation,0.85,1.0,24,0.9583333333333334,0.9583333333333334
august,0.05,0.2,1,0.0,0.0
august,0.1,0.25,1,0.0,0.0
august,0.15,0.3,1,0.0,0.0
august,0.2,0.35,1,1.0,1.0
august,0.25,0.4,1,1.0,1.0
august,0.3,0.44999999999999996,1,1.0,1.0
august,0.35,0.5,1,1.0,1.0
august,0.4,0.55,1,1.0,1.0
august,0.45,0.6,1,1.0,1.0
august,0.5,0.65,1,1.0,1.0
august,0.55,0.7000000000000001,1,1.0,1.0
august,0.6,0.75,1,1.0,1.0
august,0.65,0.8,1,1.0,1.0
august,0.7,0.85,1,1.0,1.0
august,0.75,0.9,1,1.0,1.0
august,0.8,0.9500000000000001,1,1.0,1.0
august,0.85,1.0,1,1.0,1.0
