region_id,character_rule,cells,lookbacks,holds,strict_temporal_cells,median_expectancy,median_pf,median_max_dd,qualifies
1,EFF_LOW__RANGE_HIGH,1,240,240,0,1.0973277920615518,1.538343214261824,81.41276208982754,False
2,EFF_LOW__RANGE_HIGH,2,60,360;480,0,1.185853614654643,1.352745096118864,105.67041853252292,False
3,DRIVE_DOWN__STR_B60_80,1,60,480,0,0.2771512381190746,1.1133797324276975,120.90493070872014,False
4,DRIVE_DOWN__STR_B80_100,1,180,240,1,0.9464144149529734,1.4006645346009878,124.71429293791698,False
5,DRIVE_DOWN__STR_B80_100,1,240,120,0,0.8813488042839341,1.4697598311174387,116.78578741530282,False
