partition,side,signal_ts,net_pnl_usd,swing_high,swing_low,range_pct,zone_frac,upper_zone_bars,lower_zone_bars,both_zone_bars,zone_visits,side_switches,visit_sequence
external,SHORT,2020-01-02 04:00:00+00:00,-4.041912169206507,7260.43,7174.0,0.011975533498724964,0.1,0,1,0,1,0,L
external,SHORT,2020-01-02 04:00:00+00:00,-4.041912169206507,7260.43,7174.0,0.011975533498724964,0.2,0,1,0,1,0,L
external,SHORT,2020-01-02 04:00:00+00:00,-4.041912169206507,7260.43,7174.0,0.011975533498724964,0.3,0,0,1,0,0,
external,SHORT,2020-01-02 16:00:00+00:00,-12.137314544842392,7175.0,7101.0,0.010367049593723731,0.1,0,0,0,0,0,
external,SHORT,2020-01-02 16:00:00+00:00,-12.137314544842392,7175.0,7101.0,0.010367049593723731,0.2,0,0,0,0,0,
external,SHORT,2020-01-02 16:00:00+00:00,-12.137314544842392,7175.0,7101.0,0.010367049593723731,0.3,0,0,0,0,0,
external,LONG,2020-01-03 04:00:00+00:00,34.634634524494295,7175.0,6922.0,0.03589416187841385,0.1,0,1,0,1,0,L
external,LONG,2020-01-03 04:00:00+00:00,34.634634524494295,7175.0,6922.0,0.03589416187841385,0.2,0,1,0,1,0,L
external,LONG,2020-01-03 04:00:00+00:00,34.634634524494295,7175.0,6922.0,0.03589416187841385,0.3,0,1,0,1,0,L
external,LONG,2020-01-06 20:00:00+00:00,28.56977728049666,7611.81,7481.74,0.017235176615176765,0.1,0,0,0,0,0,
external,LONG,2020-01-06 20:00:00+00:00,28.56977728049666,7611.81,7481.74,0.017235176615176765,0.2,0,0,0,0,0,
external,LONG,2020-01-06 20:00:00+00:00,28.56977728049666,7611.81,7481.74,0.017235176615176765,0.3,0,0,0,0,0,
external,LONG,2020-01-07 20:00:00+00:00,-12.601106626262116,7969.0,7481.74,0.06307270719719577,0.1,0,0,0,0,0,
external,LONG,2020-01-07 20:00:00+00:00,-12.601106626262116,7969.0,7481.74,0.06307270719719577,0.2,0,0,0,0,0,
external,LONG,2020-01-07 20:00:00+00:00,-12.601106626262116,7969.0,7481.74,0.06307270719719577,0.3,0,0,0,0,0,
external,LONG,2020-01-10 20:00:00+00:00,-13.91374402963257,8006.83,7670.0,0.04297169772205222,0.1,0,0,0,0,0,
external,LONG,2020-01-10 20:00:00+00:00,-13.91374402963257,8006.83,7670.0,0.04297169772205222,0.2,0,0,0,0,0,
external,LONG,2020-01-10 20:00:00+00:00,-13.91374402963257,8006.83,7670.0,0.04297169772205222,0.3,0,0,0,0,0,
external,LONG,2020-01-14 00:00:00+00:00,42.166656512632365,8135.93,8055.0,0.009996955085347202,0.1,1,0,0,1,0,H
external,LONG,2020-01-14 00:00:00+00:00,42.166656512632365,8135.93,8055.0,0.009996955085347202,0.2,1,0,0,1,0,H
external,LONG,2020-01-14 00:00:00+00:00,42.166656512632365,8135.93,8055.0,0.009996955085347202,0.3,1,0,0,1,0,H
external,LONG,2020-01-19 00:00:00+00:00,-14.927810692206878,8968.0,8855.0,0.012680244627728217,0.1,0,0,0,0,0,
external,LONG,2020-01-19 00:00:00+00:00,-14.927810692206878,8968.0,8855.0,0.012680244627728217,0.2,0,0,0,0,0,
external,LONG,2020-01-19 00:00:00+00:00,-14.927810692206878,8968.0,8855.0,0.012680244627728217,0.3,0,0,0,0,0,
external,SHORT,2020-01-19 08:00:00+00:00,-25.19249584072507,9205.3,8898.88,0.03385074607079692,0.1,0,0,0,0,0,
external,SHORT,2020-01-19 08:00:00+00:00,-25.19249584072507,9205.3,8898.88,0.03385074607079692,0.2,0,0,0,0,0,
external,SHORT,2020-01-19 08:00:00+00:00,-25.19249584072507,9205.3,8898.88,0.03385074607079692,0.3,0,0,0,0,0,
external,LONG,2020-01-28 00:00:00+00:00,-11.957855582698508,8700.0,8565.0,0.015638575152041704,0.1,0,0,0,0,0,
external,LONG,2020-01-28 00:00:00+00:00,-11.957855582698508,8700.0,8565.0,0.015638575152041704,0.2,0,0,0,0,0,
external,LONG,2020-01-28 00:00:00+00:00,-11.957855582698508,8700.0,8565.0,0.015638575152041704,0.3,0,0,0,0,0,
external,LONG,2020-01-28 20:00:00+00:00,40.26716880928368,9207.81,8952.41,0.02812741255337211,0.1,0,0,0,0,0,
external,LONG,2020-01-28 20:00:00+00:00,40.26716880928368,9207.81,8952.41,0.02812741255337211,0.2,0,0,0,0,0,
external,LONG,2020-01-28 20:00:00+00:00,40.26716880928368,9207.81,8952.41,0.02812741255337211,0.3,0,0,0,0,0,
external,LONG,2020-02-09 04:00:00+00:00,-4.2582500059190505,9900.0,9765.0,0.013729977116704805,0.1,0,0,0,0,0,
external,LONG,2020-02-09 04:00:00+00:00,-4.2582500059190505,9900.0,9765.0,0.013729977116704805,0.2,0,0,0,0,0,
external,LONG,2020-02-09 04:00:00+00:00,-4.2582500059190505,9900.0,9765.0,0.013729977116704805,0.3,0,0,0,0,0,
external,SHORT,2020-02-10 04:00:00+00:00,-7.37548191461983,10184.34,10070.0,0.011290419732264804,0.1,0,0,0,0,0,
external,SHORT,2020-02-10 04:00:00+00:00,-7.37548191461983,10184.34,10070.0,0.011290419732264804,0.2,0,0,0,0,0,
external,SHORT,2020-02-10 04:00:00+00:00,-7.37548191461983,10184.34,10070.0,0.011290419732264804,0.3,0,0,0,0,0,
external,LONG,2020-02-11 12:00:00+00:00,-20.243917964818824,9908.0,9729.36,0.018193891643275818,0.1,0,0,0,0,0,
external,LONG,2020-02-11 12:00:00+00:00,-20.243917964818824,9908.0,9729.36,0.018193891643275818,0.2,0,0,0,0,0,
external,LONG,2020-02-11 12:00:00+00:00,-20.243917964818824,9908.0,9729.36,0.018193891643275818,0.3,0,0,0,0,0,
external,SHORT,2020-02-15 12:00:00+00:00,-14.822975789915471,10390.0,10203.98,0.01806547350245076,0.1,0,0,0,0,0,
external,SHORT,2020-02-15 12:00:00+00:00,-14.822975789915471,10390.0,10203.98,0.01806547350245076,0.2,0,0,0,0,0,
external,SHORT,2020-02-15 12:00:00+00:00,-14.822975789915471,10390.0,10203.98,0.01806547350245076,0.3,0,0,0,0,0,
external,SHORT,2020-02-19 20:00:00+00:00,58.69534873781836,10270.0,10026.08,0.02403616856062846,0.1,1,0,0,1,0,H
external,SHORT,2020-02-19 20:00:00+00:00,58.69534873781836,10270.0,10026.08,0.02403616856062846,0.2,1,0,0,1,0,H
external,SHORT,2020-02-19 20:00:00+00:00,58.69534873781836,10270.0,10026.08,0.02403616856062846,0.3,1,0,0,1,0,H
external,SHORT,2020-02-29 20:00:00+00:00,-9.036976267213603,8799.83,8580.0,0.025297140420821138,0.1,0,0,0,0,0,
external,SHORT,2020-02-29 20:00:00+00:00,-9.036976267213603,8799.83,8580.0,0.025297140420821138,0.2,0,0,0,0,0,
external,SHORT,2020-02-29 20:00:00+00:00,-9.036976267213603,8799.83,8580.0,0.025297140420821138,0.3,0,0,0,0,0,
external,LONG,2020-03-02 12:00:00+00:00,-6.488666201560234,8762.24,8409.0,0.041143213885543484,0.1,1,0,0,1,0,H
external,LONG,2020-03-02 12:00:00+00:00,-6.488666201560234,8762.24,8409.0,0.041143213885543484,0.2,2,0,0,1,0,H
external,LONG,2020-03-02 12:00:00+00:00,-6.488666201560234,8762.24,8409.0,0.041143213885543484,0.3,2,0,1,1,0,H
external,LONG,2020-03-05 00:00:00+00:00,13.40296062523878,8853.88,8669.23,0.0210750260655785,0.1,0,0,0,0,0,
external,LONG,2020-03-05 00:00:00+00:00,13.40296062523878,8853.88,8669.23,0.0210750260655785,0.2,0,1,0,1,0,L
external,LONG,2020-03-05 00:00:00+00:00,13.40296062523878,8853.88,8669.23,0.0210750260655785,0.3,0,1,0,1,0,L
external,LONG,2020-03-05 08:00:00+00:00,-11.898803500652855,8853.88,8669.23,0.0210750260655785,0.1,0,0,0,0,0,
external,LONG,2020-03-05 08:00:00+00:00,-11.898803500652855,8853.88,8669.23,0.0210750260655785,0.2,0,1,0,1,0,L
external,LONG,2020-03-05 08:00:00+00:00,-11.898803500652855,8853.88,8669.23,0.0210750260655785,0.3,0,1,0,1,0,L
external,SHORT,2020-03-07 16:00:00+00:00,34.06996901310628,9153.57,9056.1,0.010705301084533585,0.1,1,0,0,1,0,H
external,SHORT,2020-03-07 16:00:00+00:00,34.06996901310628,9153.57,9056.1,0.010705301084533585,0.2,1,0,0,1,0,H
external,SHORT,2020-03-07 16:00:00+00:00,34.06996901310628,9153.57,9056.1,0.010705301084533585,0.3,0,0,1,0,0,
