activation,partition,n,activation_rate,wr,pf,expectancy,total_pnl,ceiling_hits,gap_exits,time_exits,pre_invalidations,median_ratchets,median_trough_ext,median_exit_ext,median_capture,median_giveback
E05,external,50,0.66,0.64,1.108255749018133,0.1353012345158114,6.76506172579057,8,25,11,6,0.0,0.5242718446601942,0.023496857705657227,0.026624992764947664,0.47805825242718236
E05,development,79,0.6835443037974683,0.569620253164557,0.495570154142962,-0.758906789119714,-59.95363634045741,23,31,5,20,0.0,0.5523688059295836,0.030195910384743514,0.019227217317420803,0.5896241427704614
E05,reference_validation,34,0.6764705882352942,0.6176470588235294,0.45030705362378615,-0.8210505252267392,-27.915717857709133,11,11,2,10,0.0,0.6991126646948105,0.04999999999998709,0.029134412385639817,0.5913805341140935
E05,august,1,1.0,0.0,0.0,-0.10188444007657138,-0.10188444007657138,0,1,0,0,0.0,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E05,POOLED_MAJOR,163,0.6748466257668712,0.6012269938650306,0.6506082230079305,-0.4975723464562942,-81.10429247237596,42,67,18,36,0.0,0.5623801907099291,0.02589452587114674,0.02625742982151676,0.5401179992041137
E10,external,50,0.6,0.58,1.1250370772711802,0.1704860227701802,8.52430113850901,9,21,14,6,0.0,0.5734594594594602,0.04442323819617355,0.07756019942223093,0.5013766047431591
E10,development,79,0.6455696202531646,0.569620253164557,0.5151246544121268,-0.7699636812407741,-60.82713081802115,20,31,7,21,0.0,0.632058287795923,0.07732797396878906,0.06623735050598602,0.5655743407778422
E10,reference_validation,34,0.5882352941176471,0.5882352941176471,0.4075800801431074,-0.9726101377238188,-33.06874468260984,11,9,3,11,0.0,0.7186569844230761,0.0999999999999958,0.09193228619434671,0.6863105608110001
E10,august,1,1.0,0.0,0.0,-0.10188444007657138,-0.10188444007657138,0,1,0,0,0.0,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E10,POOLED_MAJOR,163,0.6196319018404908,0.5766871165644172,0.6577511262235192,-0.5237519899516686,-85.37157436212198,40,61,24,38,0.0,0.613335267921915,0.07768840579710082,0.0748504878816457,0.5655743407778422
E15,external,50,0.6,0.58,1.3048581578177476,0.41566914366264723,20.783457183132363,10,20,14,6,0.0,0.5734594594594602,0.09997459814928564,0.10317768681040189,0.45284401608029434
E15,development,79,0.620253164556962,0.569620253164557,0.6107010684811216,-0.6470355689814783,-51.11580994953678,17,32,8,22,0.0,0.6323046618515918,0.10900503620555976,0.160605594835538,0.5578515271689882
E15,reference_validation,34,0.5294117647058824,0.5,0.3966520356771076,-1.1572522192300925,-39.34657545382314,10,8,4,12,0.0,0.7863105608110021,0.14999999999999472,0.13440882642827073,0.7164803479777189
E15,august,1,1.0,0.0,0.0,-0.10188444007657138,-0.10188444007657138,0,1,0,0,0.0,0.17020768679876502,-0.06087371687753619,0.0,0.2310814036763012
E15,POOLED_MAJOR,163,0.5950920245398773,0.558282208588957,0.736752831926941,-0.4274780872406599,-69.67892822022756,37,60,26,40,0.0,0.6323046618515918,0.10900503620555976,0.1390625000000065,0.55815810487091
E20,external,50,0.56,0.54,1.592776203409881,0.9077880495287718,45.38940247643859,8,20,15,7,0.0,0.5847701149425287,0.17483100918324462,0.2832502465620357,0.4097811432121736
E20,development,79,0.5949367088607594,0.5443037974683544,0.8416761507252304,-0.2719510917972668,-21.484136251984076,14,33,10,22,0.0,0.639602031586994,0.13201908155641842,0.16842818428184725,0.5856187290969856
E20,reference_validation,34,0.5,0.5,0.43288803747252685,-1.1459906512189253,-38.96368214144346,8,9,4,13,0.0,0.8344198174706626,0.18186657203690373,0.21802816901408026,0.6645773843517889
E20,august,1,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702,0,0,0,1,,,,,
E20,POOLED_MAJOR,163,0.5644171779141104,0.5337423312883436,0.9464063248621912,-0.09238291973612858,-15.05841591698896,30,62,29,42,0.0,0.6432350227969048,0.16479379061347088,0.21316520468343553,0.5279071844456305
E25,external,50,0.52,0.52,1.2831209198661244,0.4755148981733739,23.775744908668695,6,20,16,8,0.0,0.5997710822368195,0.1839361981445848,0.2197121510373714,0.4930137242717294
E25,development,79,0.5316455696202531,0.46835443037974683,0.7414332809713168,-0.5035355789993007,-39.77931074094475,10,32,12,25,0.0,0.6936355276670227,0.18973220041916092,0.19399522182610893,0.627503080039452
E25,reference_validation,34,0.5,0.5,0.45217358298177934,-1.1070194139366758,-37.63866007384698,5,12,4,13,0.0,0.8344198174706626,0.20859508852084271,0.14567206192821958,0.6559822958309482
E25,august,1,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702,0,0,0,1,,,,,
E25,POOLED_MAJOR,163,0.5214723926380368,0.49079754601226994,0.8250007053701408,-0.32909341046701246,-53.64222590612303,21,64,32,46,0.0,0.6991126646948105,0.18917568692755796,0.18712621970412338,0.6204858831253985
E30,external,50,0.48,0.52,1.435656462201153,0.7317055142379129,36.58527571189564,8,16,18,8,0.0,0.6292123897008175,0.23790046776560142,0.367549111551285,0.5167794027558967
E30,development,79,0.4936708860759494,0.4430379746835443,0.7205728577992341,-0.5847689351329745,-46.19674587550498,11,28,12,28,0.0,0.7010515773660465,0.19409836065572816,0.20178890876565816,0.6339649727246507
E30,reference_validation,34,0.38235294117647056,0.4411764705882353,0.34190035768342014,-1.7620672305645801,-59.91028583919572,8,5,5,16,0.0,0.9173126614987132,0.2999999999999932,0.21013741075037146,0.9368360608670683
E30,august,1,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702,0,0,0,1,,,,,
E30,POOLED_MAJOR,163,0.4662576687116564,0.4662576687116564,0.7957280716309856,-0.4265138405080065,-69.52175600280506,27,49,35,52,0.0,0.7863105608110021,0.23200485888460423,0.21734443719765884,0.6272254279250247
E40,external,50,0.4,0.48,1.192818061852109,0.3755177296126159,18.775886480630795,6,14,21,9,0.0,0.9550995376408566,0.31984313573985723,0.4103904178966251,0.5531911951912368
E40,development,79,0.4430379746835443,0.4177215189873418,0.6980182579501563,-0.6921018793407117,-54.67604846791622,7,28,13,31,0.0,0.8436034829203037,0.27040560841261796,0.2995910020449898,0.5554234062797316
E40,reference_validation,34,0.35294117647058826,0.4117647058823529,0.40756972100816496,-1.677781920747265,-57.04458530540701,7,5,5,17,0.0,1.1266546486635702,0.39999999999999647,0.3647389024103679,0.7306496024062114
E40,august,1,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702,0,0,0,1,,,,,
E40,POOLED_MAJOR,163,0.4110429447852761,0.43558282208588955,0.751963963807228,-0.5702131735748002,-92.94474729269243,20,47,39,57,0.0,0.9278215223097341,0.33897652943439033,0.31490235690235024,0.5554234062797316
E50,external,50,0.34,0.46,1.2729227199640925,0.5883026126984907,29.415130634924534,7,10,24,9,0.0,1.3972268907563061,0.4327731092436975,0.3685223490252023,0.6952864157119432
E50,development,79,0.3670886075949367,0.3670886075949367,0.5881781226499179,-0.9969517652325831,-78.75918945337406,6,23,17,33,0.0,0.9512369172216765,0.40721311475408883,0.394032657946478,0.6758888888888922
E50,reference_validation,34,0.29411764705882354,0.4117647058823529,0.47635224963186035,-1.4829875507084782,-50.42157672408826,7,3,7,17,0.0,1.3818169543215588,0.5,0.4461896022024474,0.7175621709760376
E50,august,1,0.0,0.0,0.0,-2.41989561044702,-2.41989561044702,0,0,0,1,,,,,
E50,POOLED_MAJOR,163,0.34355828220858897,0.4049079754601227,0.7476288252378347,-0.6120591137579005,-99.76563554253778,20,36,48,59,0.0,1.0787551386145813,0.43897067167647386,0.38127750348584016,0.6855876523004176
