mechanism,bps,n,wins,wr,pf,expectancy,net,max_loss_streak
H2_ONLY,0,106,82,0.7735849056603774,0.693268456356802,-0.3265799406148663,-34.617473705175826,3
H2_ONLY,2,106,74,0.6981132075471698,0.5288210166796959,-0.526569310764568,-55.816346941044216,3
H2_ONLY,5,106,45,0.42452830188679247,0.3399044711786897,-0.8264034489200418,-87.59876558552443,8
H2_ONLY,10,106,27,0.25471698113207547,0.1632554642271906,-1.3257276330411487,-140.52712910236176,23
H2_50_E10_CONFIRM_E20,0,106,70,0.660377358490566,0.5534020068516574,-0.5191928121363166,-55.03443808644956,3
H2_50_E10_CONFIRM_E20,2,106,61,0.5754716981132075,0.41928448324144324,-0.7191051525433597,-76.22514616959613,7
H2_50_E10_CONFIRM_E20,5,106,44,0.41509433962264153,0.26775261525788846,-1.0188238038282809,-107.99532320579776,9
H2_50_E10_CONFIRM_E20,10,106,28,0.2641509433962264,0.12121821639778232,-1.5179556636604625,-160.90330034800903,12
