target_name,partition,outcome,signals,executed_n,invalid_n,wins,losses,wr,pf,expectancy_usd,total_net_pnl_usd,tp_n,sl_n,regime_exit_n,time24_n,median_risk_pct,median_hold_minutes
R1_0,external,ALL,6,6,0,4,2,0.6666666666666666,3.292456654012316,0.6947536467445229,4.168521880467138,4,2,0,0,0.003081197189653039,15.0
R1_0,external,TRANSITION,5,5,0,3,2,0.6,2.6154553405528835,0.5874973402202448,2.937486701101224,3,2,0,0,0.0029003240205742148,10.0
R1_0,external,RESUME,1,1,0,1,0,1.0,inf,1.231035179365914,1.231035179365914,1,0,0,0,0.0032620703587318634,140.0
R1_0,development,ALL,20,20,0,9,11,0.45,0.5108701290501642,-0.5647784997876821,-11.295569995753644,10,9,1,0,0.002983537393275613,15.0
R1_0,development,TRANSITION,11,11,0,4,7,0.36363636363636365,0.4591631426832356,-0.616175530448438,-6.777930834932818,5,6,0,0,0.002493646854374681,5.0
R1_0,development,RESUME,9,9,0,5,4,0.5555555555555556,0.5722293112184589,-0.5019599067578695,-4.517639160820826,5,3,1,0,0.003289397185020081,45.0
R1_0,reference_validation,ALL,8,8,0,5,3,0.625,0.7816912170683775,-0.24370008420592892,-1.9496006736474314,4,3,1,0,0.0032410127787407313,30.0
R1_0,reference_validation,TRANSITION,6,6,0,4,2,0.6666666666666666,0.7898552869118204,-0.2770037122669633,-1.6620222736017798,3,2,1,0,0.004708457268185375,67.5
R1_0,reference_validation,RESUME,2,2,0,1,1,0.5,0.7184830177950481,-0.14378920002282541,-0.28757840004565083,1,1,0,0,0.0017554841377325548,15.0
R1_0,POOLED_OOS,ALL,14,14,0,9,5,0.6428571428571429,1.2064335995731181,0.15849437191569332,2.2189212068197066,8,5,1,0,0.003081197189653039,20.0
R1_0,POOLED_OOS,TRANSITION,11,11,0,7,4,0.6363636363636364,1.131122060234365,0.11595131159085853,1.2754644274994438,6,4,1,0,0.003369136406830368,20.0
R1_0,POOLED_OOS,RESUME,3,3,0,2,1,0.6666666666666666,1.9235711211721118,0.31448559310675445,0.9434567793202633,2,1,0,0,0.0022679057376868935,15.0
R1_0,POOLED_MAJOR,ALL,34,34,0,18,16,0.5294117647058824,0.7317936025043248,-0.266960258498057,-9.076648788933937,18,14,2,0,0.003081197189653039,17.5
R1_0,POOLED_MAJOR,TRANSITION,22,22,0,11,11,0.5,0.752804885026072,-0.25011210942878964,-5.5024664074333725,11,10,1,0,0.0031347302137022916,12.5
R1_0,POOLED_MAJOR,RESUME,12,12,0,7,5,0.5833333333333334,0.6914131925290284,-0.29784853179171356,-3.5741823815005627,7,4,1,0,0.002969873980131504,45.0
R1_5,external,ALL,6,6,0,3,3,0.5,2.0090864621490008,0.6473961900655619,3.884377140393372,3,3,0,0,0.003081197189653039,20.0
R1_5,external,TRANSITION,5,5,0,3,2,0.6,4.253149850838479,1.1830824639518571,5.915412319759286,3,2,0,0,0.0029003240205742148,20.0
R1_5,external,RESUME,1,1,0,0,1,0.0,0.0,-2.031035179365914,-2.031035179365914,0,1,0,0,0.0032620703587318634,275.0
R1_5,development,ALL,20,20,0,8,12,0.4,0.4913759716229072,-0.7181004655598506,-14.362009311197014,8,11,1,0,0.002983537393275613,17.5
R1_5,development,TRANSITION,11,11,0,4,7,0.36363636363636365,0.5732828734349272,-0.5486755955144883,-6.035431550659371,4,7,0,0,0.002493646854374681,5.0
R1_5,development,RESUME,9,9,0,4,5,0.4444444444444444,0.4091740932417565,-0.9251753067264047,-8.326577760537642,4,4,1,0,0.003289397185020081,90.0
R1_5,reference_validation,ALL,8,8,0,4,4,0.5,0.506968415226211,-0.7353486139302114,-5.882788911441692,3,4,1,0,0.0032410127787407313,50.0
R1_5,reference_validation,TRANSITION,6,6,0,3,3,0.5,0.4351974817777331,-1.0270311576362932,-6.1621869458177585,2,3,1,0,0.004708457268185375,120.0
R1_5,reference_validation,RESUME,2,2,0,1,1,0.5,1.273509037740873,0.13969901718803346,0.2793980343760669,1,1,0,0,0.0017554841377325548,30.0
R1_5,POOLED_OOS,ALL,14,14,0,7,7,0.5,0.8733681273986701,-0.14274369793202288,-1.9984117710483202,6,7,1,0,0.003081197189653039,35.0
R1_5,POOLED_OOS,TRANSITION,11,11,0,6,5,0.5454545454545454,0.9806127446349542,-0.022434056914406707,-0.24677462605847378,5,5,1,0,0.003369136406830368,25.0
R1_5,POOLED_OOS,RESUME,3,3,0,1,2,0.3333333333333333,0.4261755887439664,-0.583879048329949,-1.751637144989847,1,2,0,0,0.0022679057376868935,45.0
R1_5,POOLED_MAJOR,ALL,34,34,0,15,19,0.4411764705882353,0.628326454517665,-0.4811888553601568,-16.36042108224533,14,18,2,0,0.003081197189653039,20.0
R1_5,POOLED_MAJOR,TRANSITION,22,22,0,10,12,0.45454545454545453,0.7662223837839742,-0.28555482621444744,-6.282206176717844,9,12,1,0,0.0031347302137022916,20.0
R1_5,POOLED_MAJOR,RESUME,12,12,0,5,7,0.4166666666666667,0.4122009891572313,-0.8398512421272907,-10.078214905527489,5,6,1,0,0.002969873980131504,67.5
R2_0,external,ALL,6,6,0,3,3,0.5,2.7826942552302247,1.143717126508628,6.862302759051767,3,3,0,0,0.003081197189653039,27.5
R2_0,external,TRANSITION,5,5,0,3,2,0.6,5.890844361124257,1.778667587683536,8.89333793841768,3,2,0,0,0.0029003240205742148,20.0
R2_0,external,RESUME,1,1,0,0,1,0.0,0.0,-2.031035179365914,-2.031035179365914,0,1,0,0,0.0032620703587318634,275.0
R2_0,development,ALL,20,20,0,8,12,0.4,0.69294347707826,-0.4335175291793609,-8.670350583587219,8,11,1,0,0.002983537393275613,17.5
R2_0,development,TRANSITION,11,11,0,4,7,0.36363636363636365,0.8020849018959736,-0.2544804920010054,-2.7992854120110597,4,7,0,0,0.002493646854374681,10.0
R2_0,development,RESUME,9,9,0,4,5,0.4444444444444444,0.5834089942601761,-0.6523405746195732,-5.871065171576158,4,4,1,0,0.003289397185020081,95.0
R2_0,reference_validation,ALL,8,8,0,4,4,0.5,0.6133730650778186,-0.576647804082483,-4.613182432659864,3,4,1,0,0.0032410127787407313,65.0
R2_0,reference_validation,TRANSITION,6,6,0,3,3,0.5,0.49959786786185706,-0.9099261502429415,-5.459556901457649,2,3,1,0,0.004708457268185375,120.0
R2_0,reference_validation,RESUME,2,2,0,1,1,0.5,1.8285350576866979,0.4231872343988923,0.8463744687977846,1,1,0,0,0.0017554841377325548,45.0
R2_0,POOLED_OOS,ALL,14,14,0,7,7,0.5,1.1425183351914088,0.16065145188513577,2.2491203263919006,6,7,1,0,0.003081197189653039,40.0
R2_0,POOLED_OOS,TRANSITION,11,11,0,6,5,0.5454545454545454,1.269766753958822,0.312161912450912,3.433781036960032,5,5,1,0,0.003369136406830368,35.0
