clock_block,wib,selected_fraction,alternate,reused_confirmed,dev_f05_yield,dev_selected_yield,ext_f05_yield,ext_selected_yield,val_f05_yield,val_selected_yield
00-04,07-11,0.05,False,False,0.574468085106383,0.574468085106383,0.7931034482758621,0.7931034482758621,0.6388888888888888,0.6388888888888888
04-08,11-15,0.05,False,False,0.7441860465116279,0.7441860465116279,0.7674418604651163,0.7674418604651163,0.6538461538461539,0.6538461538461539
08-12,15-19,0.05,False,False,0.6724137931034483,0.6724137931034483,0.725,0.725,0.7241379310344828,0.7241379310344828
12-16,19-23,0.05,False,False,0.6707317073170732,0.6707317073170732,0.71875,0.71875,0.7441860465116279,0.7441860465116279
16-20,23-03,0.05,False,False,0.7,0.7,0.5161290322580645,0.5161290322580645,0.5161290322580645,0.5161290322580645
20-00,03-07,0.05,False,False,0.627906976744186,0.627906976744186,0.5555555555555556,0.5555555555555556,0.7931034482758621,0.7931034482758621
