feature,importance
hours_remaining,0.06432747390481777
atr_pct,0.05416676269347688
week_range_pct,0.052814650924420004
atr_vs_med72,0.038728319428265705
atr_vs_med24,0.03234097618066539
aligned_ret_24,0.03179744876161033
aligned_ret_12,0.03171139429641354
max_abs_dist_48,0.029526353151171282
aligned_ret_8,0.027836242529538348
aligned_ret_4,0.026787149443869028
prior_level_dist_12,0.026533514321135796
prior_level_dist_8,0.025896757325374314
reject_wick_atr,0.02567463465063384
aligned_ret_1,0.025527362142011303
aligned_ret_2,0.02541873415077351
prior_level_dist_24,0.024700345863715212
weekday_sin,0.024637769681340523
max_abs_dist_12,0.02459729297726587
oppose_wick_atr,0.0236008041775692
signal_body_aligned,0.023290248985176128
prior_level_dist_4,0.021991313310306414
prior_level_dist_2,0.02111195091871109
signal_tr_atr,0.02099611734568776
max_abs_dist_24,0.020612319041733863
distance_compression_12,0.01872187935020872
distance_compression_6,0.018492279134837326
expected_side_frac_48,0.017835287580319152
prior_level_dist_1,0.015396278487104849
penetration_atr,0.014302485133019618
hour_cos,0.013711837992924327
reclaim_atr,0.013632790265116714
hour_sin,0.01312223538623419
touch_count_72,0.012194713122772313
bars_since_cross_72,0.011658512221188747
near050_count_72,0.011631013327358428
role_long,0.010516810953401194
near050_count_48,0.010516090639646196
touch_count_48,0.010014725954534669
expected_side_frac_24,0.00839213888715019
cross_count_72,0.007425979180345287
near050_count_24,0.006916974793480811
weekday_cos,0.006701461955794338
touch_count_24,0.006441912930747781
near025_count_72,0.006169617323226492
cross_count_48,0.005867179196249321
near025_count_48,0.0053236599517939975
near050_count_12,0.0045662252156759365
expected_side_frac_12,0.0042996513404786425
near025_count_24,0.003582762006033873
touch_count_12,0.003541019489574211
cross_count_24,0.003468074701054593
level_age_h,0.0029728762045163693
expected_side_frac_6,0.002567419466833862
near025_count_12,0.0024490922561378535
cross_count_12,0.0019646786458027386
tf_H1,0.0002492527687609727
fam_PREV_OPEN,0.00019910801352401687
tf_H4,0.00012475562864849992
tf_D1,9.149627903421882e-05
fam_PREV_LOW,7.175704502152498e-05
fam_PREV_HIGH,6.580579235639965e-05
fam_R3_LOW,4.14629171648544e-05
tf_W1,2.9527032618118496e-05
fam_R6_LOW,2.4472688229638246e-05
fam_R6_HIGH,2.0038782167820167e-05
fam_R3_HIGH,1.7164535270213282e-05
fam_R12_LOW,1.4786967467627389e-05
fam_R12_HIGH,1.317541335547214e-05
fam_SWING2_HIGH,1.1226039624858935e-05
fam_SWING2_LOW,2.3707975097598898e-06
