track,anchor_hour,or_min,trigger,geom,entry_ts,side,net_ret,reason,ref_t,trigger_ts,ranking,rr,week,score
H4,12,240,CLASSIC,,2023-01-01 20:00:00+00:00,LONG,-0.0039885364633862035,SL,2023-01-01 12:00:00+00:00,2023-01-01 16:00:00+00:00,ext_score,R100,2022-W52,0.7312348668279651
H4,4,240,CLASSIC,,2023-01-01 12:00:00+00:00,LONG,0.001986446966126433,TP,2023-01-01 04:00:00+00:00,2023-01-01 08:00:00+00:00,ext_score,R100,2022-W52,0.07105719237432397
H4,20,240,CLASSIC,,2023-01-04 04:00:00+00:00,LONG,0.0015968384957197337,TP,2023-01-03 20:00:00+00:00,2023-01-04 00:00:00+00:00,ext_score,R100,2023-W01,3.2126436781608887
H4,16,240,CLASSIC,,2023-01-03 00:00:00+00:00,SHORT,-0.0033180836318473226,SL,2023-01-02 16:00:00+00:00,2023-01-02 20:00:00+00:00,ext_score,R100,2023-W01,1.2079207920790438
H4,16,240,CLASSIC,,2023-01-12 00:00:00+00:00,LONG,0.011357110997123167,TP,2023-01-11 16:00:00+00:00,2023-01-11 20:00:00+00:00,ext_score,R100,2023-W02,1.6686903729401372
H4,16,240,CLASSIC,,2023-01-14 00:00:00+00:00,LONG,0.015815539316312244,TP,2023-01-13 16:00:00+00:00,2023-01-13 20:00:00+00:00,ext_score,R100,2023-W02,1.5252173913043499
H4,16,240,CLASSIC,,2023-01-21 00:00:00+00:00,LONG,0.01610293014430081,TP,2023-01-20 16:00:00+00:00,2023-01-20 20:00:00+00:00,ext_score,R100,2023-W03,2.8230132865379653
H4,8,240,CLASSIC,,2023-01-20 16:00:00+00:00,LONG,0.003064870835442214,TP,2023-01-20 08:00:00+00:00,2023-01-20 12:00:00+00:00,ext_score,R100,2023-W03,1.5316062176165728
H4,20,240,CLASSIC,,2023-01-29 04:00:00+00:00,LONG,0.0028596377749031134,TP,2023-01-28 20:00:00+00:00,2023-01-29 00:00:00+00:00,ext_score,R100,2023-W04,1.5212660731948164
H4,4,240,CLASSIC,,2023-01-29 12:00:00+00:00,LONG,0.0037454118651301673,TP,2023-01-29 04:00:00+00:00,2023-01-29 08:00:00+00:00,ext_score,R100,2023-W04,1.334418226200147
