partition,signals,target_break_rate,target_break_n,target_with_prior_L_wick_n,target_with_prior_L_wick_rate,median_min_low_frac_target,p10_min_low_frac_target,median_min_close_frac_target
external,101,0.8910891089108911,90,1,0.011111111111111112,0.8302379687938974,0.5512225093093982,0.8925547331771339
development,164,0.725609756097561,119,2,0.01680672268907563,0.7480628497632458,0.28883805339001645,0.8631217838764959
reference_validation,82,0.8536585365853658,70,0,0.0,0.7345568025307861,0.138562653031049,0.8879624035439544
august,4,1.0,4,0,0.0,0.7063039172930652,0.3617435058151649,0.7347158084042918
