segment,entry_ts,exit_ts,clock_min_utc,clock_utc,clock_wib,votes,active_lbs,entry_price,exit_price,gross_pnl,wib_day,year,implementation_cost_0bps,net_0bps,implementation_cost_2bps,net_2bps,implementation_cost_5bps,net_5bps,implementation_cost_10bps,net_10bps,freeze_ts_utc,data_latest_bar_utc
2026_PRE_FREEZE_OOS,2026-02-03 15:00:00+00:00,2026-02-04 03:00:00+00:00,900,15:00,22:00,2,180;240,765.24,755.08,-6.638440227902336,2026-02-03,2026,0.75,-7.388440227902336,0.95,-7.588440227902336,1.25,-7.888440227902336,1.75,-8.388440227902336,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-02-09 15:45:00+00:00,2026-02-10 03:45:00+00:00,945,15:45,22:45,2,180;240,630.82,631.56,0.5865381566848669,2026-02-09,2026,0.75,-0.16346184331513314,0.95,-0.3634618433151331,1.25,-0.6634618433151331,1.75,-1.1634618433151331,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-02-12 15:00:00+00:00,2026-02-13 03:00:00+00:00,900,15:00,22:00,3,180;240;360,612.02,610.39,-1.3316558282409034,2026-02-12,2026,0.75,-2.0816558282409034,0.95,-2.281655828240903,1.25,-2.5816558282409034,1.75,-3.0816558282409034,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-02-13 15:00:00+00:00,2026-02-14 03:00:00+00:00,900,15:00,22:00,3,180;240;360,602.54,620.98,15.301888671291579,2026-02-13,2026,0.75,14.551888671291579,0.95,14.35188867129158,1.25,14.051888671291579,1.75,13.551888671291579,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-02-18 15:15:00+00:00,2026-02-19 03:15:00+00:00,915,15:15,22:15,2,180;240,613.22,605.13,-6.596327582270663,2026-02-18,2026,0.75,-7.346327582270663,0.95,-7.5463275822706635,1.25,-7.846327582270663,1.75,-8.346327582270664,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-02-19 15:30:00+00:00,2026-02-20 03:30:00+00:00,930,15:30,22:30,2,180;240,598.06,608.23,8.502491388823925,2026-02-19,2026,0.75,7.752491388823925,0.95,7.552491388823925,1.25,7.252491388823925,1.75,6.752491388823925,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-02-26 15:45:00+00:00,2026-02-27 03:45:00+00:00,945,15:45,22:45,3,180;240;360,623.45,629.09,4.52321757959739,2026-02-26,2026,0.75,3.7732175795973903,0.95,3.57321757959739,1.25,3.2732175795973903,1.75,2.7732175795973903,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-03-03 15:00:00+00:00,2026-03-04 03:00:00+00:00,900,15:00,22:00,2,240;360,623.3,633.97,8.559281244986423,2026-03-03,2026,0.75,7.809281244986423,0.95,7.609281244986422,1.25,7.309281244986423,1.75,6.809281244986423,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-03-04 15:00:00+00:00,2026-03-05 03:00:00+00:00,900,15:00,22:00,2,240;360,652.13,654.15,1.5487709505773248,2026-03-04,2026,0.75,0.7987709505773248,0.95,0.5987709505773249,1.25,0.29877095057732483,1.75,-0.20122904942267517,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-03-05 15:15:00+00:00,2026-03-06 03:15:00+00:00,915,15:15,22:15,2,180;240,651.77,648.85,-2.240054006781502,2026-03-05,2026,0.75,-2.990054006781502,0.95,-3.1900540067815015,1.25,-3.490054006781502,1.75,-3.990054006781502,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-03-13 15:15:00+00:00,2026-03-14 03:15:00+00:00,915,15:15,22:15,3,180;240;360,669.87,656.1,-10.27811366384521,2026-03-13,2026,0.75,-11.02811366384521,0.95,-11.228113663845209,1.25,-11.52811366384521,1.75,-12.02811366384521,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-05-28 15:00:00+00:00,2026-05-29 03:00:00+00:00,900,15:00,22:00,2,180;240,635.41,634.62,-0.6216458664484062,2026-05-28,2026,0.75,-1.3716458664484064,0.95,-1.571645866448406,1.25,-1.8716458664484064,1.75,-2.3716458664484064,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-06-03 15:45:00+00:00,2026-06-04 03:45:00+00:00,945,15:45,22:45,2,180;240,636.12,620.67,-12.1439351065837,2026-06-03,2026,0.75,-12.8939351065837,0.95,-13.093935106583698,1.25,-13.3939351065837,1.75,-13.8939351065837,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-06-08 15:00:00+00:00,2026-06-09 03:00:00+00:00,900,15:00,22:00,2,240;360,603.49,598.45,-4.17571127939151,2026-06-08,2026,0.75,-4.92571127939151,0.95,-5.12571127939151,1.25,-5.42571127939151,1.75,-5.92571127939151,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-06-12 15:00:00+00:00,2026-06-13 03:00:00+00:00,900,15:00,22:00,2,180;240,609.97,603.99,-4.901880420348556,2026-06-12,2026,0.75,-5.651880420348556,0.95,-5.851880420348556,1.25,-6.151880420348556,1.75,-6.651880420348556,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-06-30 15:00:00+00:00,2026-07-01 03:00:00+00:00,900,15:00,22:00,2,180;240,545.91,550.12,3.8559469509626467,2026-06-30,2026,0.75,3.1059469509626467,0.95,2.9059469509626465,1.25,2.6059469509626467,1.75,2.1059469509626467,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-07-02 15:30:00+00:00,2026-07-03 03:30:00+00:00,930,15:30,22:30,2,180;240,562.94,561.92,-0.9059580061819159,2026-07-02,2026,0.75,-1.655958006181916,0.95,-1.8559580061819159,1.25,-2.155958006181916,1.75,-2.655958006181916,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-07-06 15:00:00+00:00,2026-07-07 03:00:00+00:00,900,15:00,22:00,3,180;240;360,577.35,581.36,3.472763488351945,2026-07-06,2026,0.75,2.722763488351945,0.95,2.522763488351945,1.25,2.222763488351945,1.75,1.7227634883519451,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-08-20 15:00:00+00:00,2026-08-21 03:00:00+00:00,900,15:00,22:00,3,180;240;360,642.6,659.4,13.071895424836566,2026-08-20,2026,0.75,12.321895424836566,0.95,12.121895424836566,1.25,11.821895424836566,1.75,11.321895424836566,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
2026_PRE_FREEZE_OOS,2026-08-21 15:00:00+00:00,2026-08-22 03:00:00+00:00,900,15:00,22:00,2,180;240,679.3,713.23,24.974238186368368,2026-08-21,2026,0.75,24.224238186368368,0.95,24.02423818636837,1.25,23.724238186368368,1.75,23.224238186368368,2026-09-13T05:36:03+00:00,2026-08-25T23:55:00+00:00
