partition,regime,clock_block,obs_start,obs_end,rebreak_complete_ts,H,L,R4,rr,variant,executed,skip_reason,entry_ts,entry_px,target_px,stop_px,exit_ts,exit_px,exit_reason,pnl
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 04:00:00+00:00,47469.46,46815.75,653.7099999999991,1.0,RR100,False,NO_NEXT_WINDOW,,,,,,,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 04:00:00+00:00,47469.46,46815.75,653.7099999999991,1.5,RR150,False,NO_NEXT_WINDOW,,,,,,,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 04:00:00+00:00,47469.46,46815.75,653.7099999999991,2.0,RR200,False,NO_NEXT_WINDOW,,,,,,,,
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:30:00+00:00,42768.95,42345.78,423.1699999999983,1.0,RR100,True,,2022-01-17 16:30:00+00:00,42324.73,42303.462999999996,42345.99700000001,2022-01-17 16:35:00+00:00,42345.99700000001,STOP,-0.6512360976668626
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:30:00+00:00,42768.95,42345.78,423.1699999999983,1.5,RR150,True,,2022-01-17 16:30:00+00:00,42324.73,42303.462999999996,42338.90800000001,2022-01-17 16:35:00+00:00,42338.90800000001,STOP,-0.5674907317779084
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:30:00+00:00,42768.95,42345.78,423.1699999999983,2.0,RR200,True,,2022-01-17 16:30:00+00:00,42324.73,42303.462999999996,42335.36350000001,2022-01-17 16:35:00+00:00,42335.36350000001,STOP,-0.5256180488333758
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:55:00+00:00,42040.0,41379.39,660.6100000000006,1.0,RR100,True,,2022-01-18 14:55:00+00:00,41364.78,41313.329,41416.231,2022-01-18 15:00:00+00:00,41416.231,STOP,-1.021917969828467
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:55:00+00:00,42040.0,41379.39,660.6100000000006,1.5,RR150,True,,2022-01-18 14:55:00+00:00,41364.78,41313.329,41399.08066666667,2022-01-18 15:00:00+00:00,41399.08066666667,STOP,-0.8146119798856818
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:55:00+00:00,42040.0,41379.39,660.6100000000006,2.0,RR200,True,,2022-01-18 14:55:00+00:00,41364.78,41313.329,41390.5055,2022-01-18 15:00:00+00:00,41390.5055,STOP,-0.7109589849141781
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:30:00+00:00,39045.0,37805.0,1240.0,1.0,RR100,True,,2022-01-21 20:30:00+00:00,37750.01,37681.0,37819.020000000004,2022-01-21 20:35:00+00:00,37819.020000000004,STOP,-1.3140394929696426
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:30:00+00:00,39045.0,37805.0,1240.0,1.5,RR150,True,,2022-01-21 20:30:00+00:00,37750.01,37681.0,37796.01666666667,2022-01-21 20:35:00+00:00,37796.01666666667,STOP,-1.0093596619798357
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:30:00+00:00,39045.0,37805.0,1240.0,2.0,RR200,True,,2022-01-21 20:30:00+00:00,37750.01,37681.0,37784.515,2022-01-21 20:35:00+00:00,37784.515,STOP,-0.8570197464848214
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 09:50:00+00:00,41752.46,41352.85,399.6100000000006,1.0,RR100,False,TARGET_ALREADY_PASSED,2022-02-05 09:50:00+00:00,41301.37,,,,,,
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 09:50:00+00:00,41752.46,41352.85,399.6100000000006,1.5,RR150,False,TARGET_ALREADY_PASSED,2022-02-05 09:50:00+00:00,41301.37,,,,,,
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 09:50:00+00:00,41752.46,41352.85,399.6100000000006,2.0,RR200,False,TARGET_ALREADY_PASSED,2022-02-05 09:50:00+00:00,41301.37,,,,,,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:55:00+00:00,45600.0,44063.38,1536.6200000000026,1.0,RR100,True,,2022-02-08 08:55:00+00:00,43947.34,43909.71799999999,43984.962,2022-02-08 09:00:00+00:00,43984.962,STOP,-0.8280350073520012
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:55:00+00:00,45600.0,44063.38,1536.6200000000026,1.5,RR150,True,,2022-02-08 08:55:00+00:00,43947.34,43909.71799999999,43972.42133333333,2022-02-08 09:00:00+00:00,43972.42133333333,STOP,-0.6853566715680378
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:55:00+00:00,45600.0,44063.38,1536.6200000000026,2.0,RR200,True,,2022-02-08 08:55:00+00:00,43947.34,43909.71799999999,43966.151,2022-02-08 09:00:00+00:00,43966.151,STOP,-0.6140175036760006
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 19:30:00+00:00,43978.64,42822.0,1156.6399999999994,1.0,RR100,True,,2022-02-08 19:30:00+00:00,42713.36,42706.336,42720.384,2022-02-08 19:35:00+00:00,42720.384,STOP,-0.48222251773215563
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 19:30:00+00:00,43978.64,42822.0,1156.6399999999994,1.5,RR150,True,,2022-02-08 19:30:00+00:00,42713.36,42706.336,42718.04266666667,2022-02-08 19:35:00+00:00,42718.04266666667,STOP,-0.4548150118214741
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 19:30:00+00:00,43978.64,42822.0,1156.6399999999994,2.0,RR200,True,,2022-02-08 19:30:00+00:00,42713.36,42706.336,42716.872,2022-02-08 19:35:00+00:00,42716.872,STOP,-0.4411112588660778
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 18:40:00+00:00,42755.97,42158.01,597.9599999999991,1.0,RR100,False,TARGET_ALREADY_PASSED,2022-02-13 18:40:00+00:00,41970.07,,,,,,
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 18:40:00+00:00,42755.97,42158.01,597.9599999999991,1.5,RR150,False,TARGET_ALREADY_PASSED,2022-02-13 18:40:00+00:00,41970.07,,,,,,
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 18:40:00+00:00,42755.97,42158.01,597.9599999999991,2.0,RR200,False,TARGET_ALREADY_PASSED,2022-02-13 18:40:00+00:00,41970.07,,,,,,
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 15:35:00+00:00,40938.0,40073.1,864.9000000000015,1.0,RR100,True,,2022-02-18 15:35:00+00:00,39986.8,39986.61,39986.990000000005,2022-02-18 15:40:00+00:00,39986.990000000005,STOP,-0.40237578400874574
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 15:35:00+00:00,40938.0,40073.1,864.9000000000015,1.5,RR150,True,,2022-02-18 15:35:00+00:00,39986.8,39986.61,39986.92666666667,2022-02-18 15:40:00+00:00,39986.92666666667,STOP,-0.4015838560059045
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 15:35:00+00:00,40938.0,40073.1,864.9000000000015,2.0,RR200,True,,2022-02-18 15:35:00+00:00,39986.8,39986.61,39986.895000000004,2022-02-18 15:40:00+00:00,39986.895000000004,STOP,-0.4011878920044284
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:45:00+00:00,40119.0,39777.0,342.0,1.0,RR100,True,,2022-02-20 03:45:00+00:00,39762.8,39742.8,39782.8,2022-02-20 03:50:00+00:00,39782.8,STOP,-0.6514913436679756
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:45:00+00:00,40119.0,39777.0,342.0,1.5,RR150,True,,2022-02-20 03:45:00+00:00,39762.8,39742.8,39776.13333333334,2022-02-20 03:50:00+00:00,39776.13333333334,STOP,-0.5676608957786874
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:45:00+00:00,40119.0,39777.0,342.0,2.0,RR200,True,,2022-02-20 03:45:00+00:00,39762.8,39742.8,39772.8,2022-02-20 03:50:00+00:00,39772.8,STOP,-0.5257456718339878
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:35:00+00:00,44345.0,43661.8,683.1999999999971,1.0,RR100,True,,2022-03-03 02:35:00+00:00,43646.2,43593.48,43698.91999999999,2022-03-03 02:40:00+00:00,43698.91999999999,STOP,-1.0039471935700424
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:35:00+00:00,44345.0,43661.8,683.1999999999971,1.5,RR150,True,,2022-03-03 02:35:00+00:00,43646.2,43593.48,43681.34666666666,2022-03-03 02:40:00+00:00,43681.34666666666,STOP,-0.8026314623799543
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:35:00+00:00,44345.0,43661.8,683.1999999999971,2.0,RR200,True,,2022-03-03 02:35:00+00:00,43646.2,43593.48,43672.56,2022-03-03 02:40:00+00:00,43672.56,STOP,-0.7019735967850768
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:25:00+00:00,39300.0,39051.6,248.40000000000143,1.0,RR100,True,,2022-03-13 08:25:00+00:00,39035.3,39026.759999999995,39043.84000000001,2022-03-13 08:30:00+00:00,39043.84000000001,STOP,-0.5093881691700549
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:25:00+00:00,39300.0,39051.6,248.40000000000143,1.5,RR150,True,,2022-03-13 08:25:00+00:00,39035.3,39026.759999999995,39040.99333333334,2022-03-13 08:30:00+00:00,39040.99333333334,STOP,-0.47292544611336995
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:25:00+00:00,39300.0,39051.6,248.40000000000143,2.0,RR200,True,,2022-03-13 08:25:00+00:00,39035.3,39026.759999999995,39039.57000000001,2022-03-13 08:30:00+00:00,39039.57000000001,STOP,-0.45469408458502747
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 17:05:00+00:00,41188.0,40232.3,955.6999999999972,1.0,RR100,True,,2022-03-16 17:05:00+00:00,40167.9,40136.73,40199.07,2022-03-16 17:10:00+00:00,40199.07,STOP,-0.7879963851731727
