replay,year,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak
01WIB_H6_FLAT_ONLY,2022,34,0.6176470588235294,76.07896625628707,2.2376166545966787,1.836989480170387,36.31511371595117,3
01WIB_H6_FLAT_ONLY,2023,33,0.5757575757575758,17.476194923171477,0.5295816643385296,1.2022023986867907,18.945680689325897,4
01WIB_H6_FLAT_ONLY,2024,43,0.5813953488372093,36.81516604876392,0.8561666522968353,1.3876823248760317,33.33385089866878,4
03WIB_H4_FLAT_ONLY,2022,36,0.5833333333333334,52.653563812085636,1.4625989947801565,1.388482173113135,73.27779885654932,5
03WIB_H4_FLAT_ONLY,2023,28,0.5714285714285714,48.329525539473686,1.7260544835526317,2.5355087990240177,8.121355221927207,4
03WIB_H4_FLAT_ONLY,2024,43,0.6744186046511628,87.21093744004098,2.0281613358149064,2.554747598295122,19.76946789005433,2
01WIB_H6_PLUS_03WIB_H4_FLAT_ONLY,2022,46,0.5652173913043478,58.87422885000412,1.279874540217481,1.352162325730307,45.13175270391493,3
01WIB_H6_PLUS_03WIB_H4_FLAT_ONLY,2023,48,0.6041666666666666,59.24673260603461,1.2343069292923878,1.5920532709414885,17.18427809637005,3
01WIB_H6_PLUS_03WIB_H4_FLAT_ONLY,2024,60,0.6333333333333333,85.71098254834253,1.428516375805709,1.7103258351521866,30.84331682431801,3
INDEPENDENT_POOLED_DIAGNOSTIC,2022,153,0.6078431372549019,454.64552537504824,2.971539381536263,2.112122082585667,111.79277231760904,7
INDEPENDENT_POOLED_DIAGNOSTIC,2023,139,0.5899280575539568,195.50514556418764,1.406511838591278,1.778063197233088,49.6312969187477,6
INDEPENDENT_POOLED_DIAGNOSTIC,2024,205,0.5902439024390244,209.66805515981457,1.0227710007795834,1.6356207074271245,61.66653546323414,8
