event_ts,utc_date,session,session_wib,side,manip_side,acc_high,acc_low,manip_open,manip_high,manip_low,manip_close,displacement_ok,fvg,fvg_low,fvg_high,baseline_entry_idx,baseline_entry_ts,baseline_entry,baseline_signed1h,baseline_signed3h,fvg_entry_idx,fvg_entry_ts,fvg_entry,fvg_signed1h,fvg_signed3h,fill,fill_idx,fill_ts,entry,fvg_stop_valid,fvg_stop,fvg_risk,target,target_dist,net_rr,rr_ok,outcome,net_ret,pnl,control_manip_risk,control_rr_ok
2020-02-18 07:00:00+00:00,2020-02-18,LONDON_OPEN,14:00,SHORT,HIGH_SWEEP,9818.0,9729.44,9781.46,9821.0,9770.0,9797.79,True,True,9756.51,9770.0,1160,2020-02-18 08:00:00+00:00,9797.78,0.0049021308908753225,0.005866635094888939,1162.0,2020-02-18 10:00:00+00:00,9702.11,-0.003936257164678381,0.0035816951158047505,True,1163.0,2020-02-18 11:00:00+00:00,9756.51,True,9770.0,0.0013826665477716705,9729.44,0.0027745577055729672,0.44214538325919545,False,,,,0.006609945564551236,False
2020-02-19 07:00:00+00:00,2020-02-19,LONDON_OPEN,14:00,LONG,LOW_SWEEP,10175.0,10053.0,10077.63,10097.0,10037.26,10067.74,True,True,10097.0,10112.06,1184,2020-02-19 08:00:00+00:00,10068.19,0.010000804514018746,0.00634870815906341,1186.0,2020-02-19 10:00:00+00:00,10123.02,0.0008979533775494986,-0.0006845783175376541,True,1186.0,2020-02-19 10:00:00+00:00,10112.06,True,10097.0,0.001489310783361599,10175.0,0.006224251042814275,1.5803813605160408,True,SL,-0.002989310783361599,-1.4946553916807994,0.007397108007666022,False
2020-02-25 07:00:00+00:00,2020-02-25,LONDON_OPEN,14:00,LONG,LOW_SWEEP,9614.48,9515.0,9546.44,9547.38,9497.5,9530.57,True,True,9547.38,9561.0,1328,2020-02-25 08:00:00+00:00,9530.56,0.003298861766779737,0.0033219454050967823,1330.0,2020-02-25 10:00:00+00:00,9570.69,-0.0008849936629439226,0.005878364046897344,True,1330.0,2020-02-25 10:00:00+00:00,9561.0,True,9547.38,0.0014245371823031901,9614.48,0.0055935571592929155,1.3997281977003535,True,SL,-0.0029245371823031904,-1.4622685911515951,0.0066415646898859955,False
2020-03-01 00:00:00+00:00,2020-03-01,ASIA_OPEN,07:00,LONG,LOW_SWEEP,8671.41,8530.0,8532.5,8618.47,8526.0,8554.99,True,True,8618.47,8624.21,1441,2020-03-01 01:00:00+00:00,8554.94,0.01073882458556108,0.00851204099619629,1443.0,2020-03-01 03:00:00+00:00,8639.09,-0.0013114807230854009,-0.005230875011141278,True,1443.0,2020-03-01 03:00:00+00:00,8624.21,True,8618.47,0.0006655682085663246,8671.41,0.005472965059988188,1.8346062914445989,True,SL,-0.0021655682085663245,-1.0827841042831623,0.01138770971486074,False
2020-03-11 13:00:00+00:00,2020-03-11,NEW_YORK_OPEN,20:00,SHORT,HIGH_SWEEP,7869.29,7758.18,7847.0,7902.37,7836.0,7854.03,True,True,7829.39,7836.0,1694,2020-03-11 14:00:00+00:00,7855.27,0.006607029421012989,0.01034592063671913,1696.0,2020-03-11 16:00:00+00:00,7786.96,0.0016643208646249796,-0.0012084305043302823,True,1696.0,2020-03-11 16:00:00+00:00,7829.39,True,7836.0,0.0008442547886871994,7758.18,0.009095216868747123,3.2399280596118576,True,TP,0.007595216868747123,3.7976084343735614,0.009321288120785854,False
2020-03-13 13:00:00+00:00,2020-03-13,NEW_YORK_OPEN,20:00,SHORT,HIGH_SWEEP,5656.08,5230.77,5512.17,5971.0,5442.57,5597.2,True,True,5433.34,5442.57,1742,2020-03-13 14:00:00+00:00,5596.5,0.03564727954971858,0.07202537300098277,1744.0,2020-03-13 16:00:00+00:00,5205.49,0.0023206268766244875,0.04593419639649676,True,1747.0,2020-03-13 19:00:00+00:00,5433.34,True,5442.57,0.0016987709217533898,5230.77,0.037282776340151674,11.186414162017432,True,SL,-0.00319877092175339,-1.5993854608766949,0.09895570680281371,False
2020-03-30 00:00:00+00:00,2020-03-30,ASIA_OPEN,07:00,LONG,LOW_SWEEP,5940.81,5862.0,5876.27,5913.97,5850.0,5894.28,True,True,5913.97,5933.26,2137,2020-03-30 01:00:00+00:00,5894.27,0.006584360743569606,0.01818545808047478,2139.0,2020-03-30 03:00:00+00:00,5981.68,0.0033067633173289313,0.036028339864385917,False,,,,False,,,,,,False,,,,,False
2020-04-12 00:00:00+00:00,2020-04-12,ASIA_OPEN,07:00,SHORT,HIGH_SWEEP,6885.69,6767.34,6874.17,6908.0,6860.0,6865.97,True,True,6850.57,6860.0,2449,2020-04-12 01:00:00+00:00,6865.97,0.0028488327213781472,0.008687774633445944,2451.0,2020-04-12 03:00:00+00:00,6817.75,0.0016765061787247237,-0.001820248615745701,False,,,,False,,,,,,False,,,,,False
2020-04-18 00:00:00+00:00,2020-04-18,ASIA_OPEN,07:00,LONG,LOW_SWEEP,7140.0,7010.0,7022.0,7068.0,7008.11,7062.43,True,True,7068.0,7069.0,2593,2020-04-18 01:00:00+00:00,7062.62,0.0013267031215045133,0.002601017752618784,2595.0,2020-04-18 03:00:00+00:00,7075.04,0.000840984644609799,0.002814118365408458,False,,,,False,,,,,,False,,,,,False
2020-05-12 13:00:00+00:00,2020-05-12,NEW_YORK_OPEN,20:00,LONG,LOW_SWEEP,8819.93,8722.13,8767.03,8775.6,8648.59,8726.96,True,True,8775.6,8845.0,3182,2020-05-12 14:00:00+00:00,8727.53,0.017812599899398762,0.022071536849486595,3184.0,2020-05-12 16:00:00+00:00,8862.73,0.006479944667162396,0.003557594556079291,True,3185.0,2020-05-12 17:00:00+00:00,8845.0,False,,,,,,False,,,,,False
