fee_mult,delay_min,year,cells,viable_cells,median_wr,median_exp,median_pf,median_dd,max_cell_dd,component_pass
1.0,0,2022,5,0,0.5106382978723404,0.5963336628339972,1.1116146289388464,215.22601926993838,380.1086337870154,False
1.0,0,2023,5,5,0.5666666666666667,1.1933361819187742,1.7680645698208721,63.04439580215194,88.77963321977339,True
1.0,0,2024,5,1,0.575,0.6656186888032093,1.2555319782961736,148.37615844973612,205.21506938371743,False
1.0,0,2025,5,0,0.6355140186915887,1.2307202566588646,1.3872752462333562,185.9139685392172,211.72767803453826,False
1.0,5,2022,5,0,0.5212765957446809,0.5094464630257572,1.1001399452399088,186.28722629433224,366.486898820524,False
1.0,5,2023,5,5,0.6071428571428571,0.7970123650720885,1.5218812648111864,59.905766153717536,94.4249581512819,True
1.0,5,2024,5,1,0.575,0.7562151884555394,1.2671180740071861,158.165115015967,225.7248255871359,False
1.0,5,2025,5,0,0.5887850467289719,0.6471714486859002,1.202388949201183,199.7754937170414,222.30474308881136,False
1.0,10,2022,5,0,0.48936170212765956,0.5605304440288725,1.1153362518006356,181.67086594572558,360.5953049980668,False
1.0,10,2023,5,3,0.5333333333333333,0.8216756764313062,1.5436311984822166,53.414993138409535,82.32581860087754,True
1.0,10,2024,5,0,0.5338983050847458,-0.015297603979286537,0.9945804679156978,165.65450956600642,234.59560055260854,False
1.0,10,2025,5,0,0.6391752577319587,0.5666417874596967,1.1736758553560926,202.49857432847702,235.71211312519785,False
1.0,15,2022,5,0,0.5212765957446809,0.8237865111834757,1.1927396739165612,171.5572946068049,340.2433577420238,False
1.0,15,2023,5,4,0.5666666666666667,1.31134814016355,1.9589872046068897,51.62136101390868,74.7024336917337,True
1.0,15,2024,5,0,0.5423728813559322,-0.18384709174436403,0.934762439734794,168.60580391612342,236.96044198884937,False
1.0,15,2025,5,0,0.6391752577319587,0.5208272462992576,1.1560164988579777,206.42152461104354,222.71179100539536,False
1.5,0,2022,5,0,0.5,0.22133366283399736,1.0400373846135194,220.10101926993838,392.6596925753612,False
1.5,0,2023,5,3,0.5357142857142857,0.8183361819187746,1.476751189280091,67.90361456038298,100.02963321977339,True
1.5,0,2024,5,0,0.5583333333333333,0.2906186888032094,1.1134741982805083,158.145031746796,219.59776326434013,False
1.5,0,2025,5,0,0.6355140186915887,0.8557202566588645,1.2666953449265352,197.242108687574,223.35267803453826,False
1.5,5,2022,5,0,0.5,0.13444646302575744,1.025506891127631,191.16222629433224,378.861898820524,False
1.5,5,2023,5,3,0.5333333333333333,0.4220123650720885,1.2461500177234288,64.78076615371755,105.2999581512819,True
1.5,5,2024,5,0,0.5508474576271186,0.38121518845553903,1.1400920734637088,171.29011501596702,241.4748255871359,False
1.5,5,2025,5,0,0.5567010309278351,0.2721714486859001,1.081073941518597,209.15049371704137,236.1495021942224,False
1.5,10,2022,5,0,0.48936170212765956,0.18553044402887234,1.034973067818924,186.54586594572558,373.29144340006644,False
1.5,10,2023,5,3,0.5333333333333333,0.4466756764313063,1.2634448645444891,58.80107292488694,93.20081860087754,True
1.5,10,2024,5,0,0.5169491525423728,-0.3902976039792865,0.8724328038545196,178.5938076996461,250.34560055260854,False
1.5,10,2025,5,0,0.6082474226804123,0.1916417874596967,1.0563262611426458,209.99857432847702,254.46211312519785,False
1.5,15,2022,5,0,0.5106382978723404,0.44878651118347573,1.1003131483307222,184.6822946068049,352.6183577420238,False
1.5,15,2023,5,3,0.5222222222222223,0.9363481401635498,1.6083247961584186,56.49636101390868,85.5774336917337,True
1.5,15,2024,5,0,0.5333333333333333,-0.5588470917443639,0.8146651682208776,181.73080391612342,251.96044198884937,False
1.5,15,2025,5,0,0.6288659793814433,0.14582724629925764,1.0419476734479873,213.92152461104354,239.42964557057775,False
2.0,0,2022,5,0,0.4787234042553192,-0.15366633716600225,0.973132651037694,224.97601926993838,405.4096925753612,False
2.0,0,2023,5,1,0.49107142857142855,0.4433361819187744,1.2334607510669118,73.15361456038298,111.27963321977339,False
2.0,0,2024,5,0,0.525,-0.08438131119679042,0.9692625868884508,171.270031746796,235.44394480938377,False
2.0,0,2025,5,0,0.616822429906542,0.48072025665886475,1.1548217456341223,210.35737509160535,234.9776780345383,False
2.0,5,2022,5,0,0.48936170212765956,-0.2405535369742424,0.9559459374804335,196.0372262943322,391.23689882052395,False
2.0,5,2023,5,0,0.5,0.047012365072088426,1.0247627315001078,69.65576615371754,116.1749581512819,False
2.0,5,2024,5,0,0.5254237288135594,0.006215188455539241,1.002209356976368,184.41511501596702,257.2248255871359,False
2.0,5,2025,5,0,0.5463917525773195,-0.10282855131410011,0.970837780664333,218.52549371704137,251.52450219422235,False
