fill_threshold_min,improvement_threshold,n,event_n,event_rate,mean_r,pf_r,cum_r,event_lift,supportive,is_frozen_rule
10.0,0.171769366424,1,1,1.0,2.4422110552764127,inf,2.4422110552764127,0.6896551724137931,False,False
10.0,0.21471170803,6,4,0.6666666666666666,0.4573694401590038,1.9147388803180074,2.744216640954023,0.3563218390804597,True,False
10.0,0.257654049636,9,4,0.4444444444444444,-0.028420373227330833,0.9573694401590037,-0.2557833590459775,0.1340996168582375,False,False
15.0,0.171769366424,2,2,1.0,1.879790409788034,inf,3.759580819576068,0.6896551724137931,False,False
15.0,0.21471170803,9,6,0.6666666666666666,0.5071281342154362,2.1410383019847314,4.564153207938926,0.3563218390804597,True,True
15.0,0.257654049636,13,6,0.46153846153846156,0.043396400610686565,1.0705191509923657,0.5641532079389253,0.15119363395225466,True,False
20.0,0.171769366424,2,2,1.0,1.879790409788034,inf,3.759580819576068,0.6896551724137931,False,False
20.0,0.21471170803,9,6,0.6666666666666666,0.5071281342154362,2.1410383019847314,4.564153207938926,0.3563218390804597,True,False
20.0,0.257654049636,15,7,0.4666666666666667,0.0396614959138752,1.066102493189792,0.594922438708128,0.15632183908045977,True,False
