partition,side,outcome,N,h2_rate,fill_close_wrong_rate,next_bar_eligible_N,next_bar_wrong_rate,ever_wrong_rate,median_fill_close_progress_r,median_next_bar_progress_r,median_wrong_close_rate,median_max_wrong_streak,median_wrong_episodes,median_close_mae_r,median_close_mfe_r,median_wick_mae_r,median_stop_consumed,median_minutes_terminal
external,LONG,ALL,46,0.8913043478260869,0.41304347826086957,41,0.5609756097560976,0.7391304347826086,0.00950296955308104,-0.01130494931314768,0.4642857142857143,2.0,1.0,0.056913605060385,0.0754863717394337,0.10580639518704693,0.21161279037409386,35.0
external,LONG,H2_SUCCESS,41,1.0,0.4146341463414634,36,0.5555555555555556,0.7073170731707317,0.008339699516167644,-0.011058724656572476,0.375,2.0,1.0,0.04215506715507642,0.07645317220543736,0.08557126030624435,0.1711425206124887,25.0
external,LONG,H2_FAIL,5,0.0,0.4,5,0.6,1.0,0.037315322921064355,-0.022064162093712147,0.9285714285714286,56.0,2.0,0.2764482916681374,0.051219111731386414,0.37013381495772024,0.7402676299154405,350.0
external,SHORT,ALL,50,0.74,0.5,36,0.6111111111111112,0.7,0.0015759848473289727,-0.01782938862684693,0.6547619047619048,3.0,1.0,0.09230268528167326,0.06441729163278051,0.12037944664031633,0.24075889328063266,37.5
external,SHORT,H2_SUCCESS,37,1.0,0.40540540540540543,23,0.5217391304347826,0.5945945945945946,0.012324739936673532,-0.0015759731925192495,0.35714285714285715,1.0,1.0,0.020774742020001295,0.06890778555875364,0.06673819742489479,0.13347639484978957,15.0
external,SHORT,H2_FAIL,13,0.0,0.7692307692307693,13,0.7692307692307693,1.0,-0.025786899471452886,-0.055667604547407136,0.9841269841269841,21.0,1.0,0.3858542165189715,0.029854417469903707,0.44277568872877854,0.8855513774575571,105.0
development,LONG,ALL,72,0.7361111111111112,0.5833333333333334,56,0.7142857142857143,0.8055555555555556,-0.02083042076512398,-0.061291511633509335,0.8,4.0,1.0,0.12307018437567827,0.03742151748277174,0.1796190064972451,0.3592380129944902,30.0
development,LONG,H2_SUCCESS,53,1.0,0.5660377358490566,37,0.6756756756756757,0.7358490566037735,-0.019897585954653883,-0.05683156654888532,0.6666666666666666,1.0,1.0,0.07170733473318593,0.059627879503840776,0.09672591206735436,0.1934518241347087,15.0
development,LONG,H2_FAIL,19,0.0,0.631578947368421,19,0.7894736842105263,1.0,-0.028125000000012994,-0.0670446735395209,0.9803921568627451,18.0,1.0,0.6823071687138391,0.0005216622458035221,0.7496153846153832,1.4992307692307665,145.0
development,SHORT,ALL,79,0.7468354430379747,0.6835443037974683,63,0.7301587301587301,0.7974683544303798,-0.026994480682386662,-0.05623145400592948,0.8717948717948718,4.0,1.0,0.11802159415687233,0.0407022749752697,0.1767401101652476,0.3534802203304952,30.0
development,SHORT,H2_SUCCESS,59,1.0,0.6779661016949152,43,0.6976744186046512,0.7288135593220338,-0.024112400090204454,-0.04828795958462421,0.7333333333333333,2.0,1.0,0.06473324473134869,0.0466490601543967,0.10126409957215092,0.20252819914430184,15.0
development,SHORT,H2_FAIL,20,0.0,0.7,20,0.8,1.0,-0.07537767946530216,-0.07136475694306914,0.9746469833119384,19.5,1.0,0.7224323456434194,0.022999674331624816,0.7885033007056694,1.5770066014113389,117.5
reference_validation,LONG,ALL,31,0.8709677419354839,0.6451612903225806,21,0.7142857142857143,0.8064516129032258,-0.05174694708275922,-0.04025662804100941,0.8571428571428571,3.0,1.0,0.16424075531077892,0.039761670980985576,0.2453869047618961,0.4907738095237922,20.0
reference_validation,LONG,H2_SUCCESS,27,1.0,0.5925925925925926,17,0.7058823529411765,0.7777777777777778,-0.03582782260511282,-0.032290408311190316,0.7777777777777778,2.0,1.0,0.07163021125444424,0.06682926829266873,0.1221951219512337,0.2443902439024674,15.0
reference_validation,LONG,H2_FAIL,4,0.0,1.0,4,0.75,1.0,-0.07714728804150259,-0.1567805414105791,0.9782608695652174,19.5,1.5,0.5840624247510725,0.012304467525967281,0.6314586030311014,1.2629172060622027,132.5
reference_validation,SHORT,ALL,34,0.7058823529411765,0.6470588235294118,28,0.6785714285714286,0.9117647058823529,-0.019051596980834994,-0.03034897223823938,0.9282051282051282,4.0,1.0,0.1356634062972731,0.013457842857494698,0.18155386376999988,0.36310772753999976,35.0
reference_validation,SHORT,H2_SUCCESS,24,1.0,0.6666666666666666,18,0.6111111111111112,0.875,-0.014780812349791228,-0.0027271165959055444,0.7636363636363637,2.0,1.0,0.09253699627477935,0.03066044247915357,0.12765837547366382,0.25531675094732764,17.5
reference_validation,SHORT,H2_FAIL,10,0.0,0.6,10,0.8,1.0,-0.021895097203799216,-0.11783177090312699,0.986842105263158,25.5,1.0,0.7057615782293574,0.0011564225581607137,0.7996770946771021,1.5993541893542043,127.5
august,LONG,ALL,3,1.0,0.6666666666666666,3,0.6666666666666666,1.0,-0.043559042113967425,-0.012094487609088338,0.5,1.0,1.0,0.043559042113967425,0.0975903614457802,0.10928984310487681,0.21857968620975363,15.0
august,LONG,H2_SUCCESS,3,1.0,0.6666666666666666,3,0.6666666666666666,1.0,-0.043559042113967425,-0.012094487609088338,0.5,1.0,1.0,0.043559042113967425,0.0975903614457802,0.10928984310487681,0.21857968620975363,15.0
august,LONG,H2_FAIL,0,,,0,,,,,,,,,,,,
august,SHORT,ALL,1,1.0,0.0,0,,0.0,0.09127476724755419,,0.0,0.0,0.0,0.0,0.09127476724755419,0.0,0.0,5.0
august,SHORT,H2_SUCCESS,1,1.0,0.0,0,,0.0,0.09127476724755419,,0.0,0.0,0.0,0.0,0.09127476724755419,0.0,0.0,5.0
august,SHORT,H2_FAIL,0,,,0,,,,,,,,,,,,
POOLED_MAJOR,LONG,ALL,149,0.8120805369127517,0.5436241610738255,118,0.6610169491525424,0.785234899328859,-0.005219780219788625,-0.030659300347240053,0.6944444444444444,3.0,1.0,0.0944646773993333,0.05759308012270541,0.13469279661017156,0.2693855932203431,30.0
POOLED_MAJOR,LONG,H2_SUCCESS,121,1.0,0.5206611570247934,90,0.6333333333333333,0.7355371900826446,-0.002712815715621746,-0.02697244188832427,0.5454545454545454,2.0,1.0,0.06154791154790976,0.07024343369635468,0.10378755547968435,0.2075751109593687,20.0
POOLED_MAJOR,LONG,H2_FAIL,28,0.0,0.6428571428571429,28,0.75,1.0,-0.02460741564068137,-0.06403989262931489,0.9710084033613445,25.0,1.0,0.6357445851903927,0.010049628568515111,0.7035259397328351,1.4070518794656701,170.0
POOLED_MAJOR,SHORT,ALL,163,0.7361963190184049,0.6196319018404908,127,0.6850393700787402,0.7914110429447853,-0.016249374061095587,-0.04709634843818706,0.8,4.0,1.0,0.11607319485656499,0.044625922023183,0.1600704628974107,0.3201409257948214,35.0
POOLED_MAJOR,SHORT,H2_SUCCESS,120,1.0,0.5916666666666667,84,0.6309523809523809,0.7166666666666667,-0.009453718138841837,-0.02636546047692733,0.6339712918660287,1.0,1.0,0.05783257341830328,0.056168573901329476,0.09843148480909542,0.19686296961819083,15.0
POOLED_MAJOR,SHORT,H2_FAIL,43,0.0,0.6976744186046512,43,0.7906976744186046,1.0,-0.03835380157306246,-0.08128712871286745,0.975609756097561,21.0,1.0,0.6607043336216039,0.015384615384624713,0.756471306471316,1.512942612942632,125.0
