family,family_order,target_R,n,trades_per_week,wr,pf,expectancy,net,max_loss_streak,wr_5bps,pf_5bps,expectancy_5bps,net_5bps,b1_n,b1_pf,b1_net,b2_n,b2_pf,b2_net,b3_n,b3_pf,b3_net,b4_n,b4_pf,b4_net,b5_n,b5_pf,b5_net,b6_n,b6_pf,b6_net,adequate_blocks,profitable_blocks,min_adequate_block_pf,eligible
E0_RESTING_H,0,0.05,617,3.940693430656934,0.8541329011345219,0.7063184615205119,-0.2901907134460377,-179.04767019620525,3,0.8249594813614263,0.47324931099856127,-0.5401907134460378,-333.2976701962053,86,0.7431697842887,-26.470898662196817,103,0.8742310160935547,-9.528752607217307,104,0.5190003056705793,-58.73594647461599,111,0.955801958561586,-3.882283029894684,104,0.8604051215033118,-12.359631326195817,109,0.4856596226866454,-68.07015809608464,6,0,0.4856596226866454,False
E0_RESTING_H,0,0.2,617,3.940693430656934,0.6012965964343598,1.2034823006514896,0.3102557219587519,191.42778044854992,8,0.5980551053484603,1.0370856828893806,0.060255721958751826,37.177780448549875,86,1.1350503089230959,22.331098356881576,103,1.4633390763160739,55.96136136955914,104,1.0234808412423457,4.32943350065379,111,1.6138125025221977,90.86036761946983,104,1.345416422632998,47.37642501365197,109,0.8409667414513842,-29.430905411666373,6,5,0.8409667414513842,True
E0_RESTING_H,0,0.4,617,3.940693430656934,0.4473257698541329,1.2550691869355153,0.5090111202001759,314.0598611635086,9,0.44084278768233387,1.121344329655932,0.25901112020017586,159.80986116350851,86,1.1956110636704758,39.9754333678553,103,1.5149786575938233,89.7225203741156,104,1.4825897449985885,95.95045783849393,111,1.3686664672048763,80.05510511585504,104,1.1593620272627367,30.002981943306978,109,0.9128713421714247,-21.64663747611834,6,5,0.9128713421714247,True
E1_H1_TOUCH_NEXT_OPEN,1,0.05,615,3.9279197080291968,0.5235772357723577,0.5357341975486296,-0.7614524338601734,-468.2932468240066,7,0.4943089430894309,0.4260534130776341,-1.0114524338601736,-622.0432468240067,86,0.5247053340168722,-82.36698961657379,103,0.5419055338827127,-84.49861725189551,103,0.4715822913113851,-90.06442174641627,110,0.7191807119648684,-42.49590252694962,104,0.39606897532805757,-104.40587674489643,109,0.587510863895584,-64.46143893727496,6,0,0.39606897532805757,False
E1_H1_TOUCH_NEXT_OPEN,1,0.2,615,3.9279197080291968,0.5170731707317073,0.9411784107956283,-0.10930568225789741,-67.22299458860691,6,0.4991869918699187,0.8185686217374867,-0.35930568225789744,-220.97299458860692,86,0.8903074218666498,-20.652830384062412,103,0.8603801276192546,-27.89002299599231,103,0.8559100991133227,-29.003089313375263,110,1.3263126590485912,58.298571709518846,104,0.8204623106071391,-35.18744464462036,109,0.9285017756684222,-12.788178960075385,6,1,0.8204623106071391,False
E1_H1_TOUCH_NEXT_OPEN,1,0.4,615,3.9279197080291968,0.44390243902439025,1.0931019722117192,0.20984621445045817,129.05542188703177,9,0.43414634146341463,0.9832270468647202,-0.04015378554954191,-24.694578112968273,86,1.1026956047503063,22.54262711222366,103,1.1207511213432908,28.100883458765267,103,1.2969182142016469,63.8855498155051,110,1.2525392133224031,58.34604580268328,104,0.8280466777291816,-42.064221256318206,109,0.9927794607971105,-1.7554630458273142,6,4,0.8280466777291816,False
E2_H1_BREAK_NEXT_OPEN,2,0.05,405,2.586678832116788,0.18518518518518517,0.04538670331156904,-1.6748543512193812,-678.3160122438494,24,0.1259259259259259,0.020474360290074066,-1.9248543512193812,-779.5660122438494,65,0.03660505168602679,-151.27015926750448,66,0.023695103360161875,-152.1049205034854,65,0.03822889098579558,-100.20108276221835,69,0.04029716787288067,-109.71904369203789,72,0.06821578810763262,-102.32086693243252,68,0.0969355339791905,-62.69993908617077,6,0,0.023695103360161875,False
E2_H1_BREAK_NEXT_OPEN,2,0.2,405,2.586678832116788,0.3506172839506173,0.4055738568546649,-0.8754390591102125,-354.55281893963604,16,0.32098765432098764,0.3129027201638146,-1.1254390591102124,-455.80281893963604,65,0.3864408643600818,-78.25486461219872,66,0.23877647183033315,-99.85202879346289,65,0.5957395307627545,-28.698634130002173,69,0.4659996174789759,-55.336333267652904,72,0.4132026270295023,-63.10979099859297,68,0.4728182624796856,-29.301167137726345,6,0,0.23877647183033315,False
E2_H1_BREAK_NEXT_OPEN,2,0.4,405,2.586678832116788,0.32592592592592595,0.7683183235691525,-0.37271944310055805,-150.951374455726,13,0.32592592592592595,0.6496212596255376,-0.622719443100558,-252.201374455726,65,0.7156212876751404,-38.348995583817505,66,0.6277594416847445,-47.984694210365056,65,1.2243475303428482,16.190110903826486,69,0.8757928714104344,-14.007975307740454,72,0.48626348238324707,-69.27813135201171,68,1.036450634745151,2.478311094382234,6,2,0.48626348238324707,False
E3_H1_RETEST_RECLAIM_NEXT_OPEN,3,0.05,333,2.126824817518248,0.27927927927927926,0.11251895761937304,-0.9632484776715791,-320.7617430646358,17,0.18018018018018017,0.050979267769405784,-1.2132484776715793,-404.0117430646359,53,0.09102061604745718,-77.29082885408238,54,0.11906385390108863,-43.98195320458959,56,0.05362899597135674,-67.0965392448113,50,0.18008115492624066,-38.17716529500503,62,0.1362428573166774,-60.6807041224361,58,0.1348096679368425,-33.53455234371145,6,0,0.05362899597135674,False
