scope,regime,n,fixed_wr,fixed_pf,fixed_exp,fixed_net,hybrid_wr,hybrid_pf,hybrid_exp,hybrid_net
POOLED_MAJOR,ALL,69,0.6956521739130435,0.9088198329835444,-0.22110977417611866,-15.256574418152187,0.6666666666666666,0.9022804275729268,-0.23812733756161958,-16.43078629175175
POOLED_MAJOR,BEAR,15,0.7333333333333333,1.8339225818228537,1.1431072142622034,17.14660821393305,0.7333333333333333,1.7832953529539508,1.0737094646154133,16.1056419692312
POOLED_MAJOR,BULL,45,0.6888888888888889,0.7692521387029886,-0.6525701637675168,-29.365657369538255,0.6444444444444445,0.7976967301879945,-0.5758081708655188,-25.91136768894835
POOLED_MAJOR,SIDEWAYS,9,0.6666666666666666,0.8442217243341479,-0.337502806949664,-3.037525262546976,0.6666666666666666,0.6602364020413098,-0.7361178413371788,-6.625060572034609
external,BEAR,3,0.6666666666666666,3.0852862237435414,1.786138229121966,5.358414687365898,0.6666666666666666,3.0730820359467605,1.7756848121612565,5.3270544364837695
development,BEAR,8,0.75,1.0169252904226003,0.023798592096527516,0.19038873677222012,0.75,0.9584307260436075,-0.05845041177645033,-0.4676032942116026
reference_validation,BEAR,4,0.75,2.719979940764065,2.8994511974487325,11.59780478979493,0.75,2.6678348172746227,2.8115477067397587,11.246190826959035
