partition,loss_class,warning,n,hit_n,hit_rate,median_lead_min
development,L4_BREAK_FAIL_30M,POST_H10,66,62,0.9393939393939394,15.0
development,L4_BREAK_FAIL_30M,POST_H05,66,50,0.7575757575757576,15.0
development,L2_BREAK_FAST_FAIL_5M,POST_H10,115,97,0.8434782608695652,5.0
development,L2_BREAK_FAST_FAIL_5M,POST_H05,115,71,0.6173913043478261,5.0
development,L3_BREAK_FAST_FAIL_10M,POST_H10,54,45,0.8333333333333334,10.0
development,L3_BREAK_FAST_FAIL_10M,POST_H05,54,37,0.6851851851851852,10.0
development,L5_BREAK_FAIL_LATE,POST_H10,27,27,1.0,60.0
development,L5_BREAK_FAIL_LATE,POST_H05,27,24,0.8888888888888888,55.0
external,L4_BREAK_FAIL_30M,POST_H10,36,35,0.9722222222222222,15.0
external,L4_BREAK_FAIL_30M,POST_H05,36,30,0.8333333333333334,15.0
external,L2_BREAK_FAST_FAIL_5M,POST_H10,51,48,0.9411764705882353,5.0
external,L2_BREAK_FAST_FAIL_5M,POST_H05,51,38,0.7450980392156863,5.0
external,L5_BREAK_FAIL_LATE,POST_H10,25,25,1.0,60.0
external,L5_BREAK_FAIL_LATE,POST_H05,25,25,1.0,55.0
external,L3_BREAK_FAST_FAIL_10M,POST_H10,25,22,0.88,10.0
external,L3_BREAK_FAST_FAIL_10M,POST_H05,25,17,0.68,10.0
reference_validation,L2_BREAK_FAST_FAIL_5M,POST_H10,68,63,0.9264705882352942,5.0
reference_validation,L2_BREAK_FAST_FAIL_5M,POST_H05,68,50,0.7352941176470589,5.0
reference_validation,L3_BREAK_FAST_FAIL_10M,POST_H10,29,27,0.9310344827586207,10.0
reference_validation,L3_BREAK_FAST_FAIL_10M,POST_H05,29,21,0.7241379310344828,10.0
reference_validation,L5_BREAK_FAIL_LATE,POST_H10,12,12,1.0,47.5
reference_validation,L5_BREAK_FAIL_LATE,POST_H05,12,11,0.9166666666666666,45.0
reference_validation,L4_BREAK_FAIL_30M,POST_H10,31,31,1.0,15.0
reference_validation,L4_BREAK_FAIL_30M,POST_H05,31,24,0.7741935483870968,15.0
