event_id,partition,clock_block,regime,label,mode,bad_prob,model_eligible,resolved_before_or_at,_flag
202,development,00-04,BEAR,GOOD,SAFE,,False,True,False
212,development,00-04,BULL,GOOD,SAFE,0.2559042089502608,True,False,False
214,development,00-04,BEAR,GOOD,SAFE,,False,True,False
216,development,00-04,BULL,GOOD,SAFE,0.24853391065031924,True,False,False
223,development,00-04,BEAR,GOOD,SAFE,,False,True,False
241,development,00-04,BEAR,GOOD,SAFE,,False,True,False
244,development,00-04,BEAR,GOOD,SAFE,0.8530359922381724,True,False,True
247,development,00-04,BULL,GOOD,SAFE,0.43909383365288407,True,False,False
256,development,00-04,BULL,BAD,SAFE,0.8705920267072984,True,False,True
275,development,00-04,BEAR,GOOD,SAFE,0.17841677875678255,True,False,False
280,development,00-04,BEAR,GOOD,SAFE,,False,True,False
286,development,00-04,BEAR,BAD,SAFE,0.7634054399660062,True,False,True
303,development,00-04,BULL,GOOD,SAFE,,False,True,False
311,development,00-04,SIDEWAYS,GOOD,SAFE,,False,True,False
315,development,00-04,BULL,OTHER,SAFE,,False,False,False
326,development,00-04,SIDEWAYS,GOOD,SAFE,,False,True,False
334,development,00-04,BULL,GOOD,SAFE,,False,True,False
335,development,00-04,BULL,GOOD,SAFE,,False,True,False
356,development,00-04,BEAR,GOOD,SAFE,,False,True,False
359,development,00-04,BULL,GOOD,SAFE,0.48910396914637977,True,False,False
360,development,00-04,BEAR,GOOD,SAFE,0.019765206459552,True,False,False
361,development,00-04,BEAR,BAD,SAFE,0.658421215159273,True,False,True
363,development,00-04,BULL,OTHER,SAFE,,False,False,False
369,development,00-04,BULL,BAD,SAFE,0.742700719859304,True,False,True
383,development,00-04,SIDEWAYS,GOOD,SAFE,,False,True,False
384,development,00-04,BULL,GOOD,SAFE,0.2708194797814125,True,False,False
385,development,00-04,BEAR,GOOD,SAFE,,False,True,False
395,development,00-04,BEAR,GOOD,SAFE,0.5370971313685411,True,False,True
406,development,00-04,BULL,BAD,SAFE,0.7752561179957571,True,False,True
416,development,00-04,BULL,OTHER,SAFE,,False,False,False
429,development,00-04,BULL,GOOD,SAFE,,False,True,False
430,development,00-04,BULL,GOOD,SAFE,0.7121464310994191,True,False,True
433,development,00-04,BEAR,GOOD,SAFE,,False,True,False
443,development,00-04,BULL,OTHER,SAFE,,False,False,False
446,development,00-04,SIDEWAYS,BAD,SAFE,0.7010283075255411,True,False,True
449,development,00-04,BULL,BAD,SAFE,0.5332603845054695,True,False,True
457,development,00-04,BEAR,GOOD,SAFE,0.38566679231686674,True,False,False
484,development,00-04,BEAR,GOOD,SAFE,0.2010547748011503,True,False,False
488,development,00-04,BEAR,GOOD,SAFE,0.08185586330718785,True,False,False
511,development,00-04,BULL,GOOD,SAFE,0.021311184099537583,True,False,False
528,development,00-04,BEAR,GOOD,SAFE,0.30201517587191423,True,False,False
533,development,00-04,BEAR,OTHER,SAFE,,False,False,False
