region_id,pair_state,character_rule,cells,lookbacks,holds,strict_cells,median_min_half_exp,median_exp,median_pf,median_dd,qualifies
1,EFF_HIGH__RANGE_LOW,EFF_HIGH__RANGE_LOW,1,60,480,1,0.7432038893423742,1.6734995218563358,1.948004214660179,46.756001347065194,False
2,EFF_HIGH__RANGE_MID,EFF_HIGH__RANGE_MID,1,120,360,0,0.6327753894792425,0.6499700358128445,1.1781649348856664,91.6868529333381,False
3,EFF_LOW__EXT_HIGH,EFF_LOW__EXT_HIGH,1,60,120,0,0.151432960962579,0.550534125168241,1.2704041400032207,36.232099969274735,False
4,EFF_LOW__EXT_MID,EFF_LOW__EXT_MID,1,360,360,0,0.010502758868368028,1.9042164358640719,1.5662059078698127,113.4677856772353,False
5,EFF_LOW__RANGE_MID,EFF_LOW__RANGE_MID,1,60,240,0,0.7774968662497082,1.6373930377804948,1.7317011592444669,54.68740990937761,False
6,EFF_LOW__RANGE_MID,EFF_LOW__RANGE_MID,1,360,240,0,0.08953279320989342,1.5466772125888533,1.4440765628394097,100.1864393736711,False
7,EFF_LOW__RV_MID,EFF_LOW__RV_MID,1,60,360,0,0.3399141730870971,0.6330357090731763,1.1845445377034887,100.64062406145754,False
8,EFF_LOW__RV_MID,EFF_LOW__RV_MID,1,360,240,0,0.5566835843326001,1.2435047734172606,1.3865045620295586,105.10671564024052,False
9,EFF_MID__EXT_LOW,EFF_MID__EXT_LOW,1,240,480,1,0.24930852085059985,1.647626724439539,1.505983029880113,63.7484265158636,False
10,EFF_MID__RV_MID,EFF_MID__RV_MID,1,60,360,1,0.8887126441123105,1.7374797655845793,1.6846435938814353,50.997229686303825,False
11,RV_HIGH__RANGE_MID,RV_HIGH__RANGE_MID,1,180,480,1,1.9881283296427545,2.6632148312031583,2.496186676263481,36.94568440106693,False
12,RV_HIGH__RANGE_MID,RV_HIGH__RANGE_MID,1,60,120,0,0.39402963229022464,1.0232897138172243,1.7198206651014412,22.611005267165883,False
13,RV_LOW__RANGE_MID,RV_LOW__RANGE_MID,2,240;360,240,2,0.8775055772513558,1.3757876124309534,1.7728140944643456,52.11656396250897,False
