character_rule,supportive_cells,connected_components,max_component_cells,strict_temporal_cells,best_positive_halves,best_supportive_anchors,median_expectancy,median_pf,min_best_half_concentration,min_best_anchor_concentration,failure_modes,diagnostic_rank
DRIVE_DOWN__STR_B80_100,2,2,1,1,3,4,0.9138816096184538,1.4352121828592135,0.46315144231653993,0.4127800207008022,TIMING_FRAGILITY,1
EFF_LOW__RANGE_HIGH,3,2,2,0,3,0,1.0973277920615518,1.4515600078836697,0.46236696728683363,0.6135002893539708,TIMING_FRAGILITY;ANCHOR_FRAGILITY,2
DRIVE_DOWN__STR_B60_80,1,1,1,0,3,2,0.2771512381190746,1.1133797324276975,0.5169191438771411,0.6545403478852486,TIMING_FRAGILITY;ANCHOR_FRAGILITY,3
