asset,partition,entry_name,fills,h2_n,h2_rate_fill,breakout_n,breakout_rate_fill,breakout_rate_given_h2,h2_immediate_n,h2_immediate_rate_given_h2,h2_rejection_n,later_breakout_n,later_breakout_rate_given_rejection,opposite_before_breakout_n,no_break_by_end_n,causal_e10_n,causal_e10_rate_given_breakout,causal_e20_n,causal_e20_rate_given_breakout,samebar_e10_n,samebar_e10_rate_given_breakout,samebar_e20_n,samebar_e20_rate_given_breakout,median_fill_to_h2,median_h2_to_breakout,median_breakout_to_e10,median_breakout_to_e20
ETH,external,F95,36,34,0.9444444444444444,33,0.9166666666666666,0.9705882352941176,21,0.6176470588235294,13,12,0.9230769230769231,0,3,30,0.9090909090909091,26,0.7878787878787878,14,0.42424242424242425,5,0.15151515151515152,15.0,0.0,0.0,5.0
ETH,external,F90,56,47,0.8392857142857143,44,0.7857142857142857,0.9361702127659575,27,0.574468085106383,20,17,0.85,1,11,41,0.9318181818181818,36,0.8181818181818182,24,0.5454545454545454,8,0.18181818181818182,20.0,0.0,0.0,0.0
ETH,external,F85,56,46,0.8214285714285714,43,0.7678571428571429,0.9347826086956522,26,0.5652173913043478,20,17,0.85,1,12,40,0.9302325581395349,36,0.8372093023255814,25,0.5813953488372093,9,0.20930232558139536,27.5,0.0,0.0,0.0
ETH,external,F80,45,34,0.7555555555555555,31,0.6888888888888889,0.9117647058823529,20,0.5882352941176471,14,11,0.7857142857142857,1,13,28,0.9032258064516129,27,0.8709677419354839,18,0.5806451612903226,6,0.1935483870967742,40.0,0.0,0.0,0.0
ETH,external,F75,42,31,0.7380952380952381,30,0.7142857142857143,0.967741935483871,20,0.6451612903225806,11,10,0.9090909090909091,1,11,27,0.9,26,0.8666666666666667,17,0.5666666666666667,5,0.16666666666666666,40.0,0.0,0.0,0.0
ETH,development,F95,43,37,0.8604651162790697,30,0.6976744186046512,0.8108108108108109,19,0.5135135135135135,18,11,0.6111111111111112,7,6,27,0.9,25,0.8333333333333334,19,0.6333333333333333,8,0.26666666666666666,10.0,0.0,0.0,0.0
ETH,development,F90,65,55,0.8461538461538461,49,0.7538461538461538,0.8909090909090909,28,0.509090909090909,27,21,0.7777777777777778,8,8,45,0.9183673469387755,40,0.8163265306122449,29,0.5918367346938775,14,0.2857142857142857,20.0,0.0,0.0,0.0
ETH,development,F85,70,58,0.8285714285714286,51,0.7285714285714285,0.8793103448275862,26,0.4482758620689655,32,25,0.78125,10,9,46,0.9019607843137255,41,0.803921568627451,29,0.5686274509803921,15,0.29411764705882354,25.0,0.0,0.0,0.0
ETH,development,F80,69,54,0.782608695652174,48,0.6956521739130435,0.8888888888888888,24,0.4444444444444444,30,24,0.8,13,8,46,0.9583333333333334,40,0.8333333333333334,29,0.6041666666666666,16,0.3333333333333333,30.0,2.5,0.0,0.0
ETH,development,F75,65,48,0.7384615384615385,43,0.6615384615384615,0.8958333333333334,24,0.5,24,19,0.7916666666666666,14,8,41,0.9534883720930233,36,0.8372093023255814,28,0.6511627906976745,17,0.3953488372093023,35.0,0.0,0.0,0.0
ETH,reference_validation,F95,19,15,0.7894736842105263,14,0.7368421052631579,0.9333333333333333,6,0.4,9,8,0.8888888888888888,4,1,13,0.9285714285714286,12,0.8571428571428571,8,0.5714285714285714,2,0.14285714285714285,20.0,5.0,0.0,10.0
ETH,reference_validation,F90,30,24,0.8,24,0.8,1.0,15,0.625,9,9,1.0,4,2,23,0.9583333333333334,22,0.9166666666666666,15,0.625,5,0.20833333333333334,20.0,0.0,0.0,10.0
ETH,reference_validation,F85,34,26,0.7647058823529411,25,0.7352941176470589,0.9615384615384616,16,0.6153846153846154,10,9,0.9,6,3,24,0.96,23,0.92,16,0.64,5,0.2,20.0,0.0,0.0,10.0
ETH,reference_validation,F80,35,26,0.7428571428571429,25,0.7142857142857143,0.9615384615384616,16,0.6153846153846154,10,9,0.9,7,3,24,0.96,23,0.92,16,0.64,5,0.2,20.0,0.0,0.0,10.0
ETH,reference_validation,F75,31,22,0.7096774193548387,21,0.6774193548387096,0.9545454545454546,13,0.5909090909090909,9,8,0.8888888888888888,7,3,20,0.9523809523809523,19,0.9047619047619048,13,0.6190476190476191,4,0.19047619047619047,20.0,0.0,0.0,10.0
ETH,august,F95,1,0,0.0,0,0.0,,0,,0,0,,1,0,0,,0,,0,,0,,,,,
ETH,august,F90,1,0,0.0,0,0.0,,0,,0,0,,1,0,0,,0,,0,,0,,,,,
ETH,august,F85,1,0,0.0,0,0.0,,0,,0,0,,1,0,0,,0,,0,,0,,,,,
ETH,august,F80,2,1,0.5,1,0.5,1.0,0,0.0,1,1,1.0,1,0,1,1.0,1,1.0,1,1.0,1,1.0,5.0,5.0,0.0,0.0
ETH,august,F75,2,1,0.5,1,0.5,1.0,0,0.0,1,1,1.0,1,0,1,1.0,1,1.0,1,1.0,1,1.0,5.0,5.0,0.0,0.0
ETH,POOLED_MAJOR,F95,98,86,0.8775510204081632,77,0.7857142857142857,0.8953488372093024,46,0.5348837209302325,40,31,0.775,11,10,70,0.9090909090909091,63,0.8181818181818182,41,0.5324675324675324,15,0.19480519480519481,15.0,0.0,0.0,5.0
ETH,POOLED_MAJOR,F90,151,126,0.8344370860927153,117,0.7748344370860927,0.9285714285714286,70,0.5555555555555556,56,47,0.8392857142857143,13,21,109,0.9316239316239316,98,0.8376068376068376,68,0.5811965811965812,27,0.23076923076923078,20.0,0.0,0.0,0.0
ETH,POOLED_MAJOR,F85,160,130,0.8125,119,0.74375,0.9153846153846154,68,0.5230769230769231,62,51,0.8225806451612904,17,24,110,0.9243697478991597,100,0.8403361344537815,70,0.5882352941176471,29,0.24369747899159663,25.0,0.0,0.0,0.0
ETH,POOLED_MAJOR,F80,149,114,0.7651006711409396,104,0.697986577181208,0.9122807017543859,60,0.5263157894736842,54,44,0.8148148148148148,21,24,98,0.9423076923076923,90,0.8653846153846154,63,0.6057692307692307,27,0.25961538461538464,30.0,0.0,0.0,0.0
ETH,POOLED_MAJOR,F75,138,101,0.7318840579710145,94,0.6811594202898551,0.9306930693069307,57,0.5643564356435643,44,37,0.8409090909090909,22,22,88,0.9361702127659575,81,0.8617021276595744,58,0.6170212765957447,26,0.2765957446808511,35.0,0.0,0.0,0.0
BTC,external,F95,34,32,0.9411764705882353,30,0.8823529411764706,0.9375,16,0.5,16,14,0.875,0,4,28,0.9333333333333333,24,0.8,16,0.5333333333333333,9,0.3,10.0,0.0,0.0,5.0
BTC,external,F90,48,44,0.9166666666666666,42,0.875,0.9545454545454546,21,0.4772727272727273,23,21,0.9130434782608695,0,6,39,0.9285714285714286,32,0.7619047619047619,22,0.5238095238095238,12,0.2857142857142857,20.0,2.5,0.0,5.0
BTC,external,F85,46,41,0.8913043478260869,39,0.8478260869565217,0.9512195121951219,21,0.5121951219512195,20,18,0.9,0,7,36,0.9230769230769231,31,0.7948717948717948,21,0.5384615384615384,11,0.28205128205128205,25.0,0.0,0.0,5.0
BTC,external,F80,38,32,0.8421052631578947,31,0.8157894736842105,0.96875,16,0.5,16,15,0.9375,1,6,28,0.9032258064516129,24,0.7741935483870968,17,0.5483870967741935,9,0.2903225806451613,32.5,0.0,0.0,5.0
BTC,external,F75,33,25,0.7575757575757576,24,0.7272727272727273,0.96,9,0.36,16,15,0.9375,1,8,22,0.9166666666666666,18,0.75,12,0.5,6,0.25,40.0,5.0,0.0,5.0
BTC,development,F95,37,32,0.8648648648648649,30,0.8108108108108109,0.9375,18,0.5625,14,12,0.8571428571428571,2,5,28,0.9333333333333333,25,0.8333333333333334,20,0.6666666666666666,11,0.36666666666666664,7.5,0.0,0.0,5.0
BTC,development,F90,56,44,0.7857142857142857,40,0.7142857142857143,0.9090909090909091,22,0.5,22,18,0.8181818181818182,7,9,39,0.975,36,0.9,27,0.675,14,0.35,10.0,0.0,0.0,2.5
BTC,development,F85,72,53,0.7361111111111112,48,0.6666666666666666,0.9056603773584906,27,0.5094339622641509,26,21,0.8076923076923077,15,9,47,0.9791666666666666,44,0.9166666666666666,32,0.6666666666666666,17,0.3541666666666667,15.0,0.0,0.0,0.0
BTC,development,F80,73,50,0.684931506849315,45,0.6164383561643836,0.9,25,0.5,25,20,0.8,17,11,44,0.9777777777777777,42,0.9333333333333333,31,0.6888888888888889,17,0.37777777777777777,25.0,0.0,0.0,0.0
BTC,development,F75,70,45,0.6428571428571429,41,0.5857142857142857,0.9111111111111111,22,0.4888888888888889,23,19,0.8260869565217391,18,11,39,0.9512195121951219,37,0.9024390243902439,28,0.6829268292682927,15,0.36585365853658536,25.0,0.0,0.0,0.0
BTC,reference_validation,F95,18,18,1.0,18,1.0,1.0,10,0.5555555555555556,8,8,1.0,0,0,18,1.0,17,0.9444444444444444,11,0.6111111111111112,5,0.2777777777777778,5.0,0.0,0.0,0.0
BTC,reference_validation,F90,28,25,0.8928571428571429,25,0.8928571428571429,1.0,16,0.64,9,9,1.0,2,1,25,1.0,24,0.96,16,0.64,8,0.32,5.0,0.0,0.0,0.0
BTC,reference_validation,F85,31,27,0.8709677419354839,27,0.8709677419354839,1.0,17,0.6296296296296297,10,10,1.0,2,2,27,1.0,27,1.0,17,0.6296296296296297,8,0.2962962962962963,15.0,0.0,0.0,0.0
BTC,reference_validation,F80,32,27,0.84375,27,0.84375,1.0,16,0.5925925925925926,11,11,1.0,3,2,27,1.0,27,1.0,17,0.6296296296296297,8,0.2962962962962963,25.0,0.0,0.0,0.0
BTC,reference_validation,F75,31,25,0.8064516129032258,25,0.8064516129032258,1.0,14,0.56,11,11,1.0,3,3,25,1.0,25,1.0,16,0.64,8,0.32,35.0,0.0,0.0,0.0
BTC,august,F95,2,2,1.0,2,1.0,1.0,1,0.5,1,1,1.0,0,0,2,1.0,1,0.5,1,0.5,1,0.5,5.0,35.0,5.0,10.0
BTC,august,F90,3,3,1.0,3,1.0,1.0,1,0.3333333333333333,2,2,1.0,0,0,3,1.0,2,0.6666666666666666,2,0.6666666666666666,2,0.6666666666666666,20.0,5.0,0.0,5.0
