tf,tolerance,transition,partition,direction,high_retests,low_retests,n,share_within_group
15m,TOL_0.10,ASIA_TO_LONDON,august,BEAR,0,0,1,0.3333333333333333
15m,TOL_0.10,ASIA_TO_LONDON,august,BEAR,0,1,1,0.3333333333333333
15m,TOL_0.10,ASIA_TO_LONDON,august,BEAR,1,2,1,0.3333333333333333
15m,TOL_0.10,ASIA_TO_LONDON,august,BULL,0,0,3,0.6
15m,TOL_0.10,ASIA_TO_LONDON,august,BULL,2,0,2,0.4
15m,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,0,0,1,0.16666666666666666
15m,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,0,1,2,0.3333333333333333
15m,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,0,2,1,0.16666666666666666
15m,TOL_0.10,ASIA_TO_LONDON,august,NO_BREAK,1,0,2,0.3333333333333333
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,0,58,0.29441624365482233
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,1,93,0.4720812182741117
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,2,27,0.13705583756345177
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,3,3,0.015228426395939087
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,0,4,1,0.005076142131979695
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,1,0,6,0.030456852791878174
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,1,1,6,0.030456852791878174
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,1,2,2,0.01015228426395939
15m,TOL_0.10,ASIA_TO_LONDON,development,BEAR,2,0,1,0.005076142131979695
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,0,79,0.31983805668016196
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,1,7,0.02834008097165992
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,2,2,0.008097165991902834
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,3,1,0.004048582995951417
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,0,4,1,0.004048582995951417
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,1,0,100,0.4048582995951417
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,1,1,4,0.016194331983805668
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,1,2,3,0.012145748987854251
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,2,0,35,0.1417004048582996
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,2,1,2,0.008097165991902834
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,2,2,1,0.004048582995951417
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,3,0,11,0.044534412955465584
15m,TOL_0.10,ASIA_TO_LONDON,development,BULL,4,0,1,0.004048582995951417
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,0,149,0.4408284023668639
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,1,43,0.12721893491124261
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,2,19,0.05621301775147929
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,3,9,0.026627218934911243
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,4,5,0.014792899408284023
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,0,5,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,0,47,0.1390532544378698
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,1,13,0.038461538461538464
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,2,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,3,3,0.008875739644970414
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,1,4,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,2,0,29,0.08579881656804733
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,2,1,5,0.014792899408284023
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,2,2,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,3,0,8,0.023668639053254437
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,4,0,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,5,0,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,5,2,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,development,NO_BREAK,6,0,1,0.0029585798816568047
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,0,0,79,0.4619883040935672
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,0,1,55,0.3216374269005848
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,0,2,20,0.11695906432748537
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,0,3,6,0.03508771929824561
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,1,0,3,0.017543859649122806
15m,TOL_0.10,ASIA_TO_LONDON,external,BEAR,1,1,6,0.03508771929824561
