candidate_id,partition,source,entry2_type,entry1_ts,entry1_px,entry2_ts,entry2_px,execution_end,H,L,R,F35,entry1_depth_R,entry2_depth_R,entry1_reward_H_R,entry2_reward_H_R,entry1_risk_F35_R,entry2_risk_F35_R,entry1_exit_ts,entry1_exit_px,entry1_exit_reason,entry1_h2,entry2_exit_ts,entry2_exit_px,entry2_exit_reason,entry2_h2,entry1_pnl_0bps,entry2_pnl_0bps,entry1_pnl_2bps,entry2_pnl_2bps,entry1_pnl_5bps,entry2_pnl_5bps,entry1_pnl_10bps,entry2_pnl_10bps,entry1_pnl,entry2_pnl
external|LONG|ALT_0330|2020-02-27T09:50:00+00:00,external,ALT_0330,ACCEPT_BELOW_RERECLAIM,2020-02-27 09:50:00+00:00,18.787,2020-02-27 10:25:00+00:00,18.802,2020-02-27 15:30:00+00:00,18.875,18.288,0.5869999999999997,18.49345,0.8500851788756372,0.8756388415672905,0.14991482112436286,0.12436115843270942,0.5000851788756386,0.5256388415672921,2020-02-27 10:35:00+00:00,18.875,H2,True,2020-02-27 10:35:00+00:00,18.875,H2,True,1.942045031138551,1.5412828422508134,1.741148392453829,1.340546476387106,1.439954031607194,1.0395924046273213,0.9383646214859546,0.5384031562523764,1.942045031138551,1.5412828422508134
external|LONG|ALT_0330|2020-05-20T10:05:00+00:00,external,ALT_0330,ACCEPT_BELOW_RERECLAIM,2020-05-20 10:05:00+00:00,17.209,2020-05-20 12:35:00+00:00,17.212,2020-05-20 15:30:00+00:00,17.239,17.02,0.2190000000000012,17.09665,0.8630136986301326,0.8767123287671192,0.13698630136986745,0.12328767123288072,0.5130136986301309,0.5267123287671177,2020-05-20 13:35:00+00:00,17.239,H2,True,2020-05-20 13:35:00+00:00,17.239,H2,True,0.4716369341623675,0.38433650941212016,0.2713283411072801,0.1840628295442629,-0.02898439210856607,-0.11619756006258053,-0.5291055971745503,-0.6162315955017702,0.4716369341623675,0.38433650941212016
external|LONG|ALT_0330|2020-07-07T09:15:00+00:00,external,ALT_0330,ACCEPT_BELOW_RERECLAIM,2020-07-07 09:15:00+00:00,16.346,2020-07-07 10:25:00+00:00,16.36,2020-07-07 15:30:00+00:00,16.4,16.02,0.379999999999999,16.153,0.8578947368421088,0.8947368421052652,0.14210526315789115,0.10526315789473488,0.5078947368421103,0.5447368421052665,2020-07-07 10:35:00+00:00,16.4,H2,True,2020-07-07 10:35:00+00:00,16.4,H2,True,1.251780252049373,0.8224938875304847,1.0511596640661707,0.6220449797571085,0.7503791723372902,0.3215218796470246,0.2494789928045419,-0.17894965670033314,1.251780252049373,0.8224938875304847
external|LONG|RAW_0530|2020-08-25T11:20:00+00:00,external,RAW_0530,ACCEPT_BELOW_RERECLAIM,2020-08-25 11:20:00+00:00,22.416,2020-08-25 11:50:00+00:00,22.464,2020-08-25 17:30:00+00:00,22.495,21.975,0.5199999999999996,22.157,0.8480769230769217,0.9403846153846108,0.15192307692307824,0.0596153846153892,0.49807692307692414,0.5903846153846132,2020-08-25 12:40:00+00:00,22.115,PRE_H2_F35_INVALIDATION,False,2020-08-25 12:40:00+00:00,22.115,PRE_H2_F35_INVALIDATION,False,-7.113954318344096,-8.167984330484312,-7.311229281624076,-8.364837766064936,-7.606993844262766,-8.659970353142521,-8.099540823202455,-9.151464881272487,-7.113954318344096,-8.167984330484312
external|LONG|RAW_0530|2020-09-04T12:20:00+00:00,external,RAW_0530,ACCEPT_BELOW_RERECLAIM,2020-09-04 12:20:00+00:00,21.379,2020-09-04 12:35:00+00:00,21.362,2020-09-04 17:30:00+00:00,21.6,19.7,1.900000000000002,20.365,0.883684210526316,0.8747368421052618,0.11631578947368414,0.12526315789473835,0.5336842105263168,0.5247368421052626,2020-09-04 13:20:00+00:00,21.6,H2,True,2020-09-04 13:20:00+00:00,21.6,H2,True,4.768623415501172,5.170639453234771,4.566596371543841,4.968451635017201,4.263707250168403,4.665321472771833,3.7592954965892216,4.160508305476163,4.768623415501172,5.170639453234771
external|LONG|ALT_0330|2020-11-25T10:55:00+00:00,external,ALT_0330,FIRST_HOLD,2020-11-25 10:55:00+00:00,33.575,2020-11-25 11:00:00+00:00,33.564,2020-11-25 15:30:00+00:00,33.77,32.319,1.4510000000000003,32.82685,0.8656099241902137,0.8580289455547878,0.1343900758097865,0.1419710544452123,0.5156099241902153,0.5080289455547895,2020-11-25 11:05:00+00:00,33.77,H2,True,2020-11-25 11:05:00+00:00,33.77,H2,True,2.503946388682077,2.6687641520676935,2.3028250343974492,2.467576883860523,2.001293768603541,2.165946796593499,1.4991432989944324,1.6636317561595342,2.503946388682077,2.6687641520676935
external|LONG|ALT_0330|2021-01-08T09:20:00+00:00,external,ALT_0330,ACCEPT_BELOW_RERECLAIM,2021-01-08 09:20:00+00:00,42.696,2021-01-08 09:30:00+00:00,42.668,2021-01-08 15:30:00+00:00,42.876,41.071,1.805,41.70275,0.9002770083102494,0.8847645429362888,0.09972299168975055,0.11523545706371104,0.5502770083102472,0.5347645429362867,2021-01-08 09:35:00+00:00,42.876,H2,True,2021-01-08 09:35:00+00:00,42.876,H2,True,1.707925801011823,2.03742383050527,1.5071227912933476,1.836489047929613,1.206068803709504,1.535237499840148,0.7047131620488537,1.033552853821074,1.707925801011823,2.03742383050527
external|LONG|RAW_0530|2021-05-05T11:20:00+00:00,external,RAW_0530,ACCEPT_BELOW_RERECLAIM,2021-05-05 11:20:00+00:00,649.891,2021-05-05 12:20:00+00:00,652.776,2021-05-05 17:30:00+00:00,654.15,622.0,32.14999999999998,633.2524999999999,0.8675272161741829,0.9572628304821144,0.13247278382581704,0.04273716951788568,0.5175272161741845,0.6072628304821159,2021-05-05 13:00:00+00:00,654.15,H2,True,2021-05-05 13:00:00+00:00,654.15,H2,True,2.876703324095909,0.6524283981029336,2.6754328968517487,0.4520475029226704,2.3736781333672634,0.1516263707185942,1.8711554653066513,-0.3486753549401419,2.876703324095909,0.6524283981029336
external|LONG|ALT_0330|2021-12-28T11:25:00+00:00,external,ALT_0330,FIRST_HOLD,2021-12-28 11:25:00+00:00,552.14,2021-12-28 11:30:00+00:00,551.36,2021-12-28 15:30:00+00:00,552.83,542.51,10.32000000000005,546.122,0.9331395348837159,0.8575581395348818,0.06686046511628403,0.14244186046511823,0.583139534883721,0.5075581395348867,2021-12-28 11:50:00+00:00,552.83,H2,True,2021-12-28 11:50:00+00:00,552.83,H2,True,0.22484152570008165,0.9330673244341673,0.024631631068761428,0.7325741961301094,-0.2755331284985282,0.4319847983728756,-0.7754079079176243,-0.06859714574440867,0.22484152570008165,0.9330673244341673
development|LONG|RAW_0530|2022-04-01T11:50:00+00:00,development,RAW_0530,ACCEPT_BELOW_RERECLAIM,2022-04-01 11:50:00+00:00,430.89,2022-04-01 12:10:00+00:00,431.13,2022-04-01 17:30:00+00:00,432.56,418.96,13.600000000000025,423.72,0.8772058823529401,0.8948529411764702,0.12279411764705978,0.10514705882352972,0.5272058823529372,0.5448529411764673,2022-04-01 12:35:00+00:00,432.56,H2,True,2022-04-01 12:35:00+00:00,432.56,H2,True,1.5378495671749097,1.2584324913598848,1.3371145743466655,1.0578092430130863,1.0361625611107876,0.7570247627329388,0.5349767408668441,0.2561179409276807,1.5378495671749097,1.2584324913598848
