feature,context,comparison,development_left_n,development_right_n,development_left_D,development_right_D,development_delta_D,validation_2025_left_n,validation_2025_right_n,validation_2025_left_D,validation_2025_right_D,validation_2025_delta_D,validation_2026_left_n,validation_2026_right_n,validation_2026_left_D,validation_2026_right_D,validation_2026_delta_D,classification
btcd_chg_24h,DOM_HIGH,OI_HIGH_vs_LOW,7996,7983,0.054402201100550274,-0.0632594262808468,0.11766162738139707,3561,3797,0.1597865768042685,-0.16802739004477213,0.32781396684904063,1437,1675,0.11621433542101606,-0.14805970149253728,0.26427403691355333,REPLICATED_CONDITIONAL
btcd_chg_24h,DOM_LOW,OI_HIGH_vs_LOW,7727,7877,0.008412061602174226,-0.09013583851720197,0.0985479001193762,3217,3505,0.09636307118433324,-0.1800285306704708,0.27639160185480405,2159,2413,0.09541454377026398,-0.16245337753833405,0.25786792130859804,REPLICATED_CONDITIONAL
usdtd_chg_24h,DOM_HIGH,OI_HIGH_vs_LOW,7885,8006,0.07114774889029801,-0.0748188858356233,0.1459666347259213,4154,4541,0.11579200770341841,-0.186743008147985,0.3025350158514034,2283,2562,0.1064388961892247,-0.17408274785323968,0.2805216440424644,REPLICATED_CONDITIONAL
usdtd_chg_24h,DOM_LOW,OI_HIGH_vs_LOW,7964,7931,0.03164239075841291,-0.06480897743033665,0.09645136818874955,3367,3623,0.13572913572913575,-0.11482197074247857,0.2505511064716143,1868,2124,0.09528907922912205,-0.1332391713747646,0.22852825060388665,REPLICATED_CONDITIONAL
