partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,entry_fraction,entry_level,T10,filled,fill_ts,cancel_reason,rebreak_confirmed,rebreak_complete_ts,t10_reached,t10_ts,high_failure,high_failure_ts,unresolved,minutes_reclaim_to_fill,minutes_fill_to_rebreak,minutes_fill_to_t10
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.05,46848.4355,46750.379,True,2022-01-03 03:55:00+00:00,,True,2022-01-03 04:00:00+00:00,True,2022-01-03 04:05:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.1,46881.121,46750.379,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.15,46913.8065,46750.379,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.25,46979.1775,46750.379,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 03:55:00+00:00,47469.46,46815.75,653.7099999999991,0.5,47142.604999999996,46750.379,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.05,42366.9385,42303.462999999996,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.1,42388.097,42303.462999999996,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.15,42409.2555,42303.462999999996,True,2022-01-17 16:25:00+00:00,,True,2022-01-17 16:30:00+00:00,True,2022-01-17 16:35:00+00:00,False,,False,0.0,5.0,10.0
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.25,42451.572499999995,42303.462999999996,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:25:00+00:00,42768.95,42345.78,423.16999999999825,0.5,42557.365,42303.462999999996,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.05,41412.4205,41313.329,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.1,41445.451,41313.329,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.15,41478.4815,41313.329,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.25,41544.542499999996,41313.329,True,2022-01-18 14:40:00+00:00,,True,2022-01-18 14:55:00+00:00,True,2022-01-18 15:00:00+00:00,False,,False,0.0,15.0,20.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:40:00+00:00,42040.0,41379.39,660.6100000000006,0.5,41709.695,41313.329,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.05,37867.0,37681.0,True,2022-01-21 20:20:00+00:00,,True,2022-01-21 20:30:00+00:00,True,2022-01-21 21:35:00+00:00,False,,False,0.0,10.0,75.0
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.1,37929.0,37681.0,True,2022-01-21 20:20:00+00:00,,True,2022-01-21 20:30:00+00:00,True,2022-01-21 21:35:00+00:00,False,,False,0.0,10.0,75.0
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.15,37991.0,37681.0,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.25,38115.0,37681.0,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:20:00+00:00,39045.0,37805.0,1240.0,0.5,38425.0,37681.0,False,,LOW_BREAK_BEFORE_FILL,False,,False,,False,,False,,,
development,BULL,08-12,2022-01-29 08:00:00+00:00,2022-01-29 12:00:00+00:00,2022-01-29 09:25:00+00:00,37939.0,37575.06,363.9400000000023,0.05,37593.257,37538.666,True,2022-01-29 09:25:00+00:00,,False,,False,,True,2022-01-29 13:35:00+00:00,False,0.0,,
