scenario,slippage_bps_per_taker_leg,component,n,mean_r,median_r,pf_r,cum_r,win_rate,max_dd_r,max_loss_streak,median_cost_r
REGULAR_FEE_PLUS_FUNDING,0.0,ALL,302,0.063402063749212,0.17695977991088752,1.1550147300863132,19.147423252262026,0.5662251655629139,8.412885889451612,6,0.052679240991946874
REGULAR_FEE_PLUS_FUNDING,0.0,BUY_SIDE,131,0.07190486446031619,0.17787261146496827,1.1934679178765517,9.41953724430142,0.5801526717557252,5.899217995156681,4,0.050573964497041435
REGULAR_FEE_PLUS_FUNDING,0.0,SELL_SIDE,171,0.056888222268775476,0.14243803863299434,1.1299960380048224,9.727886007960606,0.5555555555555556,6.99345212094491,5,0.054448275862068796
REGULAR_FEE_PLUS_FUNDING,0.0,SCORE3_ALL,274,0.02316741044827159,0.14025483593540816,1.056775602117642,6.347870462826416,0.5620437956204379,9.021066905735415,6,0.052679240991946874
REGULAR_FEE_PLUS_FUNDING,0.0,SCORE3_BUY_SIDE_SHORT,131,0.07190486446031619,0.17787261146496827,1.1934679178765517,9.41953724430142,0.5801526717557252,5.899217995156681,4,0.050573964497041435
REGULAR_FEE_PLUS_FUNDING,0.0,SCORE3_SELL_SIDE_LONG,143,-0.021480187283041987,0.10841040462427785,0.9513348876987089,-3.0716667814750043,0.5454545454545454,13.827264046791205,8,0.054448275862068796
REGULAR_FEE_PLUS_FUNDING,0.0,SCORE4_SELL_SIDE_LONG,28,0.45712688533698603,0.6015635817635699,2.092697858792945,12.799552789435609,0.6071428571428571,2.1757801927011977,2,0.052556656159979176
REGULAR_FEE_PLUS_FUNDING,0.5,ALL,302,0.057150400962377786,0.1727275913795876,1.1387284755991878,17.259421090638092,0.5629139072847682,8.695479546183282,6,0.057947158708716015
REGULAR_FEE_PLUS_FUNDING,0.5,BUY_SIDE,131,0.06585959257734801,0.17527771210190463,1.1759934373472682,8.62760662763259,0.5801526717557252,5.982048496473682,4,0.05563134674556636
REGULAR_FEE_PLUS_FUNDING,0.5,SELL_SIDE,171,0.05047844715207896,0.13849462564635853,1.114496691898736,8.631814463005503,0.5497076023391813,7.240296005991097,5,0.05989312844828043
REGULAR_FEE_PLUS_FUNDING,0.5,SCORE3_ALL,274,0.01670051827784762,0.13725930143349357,1.040621956892142,4.575942008130248,0.5583941605839416,9.441077259195925,6,0.057947158708716015
REGULAR_FEE_PLUS_FUNDING,0.5,SCORE3_BUY_SIDE_SHORT,131,0.06585959257734801,0.17527771210190463,1.1759934373472682,8.62760662763259,0.5801526717557252,5.982048496473682,4,0.05563134674556636
REGULAR_FEE_PLUS_FUNDING,0.5,SCORE3_SELL_SIDE_LONG,143,-0.028333319017498904,0.1048996127723961,0.9363193032330221,-4.051664619502343,0.5384615384615384,14.629784558721951,8,0.05989312844828043
REGULAR_FEE_PLUS_FUNDING,0.5,SCORE4_SELL_SIDE_LONG,28,0.4529813958038516,0.5967550876774417,2.0781133472691504,12.683479082507844,0.6071428571428571,2.1926936519796403,2,0.05631467787864708
REGULAR_FEE_PLUS_FUNDING,1.0,ALL,302,0.05089873817555677,0.1684954028483012,1.1226720083614223,15.371418929018144,0.5629139072847682,8.978073202914521,6,0.06321507642546959
REGULAR_FEE_PLUS_FUNDING,1.0,BUY_SIDE,131,0.05981432069439356,0.17268281273885458,1.158755790163183,7.835676010965557,0.5801526717557252,6.064878997790482,4,0.06068872899408295
REGULAR_FEE_PLUS_FUNDING,1.0,SELL_SIDE,171,0.044068672035395245,0.13455121265973963,1.0992220940996278,7.535742918052587,0.5497076023391813,7.487139891036948,5,0.06469642870285108
REGULAR_FEE_PLUS_FUNDING,1.0,SCORE3_ALL,274,0.010233626107438148,0.13426376693158876,1.0247072045333412,2.8040135534380526,0.5583941605839416,9.964502955994577,6,0.06321507642546959
REGULAR_FEE_PLUS_FUNDING,1.0,SCORE3_BUY_SIDE_SHORT,131,0.05981432069439356,0.17268281273885458,1.158755790163183,7.835676010965557,0.5801526717557252,6.064878997790482,4,0.06068872899408295
