rule,partition,n,persistence_exits,persistence_exit_rate,persistence_h2_failure_rate,persistence_baseline_loser_rate,h2_before_exit_rate,tp_rate,wr,pf,expectancy,total_pnl,median_persistence_pnl,baseline_total,delta_vs_baseline
P1,external,50,35,0.7,0.37142857142857144,0.5142857142857142,0.26,0.22,0.24,0.7460940220729535,-0.2473917394515717,-12.369586972578585,-0.788840068643682,40.88550763278454,-53.25509460536313
P1,development,79,63,0.7974683544303798,0.31746031746031744,0.4444444444444444,0.16455696202531644,0.1518987341772152,0.1518987341772152,0.3434316265857962,-0.6225442017895838,-49.18099194137712,-0.8464820908582624,-22.548661499627087,-26.632330441750035
P1,reference_validation,34,31,0.9117647058823529,0.3225806451612903,0.4838709677419355,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.052445894649236185,-0.9858210861366135,-33.51791692864486,-0.7436367720425847,-30.002444584673732,-3.515472343971126
P1,august,1,0,0.0,,,1.0,0.0,0.0,0.0,-2.419895610447034,-2.419895610447034,,-2.419895610447034,0.0
P1,POOLED_MAJOR,163,129,0.7914110429447853,0.3333333333333333,0.4728682170542636,0.17177914110429449,0.15337423312883436,0.15950920245398773,0.40207142748702657,-0.5832423057828255,-95.06849584260056,-0.8070639868762137,-11.665598451516269,-83.40289739108428
P2,external,50,28,0.56,0.4642857142857143,0.6071428571428571,0.4,0.34,0.36,1.108333399405907,0.13030913242265896,6.515456621132948,-1.2598165732209765,40.88550763278454,-34.37005101165159
P2,development,79,50,0.6329113924050633,0.4,0.56,0.27848101265822783,0.31645569620253167,0.31645569620253167,0.5003013007829024,-0.5571898114067925,-44.017995101136606,-1.364227259135831,-22.548661499627087,-21.46933360150952
P2,reference_validation,34,24,0.7058823529411765,0.4166666666666667,0.5416666666666666,0.2647058823529412,0.17647058823529413,0.20588235294117646,0.23122707176840454,-0.9691402799696318,-32.95076951896748,-1.1589727467529158,-30.002444584673732,-2.948324934293751
P2,august,1,0,0.0,,,1.0,0.0,0.0,0.0,-2.419895610447034,-2.419895610447034,,-2.419895610447034,0.0
P2,POOLED_MAJOR,163,102,0.6257668711656442,0.4215686274509804,0.5686274509803921,0.3128834355828221,0.294478527607362,0.3067484662576687,0.6313144623209747,-0.4322288834292709,-70.45330799897116,-1.2834771373694587,-11.665598451516269,-58.78770954745489
P3,external,50,26,0.52,0.5,0.6538461538461539,0.44,0.38,0.4,1.224454431146357,0.30058624169775755,15.029312084887877,-1.4323063228808475,40.88550763278454,-25.85619554789666
P3,development,79,42,0.5316455696202531,0.4523809523809524,0.6190476190476191,0.3291139240506329,0.3924050632911392,0.3924050632911392,0.6897030123619002,-0.3701605099033426,-29.242680282364063,-1.4718840108333842,-22.548661499627087,-6.6940187827369755
P3,reference_validation,34,19,0.5588235294117647,0.5263157894736842,0.6842105263157895,0.35294117647058826,0.3235294117647059,0.35294117647058826,0.482976997558663,-0.6924203104783503,-23.54229055626391,-1.4251391155808721,-30.002444584673732,6.460154028409821
P3,august,1,0,0.0,,,1.0,0.0,0.0,0.0,-2.419895610447034,-2.419895610447034,,-2.419895610447034,0.0
P3,POOLED_MAJOR,163,87,0.5337423312883436,0.4827586206896552,0.6436781609195402,0.36809815950920244,0.37423312883435583,0.38650306748466257,0.8173713279224158,-0.2316298083051541,-37.755658753740114,-1.4305463119095947,-11.665598451516269,-26.090060302223847
