source,side,candidates,accepted,blocked,n,wins,wr,pf,expectancy,net,max_loss_streak
ALT_0330,LONG,56,55,1,55,34,0.6181818181818182,0.6484098943706504,-0.8931029450859113,-49.12066197972512,6
RAW_0530,LONG,55,51,4,51,27,0.5294117647058824,0.5536922087485817,-1.4177734396635844,-72.3064454228428,5
SHORT_2000,SHORT,64,64,0,64,43,0.671875,1.363536175584153,0.4605111087794771,29.472710961886534,4
