partition,reference_start,execution_start,H,L,R,E20,breakout_ts,back_in_ts,ambiguous_e20_on_back_in_bar,recovery_start,confirmed_rebreak,rebreak_ts,eventual_e20,e20_ts,minutes_back_in_close_to_e20,min_low_after_back_in,min_fraction_after_back_in,depth_pct_of_range_below_high,depth_bucket,recovery_type
external,2021-10-06 08:00:00+00:00,2021-10-06 13:30:00+00:00,3598.19,3339.67,258.52,3649.8940000000002,2021-10-06 14:55:00+00:00,2021-10-06 15:00:00+00:00,False,2021-10-06 15:05:00+00:00,True,2021-10-06 15:05:00+00:00,False,,,3565.64,0.8740909794213206,12.590902057867934,10-15% below High,REBREAK_BUT_NO_E20
external,2021-10-28 08:00:00+00:00,2021-10-28 13:30:00+00:00,4199.32,4011.59,187.72999999999956,4236.866,2021-10-28 17:00:00+00:00,2021-10-28 17:05:00+00:00,False,2021-10-28 17:10:00+00:00,True,2021-10-28 17:10:00+00:00,True,2021-10-28 19:40:00+00:00,150.0,4113.0,0.5401906994087258,45.980930059127424,>15% below High,E20_AFTER_CONFIRMED_REBREAK
external,2021-12-27 08:00:00+00:00,2021-12-27 13:30:00+00:00,4095.03,4033.0,62.0300000000002,4107.436000000001,2021-12-27 14:40:00+00:00,2021-12-27 14:50:00+00:00,False,2021-12-27 14:55:00+00:00,True,2021-12-27 15:00:00+00:00,True,2021-12-27 15:00:00+00:00,5.0,4089.57,0.9119780751249392,8.802192487506076,5-10% below High,E20_AFTER_CONFIRMED_REBREAK
development,2022-01-25 08:00:00+00:00,2022-01-25 13:30:00+00:00,2460.7,2371.63,89.06999999999971,2478.5139999999997,2022-01-25 17:20:00+00:00,2022-01-25 17:30:00+00:00,False,2022-01-25 17:35:00+00:00,True,2022-01-25 17:35:00+00:00,True,2022-01-25 17:40:00+00:00,5.0,2453.97,0.9244414505445151,7.55585494554849,5-10% below High,E20_AFTER_CONFIRMED_REBREAK
development,2022-02-09 08:00:00+00:00,2022-02-09 13:30:00+00:00,3208.26,3066.48,141.7800000000002,3236.6160000000004,2022-02-09 16:45:00+00:00,2022-02-09 16:50:00+00:00,False,2022-02-09 16:55:00+00:00,True,2022-02-09 17:15:00+00:00,True,2022-02-09 19:05:00+00:00,130.0,3179.73,0.7987727465086742,20.122725349132573,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2022-07-15 08:00:00+00:00,2022-07-15 13:30:00+00:00,1235.35,1202.75,32.59999999999991,1241.87,2022-07-15 15:05:00+00:00,2022-07-15 15:10:00+00:00,False,2022-07-15 15:15:00+00:00,True,2022-07-15 18:40:00+00:00,True,2022-07-15 18:40:00+00:00,205.0,1202.77,0.0006134969325147812,99.93865030674853,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2022-07-19 08:00:00+00:00,2022-07-19 13:30:00+00:00,1574.53,1505.2,69.32999999999993,1588.396,2022-07-19 16:30:00+00:00,2022-07-19 16:40:00+00:00,False,2022-07-19 16:45:00+00:00,True,2022-07-19 17:45:00+00:00,True,2022-07-19 19:10:00+00:00,145.0,1546.0,0.5884898312418866,41.151016875811344,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2022-08-12 08:00:00+00:00,2022-08-12 13:30:00+00:00,1903.13,1852.0,51.13000000000011,1913.3560000000002,2022-08-12 16:00:00+00:00,2022-08-12 16:05:00+00:00,False,2022-08-12 16:10:00+00:00,True,2022-08-12 18:30:00+00:00,True,2022-08-12 18:40:00+00:00,150.0,1890.1,0.7451593976139219,25.48406023860781,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2022-12-07 08:00:00+00:00,2022-12-07 13:30:00+00:00,1233.33,1217.02,16.309999999999945,1236.5919999999999,2022-12-07 13:50:00+00:00,2022-12-07 13:55:00+00:00,False,2022-12-07 14:00:00+00:00,True,2022-12-07 14:20:00+00:00,True,2022-12-07 14:30:00+00:00,30.0,1230.99,0.8565297363580671,14.34702636419329,10-15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2023-04-20 08:00:00+00:00,2023-04-20 13:30:00+00:00,1975.98,1935.17,40.809999999999945,1984.142,2023-04-20 14:10:00+00:00,2023-04-20 14:15:00+00:00,False,2023-04-20 14:20:00+00:00,False,,False,,,1905.75,-0.7209017397696671,172.0901739769667,>15% below High,NO_REBREAK_NO_E20
development,2023-06-08 08:00:00+00:00,2023-06-08 13:30:00+00:00,1857.0,1836.68,20.319999999999936,1861.064,2023-06-08 15:40:00+00:00,2023-06-08 15:45:00+00:00,False,2023-06-08 15:50:00+00:00,True,2023-06-08 15:50:00+00:00,False,,,1840.15,0.17076771653543496,82.9232283464565,>15% below High,REBREAK_BUT_NO_E20
development,2023-07-26 08:00:00+00:00,2023-07-26 13:30:00+00:00,1858.52,1846.9,11.61999999999989,1860.844,2023-07-26 14:25:00+00:00,2023-07-26 14:30:00+00:00,False,2023-07-26 14:35:00+00:00,True,2023-07-26 15:00:00+00:00,True,2023-07-26 16:05:00+00:00,90.0,1855.7,0.7573149741824473,24.268502581755275,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2023-08-03 08:00:00+00:00,2023-08-03 13:30:00+00:00,1838.5,1825.0,13.5,1841.2,2023-08-03 13:55:00+00:00,2023-08-03 14:05:00+00:00,False,2023-08-03 14:10:00+00:00,True,2023-08-03 14:30:00+00:00,True,2023-08-03 14:35:00+00:00,25.0,1835.7,0.792592592592596,20.740740740740403,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2023-09-14 08:00:00+00:00,2023-09-14 13:30:00+00:00,1635.8,1615.85,19.950000000000045,1639.79,2023-09-14 17:05:00+00:00,2023-09-14 17:10:00+00:00,False,2023-09-14 17:15:00+00:00,True,2023-09-14 17:50:00+00:00,True,2023-09-14 18:35:00+00:00,80.0,1631.0,0.7593984962406043,24.060150375939568,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2023-11-06 08:00:00+00:00,2023-11-06 13:30:00+00:00,1912.7,1873.43,39.26999999999998,1920.554,2023-11-06 14:55:00+00:00,2023-11-06 15:00:00+00:00,False,2023-11-06 15:05:00+00:00,False,,False,,,1886.08,0.32212885154061294,67.78711484593872,>15% below High,NO_REBREAK_NO_E20
development,2024-01-12 08:00:00+00:00,2024-01-12 13:30:00+00:00,2686.0,2585.01,100.98999999999978,2706.198,2024-01-12 14:25:00+00:00,2024-01-12 14:30:00+00:00,False,2024-01-12 14:35:00+00:00,True,2024-01-12 14:40:00+00:00,True,2024-01-12 14:55:00+00:00,20.0,2670.81,0.8495890682245758,15.041093177542416,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2024-01-15 08:00:00+00:00,2024-01-15 13:30:00+00:00,2548.8,2507.93,40.870000000000346,2556.974,2024-01-15 18:30:00+00:00,2024-01-15 18:45:00+00:00,False,2024-01-15 18:50:00+00:00,False,,False,,,2531.03,0.5652067531196517,43.47932468803482,>15% below High,NO_REBREAK_NO_E20
development,2024-02-05 08:00:00+00:00,2024-02-05 13:30:00+00:00,2332.62,2309.73,22.889999999999873,2337.198,2024-02-05 14:05:00+00:00,2024-02-05 14:10:00+00:00,False,2024-02-05 14:15:00+00:00,False,,False,,,2288.85,-0.9121887287025,191.21887287025,>15% below High,NO_REBREAK_NO_E20
development,2024-02-06 08:00:00+00:00,2024-02-06 13:30:00+00:00,2344.45,2308.16,36.289999999999964,2351.7079999999996,2024-02-06 14:35:00+00:00,2024-02-06 14:40:00+00:00,False,2024-02-06 14:45:00+00:00,True,2024-02-06 16:05:00+00:00,True,2024-02-06 16:20:00+00:00,95.0,2328.93,0.5723339763020117,42.76660236979883,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2024-05-24 08:00:00+00:00,2024-05-24 13:30:00+00:00,3728.58,3627.0,101.57999999999993,3748.8959999999997,2024-05-24 15:15:00+00:00,2024-05-24 15:20:00+00:00,False,2024-05-24 15:25:00+00:00,True,2024-05-24 18:05:00+00:00,True,2024-05-24 18:15:00+00:00,170.0,3655.34,0.2789919275447939,72.1008072455206,>15% below High,E20_AFTER_CONFIRMED_REBREAK
development,2024-08-12 08:00:00+00:00,2024-08-12 13:30:00+00:00,2698.85,2556.62,142.23000000000002,2727.296,2024-08-12 14:35:00+00:00,2024-08-12 14:40:00+00:00,False,2024-08-12 14:45:00+00:00,True,2024-08-12 14:55:00+00:00,False,,,2626.26,0.4896294733881763,51.03705266118237,>15% below High,REBREAK_BUT_NO_E20
development,2024-08-15 08:00:00+00:00,2024-08-15 13:30:00+00:00,2666.65,2604.29,62.36000000000013,2679.1220000000003,2024-08-15 15:45:00+00:00,2024-08-15 16:05:00+00:00,False,2024-08-15 16:10:00+00:00,True,2024-08-15 16:15:00+00:00,False,,,2520.0,-1.3516677357280273,235.16677357280273,>15% below High,REBREAK_BUT_NO_E20
development,2024-11-21 08:00:00+00:00,2024-11-21 13:30:00+00:00,3370.0,3120.14,249.86000000000013,3419.972,2024-11-21 18:55:00+00:00,2024-11-21 19:15:00+00:00,False,2024-11-21 19:20:00+00:00,False,,False,,,3338.07,0.8722084367245665,12.779156327543353,10-15% below High,NO_REBREAK_NO_E20
reference_validation,2025-01-01 08:00:00+00:00,2025-01-01 13:30:00+00:00,3352.78,3312.62,40.16000000000031,3360.8120000000004,2025-01-01 16:05:00+00:00,2025-01-01 16:10:00+00:00,False,2025-01-01 16:15:00+00:00,True,2025-01-01 19:45:00+00:00,True,2025-01-01 19:45:00+00:00,210.0,3321.11,0.21140438247012378,78.85956175298762,>15% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2025-01-30 08:00:00+00:00,2025-01-30 13:30:00+00:00,3261.66,3180.0,81.65999999999985,3277.9919999999997,2025-01-30 13:55:00+00:00,2025-01-30 14:00:00+00:00,False,2025-01-30 14:05:00+00:00,True,2025-01-30 14:05:00+00:00,True,2025-01-30 14:55:00+00:00,50.0,3238.03,0.7106294391378926,28.93705608621075,>15% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2025-02-04 08:00:00+00:00,2025-02-04 13:30:00+00:00,2832.7,2675.28,157.41999999999962,2864.1839999999997,2025-02-04 14:35:00+00:00,2025-02-04 14:40:00+00:00,False,2025-02-04 14:45:00+00:00,True,2025-02-04 17:10:00+00:00,True,2025-02-04 19:15:00+00:00,270.0,2727.04,0.32880193113962575,67.11980688603742,>15% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2025-05-08 08:00:00+00:00,2025-05-08 13:30:00+00:00,1976.56,1925.0,51.559999999999945,1986.8719999999998,2025-05-08 14:00:00+00:00,2025-05-08 14:05:00+00:00,False,2025-05-08 14:10:00+00:00,True,2025-05-08 14:20:00+00:00,True,2025-05-08 14:30:00+00:00,20.0,1968.11,0.8361132660977492,16.388673390225087,>15% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2025-05-27 08:00:00+00:00,2025-05-27 13:30:00+00:00,2683.76,2606.7,77.0600000000004,2699.1720000000005,2025-05-27 17:05:00+00:00,2025-05-27 17:20:00+00:00,False,2025-05-27 17:25:00+00:00,True,2025-05-27 17:40:00+00:00,True,2025-05-27 17:40:00+00:00,15.0,2670.32,0.8255904490007788,17.440955099922117,>15% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2025-08-18 08:00:00+00:00,2025-08-18 13:30:00+00:00,4366.91,4224.1,142.8099999999995,4395.472,2025-08-18 17:30:00+00:00,2025-08-18 17:35:00+00:00,False,2025-08-18 17:40:00+00:00,True,2025-08-18 18:50:00+00:00,False,,,4325.0,0.7065331559414606,29.346684405853935,>15% below High,REBREAK_BUT_NO_E20
reference_validation,2025-11-14 08:00:00+00:00,2025-11-14 13:30:00+00:00,3217.8,3068.0,149.80000000000018,3247.76,2025-11-14 15:45:00+00:00,2025-11-14 15:50:00+00:00,False,2025-11-14 15:55:00+00:00,True,2025-11-14 16:25:00+00:00,True,2025-11-14 16:25:00+00:00,30.0,3181.37,0.7568090787716939,24.319092122830604,>15% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2025-11-21 08:00:00+00:00,2025-11-21 13:30:00+00:00,2760.87,2620.0,140.8699999999999,2789.044,2025-11-21 14:30:00+00:00,2025-11-21 14:35:00+00:00,False,2025-11-21 14:40:00+00:00,True,2025-11-21 14:50:00+00:00,True,2025-11-21 17:05:00+00:00,145.0,2673.58,0.38035067793000615,61.96493220699938,>15% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2025-11-28 08:00:00+00:00,2025-11-28 13:30:00+00:00,3080.0,2999.7,80.30000000000018,3096.06,2025-11-28 14:25:00+00:00,2025-11-28 14:30:00+00:00,True,2025-11-28 14:35:00+00:00,True,2025-11-28 15:20:00+00:00,False,,,3009.36,0.12029887920299237,87.97011207970075,>15% below High,REBREAK_BUT_NO_E20
reference_validation,2026-03-12 08:00:00+00:00,2026-03-12 13:30:00+00:00,2075.65,2036.75,38.90000000000009,2083.4300000000003,2026-03-12 14:00:00+00:00,2026-03-12 14:15:00+00:00,True,2026-03-12 14:20:00+00:00,True,2026-03-12 15:35:00+00:00,False,,,2036.18,-0.014652956298198844,101.46529562981988,>15% below High,REBREAK_BUT_NO_E20
reference_validation,2026-03-16 08:00:00+00:00,2026-03-16 13:30:00+00:00,2302.99,2233.0,69.98999999999978,2316.988,2026-03-16 17:10:00+00:00,2026-03-16 17:15:00+00:00,False,2026-03-16 17:20:00+00:00,True,2026-03-16 17:30:00+00:00,True,2026-03-16 17:45:00+00:00,25.0,2296.79,0.9114159165595108,8.858408344048918,5-10% below High,E20_AFTER_CONFIRMED_REBREAK
reference_validation,2026-07-03 08:00:00+00:00,2026-07-03 13:30:00+00:00,1748.67,1714.9,33.76999999999998,1755.424,2026-07-03 19:35:00+00:00,2026-07-03 19:40:00+00:00,False,2026-07-03 19:45:00+00:00,False,,False,,,1744.29,0.8702990820254631,12.970091797453692,10-15% below High,NO_REBREAK_NO_E20
