partition,reference_start,execution_start,H,L,R,E20,breakout_ts,back_in_ts,ambiguous_e20_on_back_in_bar,recovery_start,confirmed_rebreak,rebreak_ts,eventual_e20,e20_ts,minutes_back_in_close_to_e20,min_low_after_back_in,min_fraction_after_back_in,depth_pct_of_range_below_high,depth_bucket,recovery_type
external,2020-02-04 08:00:00+00:00,2020-02-04 13:30:00+00:00,188.6,184.71,3.8899999999999864,189.378,2020-02-04 16:00:00+00:00,2020-02-04 16:05:00+00:00,False,2020-02-04 16:10:00+00:00,True,2020-02-04 16:15:00+00:00,True,2020-02-04 16:20:00+00:00,10.0,187.92,0.8251928020565529,17.480719794344708,>15% below High,E20_AFTER_CONFIRMED_REBREAK
external,2020-07-01 08:00:00+00:00,2020-07-01 13:30:00+00:00,229.13,225.49,3.6399999999999864,229.858,2020-07-01 15:55:00+00:00,2020-07-01 16:00:00+00:00,True,2020-07-01 16:05:00+00:00,True,2020-07-01 16:05:00+00:00,True,2020-07-01 16:10:00+00:00,5.0,228.69,0.8791208791208793,12.087912087912072,10-15% below High,E20_AFTER_CONFIRMED_REBREAK
external,2020-08-20 08:00:00+00:00,2020-08-20 13:30:00+00:00,412.23,403.5,8.730000000000018,413.976,2020-08-20 13:55:00+00:00,2020-08-20 14:00:00+00:00,False,2020-08-20 14:05:00+00:00,True,2020-08-20 14:20:00+00:00,True,2020-08-20 14:25:00+00:00,20.0,410.93,0.8510882016036645,14.891179839633548,10-15% below High,E20_AFTER_CONFIRMED_REBREAK
external,2020-09-30 08:00:00+00:00,2020-09-30 13:30:00+00:00,356.1,351.02,5.080000000000041,357.11600000000004,2020-09-30 14:05:00+00:00,2020-09-30 14:10:00+00:00,False,2020-09-30 14:15:00+00:00,True,2020-09-30 14:15:00+00:00,True,2020-09-30 15:10:00+00:00,55.0,355.13,0.8090551181102323,19.09448818897676,>15% below High,E20_AFTER_CONFIRMED_REBREAK
external,2020-11-05 08:00:00+00:00,2020-11-05 13:30:00+00:00,411.49,395.89,15.600000000000023,414.61,2020-11-05 14:10:00+00:00,2020-11-05 14:15:00+00:00,False,2020-11-05 14:20:00+00:00,True,2020-11-05 14:20:00+00:00,True,2020-11-05 14:50:00+00:00,30.0,408.53,0.8102564102564082,18.97435897435918,>15% below High,E20_AFTER_CONFIRMED_REBREAK
external,2020-11-19 08:00:00+00:00,2020-11-19 13:30:00+00:00,477.0,465.15,11.850000000000023,479.37,2020-11-19 14:55:00+00:00,2020-11-19 15:10:00+00:00,False,2020-11-19 15:15:00+00:00,True,2020-11-19 15:15:00+00:00,False,,,471.47,0.5333333333333365,46.666666666666345,>15% below High,REBREAK_BUT_NO_E20
external,2020-11-20 08:00:00+00:00,2020-11-20 13:30:00+00:00,511.21,490.62,20.589999999999975,515.328,2020-11-20 17:35:00+00:00,2020-11-20 18:15:00+00:00,False,2020-11-20 18:20:00+00:00,False,,False,,,503.36,0.6187469645458973,38.12530354541027,>15% below High,NO_REBREAK_NO_E20
external,2020-12-30 08:00:00+00:00,2020-12-30 13:30:00+00:00,738.46,717.52,20.940000000000055,742.648,2020-12-30 17:35:00+00:00,2020-12-30 17:45:00+00:00,False,2020-12-30 17:50:00+00:00,True,2020-12-30 18:50:00+00:00,True,2020-12-30 18:55:00+00:00,65.0,733.5,0.7631327602674296,23.68672397325704,>15% below High,E20_AFTER_CONFIRMED_REBREAK
external,2021-02-08 08:00:00+00:00,2021-02-08 13:30:00+00:00,1758.24,1627.11,131.1300000000001,1784.4660000000001,2021-02-08 16:00:00+00:00,2021-02-08 16:15:00+00:00,False,2021-02-08 16:20:00+00:00,False,,False,,,1690.87,0.48623503393578843,51.37649660642115,>15% below High,NO_REBREAK_NO_E20
external,2021-03-05 08:00:00+00:00,2021-03-05 13:30:00+00:00,1497.8,1441.57,56.23000000000002,1509.046,2021-03-05 14:00:00+00:00,2021-03-05 14:05:00+00:00,False,2021-03-05 14:10:00+00:00,True,2021-03-05 14:15:00+00:00,True,2021-03-05 14:20:00+00:00,10.0,1492.72,0.9096567668504371,9.034323314956296,5-10% below High,E20_AFTER_CONFIRMED_REBREAK
external,2021-03-09 08:00:00+00:00,2021-03-09 13:30:00+00:00,1843.6,1801.0,42.59999999999991,1852.12,2021-03-09 16:00:00+00:00,2021-03-09 16:05:00+00:00,False,2021-03-09 16:10:00+00:00,False,,False,,,1811.0,0.2347417840375592,76.52582159624409,>15% below High,NO_REBREAK_NO_E20
external,2021-04-26 08:00:00+00:00,2021-04-26 13:30:00+00:00,2527.36,2423.41,103.95000000000027,2548.15,2021-04-26 17:20:00+00:00,2021-04-26 17:25:00+00:00,False,2021-04-26 17:30:00+00:00,False,,False,,,2476.13,0.5071669071669083,49.28330928330917,>15% below High,NO_REBREAK_NO_E20
external,2021-04-28 08:00:00+00:00,2021-04-28 13:30:00+00:00,2737.64,2580.0,157.63999999999987,2769.1679999999997,2021-04-28 19:25:00+00:00,2021-04-28 19:30:00+00:00,False,2021-04-28 19:35:00+00:00,True,2021-04-28 19:55:00+00:00,False,,,2720.65,0.892222786094901,10.777721390509894,10-15% below High,REBREAK_BUT_NO_E20
