feature,dev_q33,dev_q67,partition,tercile,trades,win_rate,net_pnl,expectancy,pf,max_dd,max_loss_streak,max_win_streak
raw_efficiency,0.02163009605681104,0.03779153703732718,external,LOW,31,0.6129032258064516,-129.19681891095132,-4.167639319708107,0.6047305443890049,250.3755535397206,3,9
raw_efficiency,0.02163009605681104,0.03779153703732718,external,MID,22,0.6818181818181818,5.296238043661582,0.24073809289370826,1.0300041482924287,87.38570586493127,2,4
raw_efficiency,0.02163009605681104,0.03779153703732718,external,HIGH,49,0.7551020408163265,554.181231697547,11.30982105505198,2.8308160977366943,176.45812724022812,5,14
raw_efficiency,0.02163009605681104,0.03779153703732718,development,LOW,67,0.5522388059701493,98.45447903575678,1.4694698363545788,1.354256145006822,98.59051402757186,4,6
raw_efficiency,0.02163009605681104,0.03779153703732718,development,MID,67,0.7164179104477612,314.0548157804886,4.687385310156546,2.9304107896516385,45.62105390222024,4,8
raw_efficiency,0.02163009605681104,0.03779153703732718,development,HIGH,67,0.5970149253731343,168.24232225766005,2.5110794366814932,1.7197003805532836,68.22841487606726,7,5
raw_efficiency,0.02163009605681104,0.03779153703732718,reference_validation,LOW,30,0.4,-79.87280752517434,-2.6624269175058113,0.39799967152950855,96.00750470996677,5,4
raw_efficiency,0.02163009605681104,0.03779153703732718,reference_validation,MID,15,0.5333333333333333,23.338854184399942,1.5559236122933295,1.476148348552219,41.829428123373226,5,6
raw_efficiency,0.02163009605681104,0.03779153703732718,reference_validation,HIGH,39,0.5897435897435898,-30.190826485747003,-0.774123756044795,0.8361897056766882,97.28314100605675,6,7
raw_range,0.04428408500877388,0.057174689922960584,external,LOW,0,,0.0,,,,0,0
raw_range,0.04428408500877388,0.057174689922960584,external,MID,1,0.0,-22.05803871836018,-22.05803871836018,0.0,22.05803871836018,1,0
raw_range,0.04428408500877388,0.057174689922960584,external,HIGH,101,0.7029702970297029,452.3386895486175,4.478600886619975,1.576953275862194,307.7823975244167,7,23
raw_range,0.04428408500877388,0.057174689922960584,development,LOW,67,0.6119402985074627,40.58660988444185,0.6057702967827142,1.2226753998019741,62.017650052954174,6,13
raw_range,0.04428408500877388,0.057174689922960584,development,MID,67,0.6119402985074627,120.8701986247915,1.8040328152953955,1.529199523770267,106.75520004039181,5,10
raw_range,0.04428408500877388,0.057174689922960584,development,HIGH,67,0.6417910447761194,419.294808564672,6.258131471114507,2.5900196825208663,118.36611857949222,5,10
