exec_min,execution_utc,filter,partition,raw_n,filtered_n,retention,n,wins,wr,pf,expectancy,net,max_ls
300,05:00,BASE,external,29,29,1.0,29,17,0.5862068965517241,2.158915379929707,1.5828393884138132,45.90234226400058,4
300,05:00,BASE,development,52,52,1.0,52,33,0.6346153846153846,1.6713613477894227,0.861201971435477,44.782502514644804,4
300,05:00,BASE,reference_validation,24,24,1.0,24,15,0.625,1.2855029341195545,0.46906654275957266,11.257597026229744,2
300,05:00,RANGE_COMPLETED_FIRST_HALF,external,29,6,0.20689655172413793,6,4,0.6666666666666666,1.9119284908341176,0.7221168290717249,4.33270097443035,1
300,05:00,RANGE_COMPLETED_FIRST_HALF,development,52,26,0.5,26,17,0.6538461538461539,1.3635563879720498,0.49295486695993884,12.81682654095841,3
300,05:00,RANGE_COMPLETED_FIRST_HALF,reference_validation,24,6,0.25,6,5,0.8333333333333334,2.887565741103921,1.7534091028790524,10.520454617274314,1
300,05:00,RANGE_COMPLETED_SECOND_HALF,external,29,23,0.7931034482758621,23,13,0.5652173913043478,2.192580746622406,1.8073757082421844,41.56964128957024,4
300,05:00,RANGE_COMPLETED_SECOND_HALF,development,52,26,0.5,26,16,0.6153846153846154,2.0163968188756978,1.2294490759110153,31.965675973686395,3
300,05:00,RANGE_COMPLETED_SECOND_HALF,reference_validation,24,18,0.75,18,10,0.5555555555555556,1.0217721012307668,0.04095235605307949,0.7371424089554308,4
300,05:00,K1_FIRST_HALF,external,29,23,0.7931034482758621,23,14,0.6086956521739131,2.3131408774988564,2.004810777811751,46.110647889670275,3
300,05:00,K1_FIRST_HALF,development,52,42,0.8076923076923077,42,29,0.6904761904761905,1.8682485574117436,1.1683311324402803,49.06990756249177,2
300,05:00,K1_FIRST_HALF,reference_validation,24,21,0.875,21,14,0.6666666666666666,1.568780430649999,0.8599683517988943,18.05933538777678,3
300,05:00,K1_SECOND_HALF,external,29,6,0.20689655172413793,6,3,0.5,0.9536402471784136,-0.03471760427828152,-0.20830562566968913,3
300,05:00,K1_SECOND_HALF,development,52,10,0.19230769230769232,10,4,0.4,0.5791733400898242,-0.4287405047846966,-4.287405047846966,4
