stress_bps,trades_per_week,n,wins,wr,pf,expectancy,net,max_ls
0,1.5853455453788512,544,323,0.59375,1.3765693669023877,0.6671092100807449,362.90741028392523,4
2,1.5853455453788512,544,318,0.5845588235294118,1.278592307463006,0.5162703496891389,280.85107023089154,7
5,1.5853455453788512,544,313,0.5753676470588235,1.1466310877949644,0.29012513171071835,157.8280716506308,7
10,1.5853455453788512,544,302,0.5551470588235294,0.9605836669819862,-0.08648233918843976,-47.046392518511226,7
