partition,entry_ts,exit_ts,entry_px,exit_px,pnl,win,final_layer,a52_act,fastmr_act,recovery
development,2023-12-04 23:00:00+00:00,2023-12-05 05:00:00+00:00,41953.5,41779.8,1.3201490936393396,True,PARENT,False,False,False
development,2023-12-11 23:00:00+00:00,2023-12-12 00:25:00+00:00,41305.9,41636.347200000004,-4.7500000000000036,False,PARENT,False,False,False
development,2023-12-18 23:00:00+00:00,2023-12-19 00:15:00+00:00,42529.9,42870.139200000005,-4.7500000000000036,False,PARENT,False,False,False
development,2023-12-25 23:00:00+00:00,2023-12-26 05:00:00+00:00,43716.7,43481.0,1.9457661488629658,True,PARENT,False,False,False
development,2024-01-01 23:00:00+00:00,2024-01-01 23:30:00+00:00,43584.0,43932.672,-4.7500000000000036,False,PARENT,False,False,False
development,2024-01-08 23:00:00+00:00,2024-01-09 00:40:00+00:00,47011.3,46376.647450000004,5.999999999999979,True,PARENT,False,False,False
development,2024-01-15 23:00:00+00:00,2024-01-16 05:00:00+00:00,42634.4,42805.2,-2.7530773272287083,False,PARENT,False,False,False
development,2024-01-22 23:00:00+00:00,2024-01-23 00:20:00+00:00,39829.9,39750.2402,0.2500000000000009,True,A5.2_LOCK,True,False,False
development,2024-01-29 23:00:00+00:00,2024-01-30 01:25:00+00:00,43090.0,43434.72,-4.7500000000000036,False,PARENT,False,False,False
development,2024-02-05 23:00:00+00:00,2024-02-06 02:40:00+00:00,42481.0,42820.848,-4.7500000000000036,False,PARENT,False,False,False
development,2024-02-12 23:00:00+00:00,2024-02-13 05:00:00+00:00,50040.0,49922.5,0.42406075139886434,True,PARENT,False,False,False
development,2024-02-19 23:00:00+00:00,2024-02-20 05:00:00+00:00,51971.7,51816.1,0.7469685424952028,True,PARENT,False,False,False
development,2024-02-26 23:00:00+00:00,2024-02-27 01:45:00+00:00,54705.0,55142.64,-4.7500000000000036,False,PARENT,False,False,False
development,2024-03-04 23:00:00+00:00,2024-03-04 23:15:00+00:00,67997.5,68541.48,-4.7500000000000036,False,PARENT,False,False,False
development,2024-03-11 23:00:00+00:00,2024-03-12 03:35:00+00:00,72516.5,71537.52725,5.999999999999979,True,PARENT,False,False,False
development,2024-03-18 23:00:00+00:00,2024-03-19 01:10:00+00:00,67740.4,66825.9046,5.999999999999979,True,PARENT,False,False,False
development,2024-03-25 23:00:00+00:00,2024-03-26 00:35:00+00:00,70365.0,70238.0,0.15243729126698868,True,FASTMR_MARKET,False,True,False
development,2024-04-01 23:00:00+00:00,2024-04-02 02:30:00+00:00,69758.0,68816.267,5.999999999999923,True,PARENT,False,False,False
development,2024-04-08 23:00:00+00:00,2024-04-09 01:15:00+00:00,71973.0,71001.3645,6.000000000000034,True,PARENT,False,False,False
development,2024-04-15 23:00:00+00:00,2024-04-16 04:15:00+00:00,63430.8,62574.484200000006,5.999999999999979,True,PARENT,False,False,False
development,2024-04-22 23:00:00+00:00,2024-04-23 05:00:00+00:00,66999.9,66216.8,5.094038573191823,True,PARENT,False,False,False
development,2024-04-29 23:00:00+00:00,2024-04-30 00:50:00+00:00,63860.1,64370.9808,-4.7500000000000036,False,PARENT,False,False,False
